	t	x	y	pescados
	214	4.93251e+06	693.908	0
	215	4.93341e+06	708.982	0
	216	4.93418e+06	724.38	0
	217	4.93483e+06	740.107	0
	218	4.93536e+06	756.171	0
	219	4.93578e+06	772.576	0
	220	4.93609e+06	789.332	0
	221	4.9363e+06	806.442	0
	222	4.93641e+06	823.916	0
	223	4.93643e+06	841.759	0
	224	4.93636e+06	859.98	0
	225	4.93621e+06	878.584	0
	226	4.93597e+06	897.579	0
	227	4.93566e+06	916.973	0
	228	4.93527e+06	936.773	0
	229	4.93481e+06	956.988	0
	230	4.93428e+06	977.624	0
	231	4.93369e+06	998.689	0
	232	4.93302e+06	1020.19	0
	233	4.93229e+06	1042.14	0
	234	4.93151e+06	1064.54	0
	235	4.93066e+06	1087.41	0
	236	4.92975e+06	1110.75	0
	237	4.92879e+06	1134.56	0
	238	4.92776e+06	1158.87	0
	239	4.92669e+06	1183.67	0
	240	4.92556e+06	1208.98	0
	241	4.92438e+06	1234.8	0
	242	4.92314e+06	1261.15	0
	243	4.92186e+06	1288.03	0
	244	4.92052e+06	1315.45	0
	245	4.91913e+06	1343.43	0
	246	4.91769e+06	1371.97	0
	247	4.9162e+06	1401.08	0
	248	4.91467e+06	1430.78	0
	249	4.91308e+06	1461.06	0
	250	4.91144e+06	1491.95	0
	251	4.90976e+06	1523.45	0
	252	4.90803e+06	1555.58	0
	253	4.90624e+06	1588.33	0
	254	4.90441e+06	1621.73	0
	255	4.90253e+06	1655.79	0
	256	4.90059e+06	1690.51	0
	257	4.89861e+06	1725.91	0
	258	4.89658e+06	1761.99	0
	259	4.8945e+06	1798.77	0
	260	4.89236e+06	1836.25	0
	261	4.89018e+06	1874.46	0
	262	4.88794e+06	1913.4	0
	263	4.88565e+06	1953.08	0
	264	4.88331e+06	1993.51	0
	265	4.88091e+06	2034.71	0
	266	4.87846e+06	2076.68	0
	267	4.87595e+06	2119.44	0
	268	4.87339e+06	2163	0
	269	4.87078e+06	2207.37	0
	270	4.8681e+06	2252.56	0
	271	4.86537e+06	2298.58	0
	272	4.86258e+06	2345.45	0
	273	4.85974e+06	2393.17	0
	274	4.85683e+06	2441.76	0
	275	4.85386e+06	2491.23	0
	276	4.85083e+06	2541.59	0
	277	4.84774e+06	2592.85	0
	278	4.84459e+06	2645.02	0
	279	4.84137e+06	2698.12	0
	280	4.83809e+06	2752.15	0
	281	4.83474e+06	2807.13	0
	282	4.83132e+06	2863.06	0
	283	4.82784e+06	2919.96	0
	284	4.82429e+06	2977.85	0
	285	4.82066e+06	3036.72	0
	286	4.81697e+06	3096.59	0
	287	4.81321e+06	3157.47	0
	288	4.80937e+06	3219.37	0
