t,I,S,R
16.5,81.8966,47.3123,870.791
16.6,81.4031,47.6966,870.9
16.7,80.9249,48.0779,870.997
16.8,80.4619,48.4562,871.082
16.9,80.0136,48.8314,871.155
17,79.5798,49.2034,871.217
17.1,79.1601,49.5721,871.268
17.2,78.7543,49.9376,871.308
17.3,78.3619,50.2996,871.338
17.4,77.9829,50.6582,871.359
17.5,77.6167,51.0133,871.37
17.6,77.2633,51.3647,871.372
17.7,76.9223,51.7125,871.365
17.8,76.5935,52.0566,871.35
17.9,76.2765,52.3969,871.327
18,75.9712,52.7333,871.296
18.1,75.6773,53.0658,871.257
18.2,75.3945,53.3944,871.211
18.3,75.1226,53.7189,871.158
18.4,74.8615,54.0394,871.099
18.5,74.6108,54.3557,871.034
18.6,74.3703,54.6679,870.962
18.7,74.1398,54.9758,870.884
18.8,73.9191,55.2794,870.801
18.9,73.7081,55.5788,870.713
19,73.5064,55.8737,870.62
19.1,73.3139,56.1643,870.522
19.2,73.1303,56.4504,870.419
19.3,72.9556,56.732,870.312
19.4,72.7894,57.0091,870.201
19.5,72.6317,57.2817,870.087
19.6,72.4821,57.5496,869.968
19.7,72.3406,57.813,869.846
19.8,72.207,58.0717,869.721
19.9,72.081,58.3258,869.593
20,71.9625,58.5751,869.462
20.1,71.8514,58.8198,869.329
20.2,71.7474,59.0597,869.193
20.3,71.6505,59.2949,869.055
20.4,71.5603,59.5253,868.914
20.5,71.4769,59.751,868.772
20.6,71.3999,59.9718,868.628
20.7,71.3293,60.1879,868.483
20.8,71.2649,60.3992,868.336
20.9,71.2065,60.6057,868.188
21,71.1541,60.8073,868.039
21.1,71.1073,61.0042,867.888
21.2,71.0662,61.1963,867.738
21.3,71.0305,61.3836,867.586
21.4,71.0001,61.5661,867.434
21.5,70.9749,61.7439,867.281
21.6,70.9547,61.9168,867.128
21.7,70.9393,62.0851,866.976
21.8,70.9288,62.2486,866.823
21.9,70.9228,62.4074,866.67
22,70.9213,62.5615,866.517
22.1,70.9241,62.7109,866.365
22.2,70.9311,62.8557,866.213
22.3,70.9423,62.9959,866.062
22.4,70.9573,63.1315,865.911
22.5,70.9762,63.2625,865.761
22.6,70.9988,63.3891,865.612
22.7,71.0249,63.5111,865.464
22.8,71.0545,63.6287,865.317
22.9,71.0874,63.7418,865.171
23,71.1235,63.8506,865.026
23.1,71.1627,63.9551,864.882
