t,I,S,R
0,1,999,0
0.01,1.00874,998.99,0.00125
0.02,1.01756,998.98,0.00251086
0.03,1.02645,998.97,0.00378266
0.04,1.03542,998.96,0.00506551
0.05,1.04447,998.949,0.00635951
0.06,1.0536,998.939,0.00766474
0.07,1.06281,998.928,0.00898131
0.08,1.07209,998.918,0.0103093
0.09,1.08146,998.907,0.0116489
0.1,1.09091,998.896,0.013
0.11,1.10045,998.885,0.014363
0.12,1.11006,998.874,0.0157377
0.13,1.11976,998.863,0.0171244
0.14,1.12955,998.852,0.0185232
0.15,1.13942,998.841,0.0199341
0.16,1.14938,998.829,0.0213573
0.17,1.15942,998.818,0.0227928
0.18,1.16955,998.806,0.0242408
0.19,1.17977,998.795,0.0257014
0.2,1.19008,998.783,0.0271747
0.21,1.20048,998.771,0.0286608
0.22,1.21097,998.759,0.0301598
0.23,1.22155,998.747,0.0316718
0.24,1.23222,998.735,0.033197
0.25,1.24299,998.722,0.0347354
0.26,1.25385,998.71,0.0362872
0.27,1.2648,998.697,0.0378525
0.28,1.27585,998.685,0.0394314
0.29,1.287,998.672,0.0410241
0.3,1.29825,998.659,0.0426305
0.31,1.30959,998.646,0.044251
0.32,1.32103,998.633,0.0458855
0.33,1.33257,998.62,0.0475342
0.34,1.34421,998.607,0.0491973
0.35,1.35595,998.593,0.0508748
0.36,1.3678,998.58,0.052567
0.37,1.37975,998.566,0.0542738
0.38,1.3918,998.552,0.0559955
0.39,1.40396,998.538,0.0577321
0.4,1.41622,998.524,0.0594839
0.41,1.4286,998.51,0.0612508
0.42,1.44107,998.496,0.0630332
0.43,1.45366,998.482,0.064831
0.44,1.46636,998.467,0.0666445
0.45,1.47917,998.452,0.0684737
0.46,1.49209,998.438,0.0703189
0.47,1.50512,998.423,0.0721801
0.48,1.51827,998.408,0.0740575
0.49,1.53153,998.393,0.0759512
0.5,1.5449,998.377,0.0778614
0.51,1.5584,998.362,0.0797882
0.52,1.57201,998.346,0.0817318
0.53,1.58574,998.331,0.0836922
0.54,1.59958,998.315,0.0856697
0.55,1.61355,998.299,0.0876645
0.56,1.62764,998.283,0.0896765
0.57,1.64186,998.266,0.0917061
0.58,1.6562,998.25,0.0937533
0.59,1.67066,998.234,0.0958184
0.6,1.68525,998.217,0.0979014
0.61,1.69996,998.2,0.100003
0.62,1.71481,998.183,0.102122
0.63,1.72978,998.166,0.10426
