t,I,S,R
0,1,999,0
0.1,1.38195,998.563,0.0546049
0.2,1.90949,997.961,0.129942
0.3,2.63779,997.128,0.233909
0.4,3.64275,995.98,0.377397
0.5,5.0284,994.396,0.575408
0.6,6.93702,992.214,0.848573
0.7,9.56223,989.213,1.22521
0.8,13.1661,985.09,1.7441
0.9,18.1001,979.442,2.45812
1,24.8304,971.731,3.43899
1.1,33.9648,961.252,4.78335
1.2,46.2771,947.103,6.62006
1.3,62.7186,928.163,9.11864
1.4,84.3997,903.102,12.4979
1.5,112.513,870.454,17.0328
1.6,148.168,828.775,23.057
1.7,192.1,776.945,30.9544
1.8,244.277,714.587,41.1359
1.9,303.47,642.534,53.9954
2,367.003,563.151,69.8463
2.1,430.89,480.261,88.8496
2.2,490.507,398.536,110.957
2.3,541.624,322.483,135.893
2.4,581.349,255.465,163.187
2.5,608.575,199.18,192.245
2.6,623.815,153.741,222.445
2.7,628.647,118.15,253.202
2.8,625.111,90.8664,284.022
2.9,615.247,70.2399,314.513
3,600.846,54.7717,344.382
3.1,583.361,43.2154,373.424
3.2,563.909,34.59,401.501
3.3,543.324,28.1483,428.527
3.4,522.21,23.3323,454.458
3.5,500.997,19.7299,479.273
3.6,479.986,17.038,502.976
3.7,459.385,15.0339,525.581
3.8,439.333,13.5537,547.113
3.9,419.921,12.4759,567.603
4,401.203,11.7106,587.087
4.1,383.209,11.1902,605.601
4.2,365.952,10.8639,623.184
4.3,349.431,10.6933,639.875
4.4,333.638,10.649,655.713
4.5,318.556,10.7084,670.736
4.6,304.166,10.854,684.98
4.7,290.446,11.0721,698.482
4.8,277.371,11.352,711.277
4.9,264.916,11.6854,723.398
5,253.057,12.0654,734.878
5.1,241.767,12.4867,745.746
5.2,231.021,12.9448,756.034
5.3,220.796,13.4364,765.768
5.4,211.066,13.9585,774.976
5.5,201.808,14.5087,783.683
5.6,193.001,15.0851,791.914
5.7,184.621,15.686,799.693
5.8,176.65,16.3101,807.04
5.9,169.066,16.9562,813.978
6,161.851,17.6232,820.526
6.1,154.986,18.3103,826.704
6.2,148.454,19.0168,832.529
6.3,142.24,19.7419,838.019
6.4,136.325,20.4852,843.189
6.5,130.697,21.2459,848.057
6.6,125.34,22.0237,852.636
6.7,120.241,22.8181,856.941
6.8,115.388,23.6287,860.984
6.9,110.766,24.4551,864.778
7,106.366,25.2968,868.337
7.1,102.177,26.1536,871.67
7.2,98.1861,27.0252,874.789
7.3,94.3852,27.911,877.704
7.4,90.7644,28.811,880.425
7.5,87.3146,29.7246,882.961
7.6,84.0273,30.6517,885.321
7.7,80.8945,31.5918,887.514
7.8,77.9084,32.5447,889.547
7.9,75.0618,33.5102,891.428
8,72.3478,34.4877,893.164
8.1,69.7597,35.4772,894.763
8.2,67.2914,36.4782,896.23
8.3,64.937,37.4905,897.572
8.4,62.6908,38.5138,898.795
8.5,60.5476,39.5478,899.905
8.6,58.5024,40.5921,900.906
8.7,56.5503,41.6464,901.803
8.8,54.6869,42.7106,902.603
8.9,52.9078,43.7842,903.308
9,51.2089,44.867,903.924
9.1,49.5865,45.9586,904.455
9.2,48.0368,47.0588,904.904
9.3,46.5564,48.1673,905.276
9.4,45.142,49.2838,905.574
9.5,43.7905,50.4079,905.802
9.6,42.4988,51.5394,905.962
9.7,41.2642,52.678,906.058
9.8,40.084,53.8235,906.093
9.9,38.9557,54.9754,906.069
10,37.8769,56.1335,905.99
10.1,36.8452,57.2976,905.857
10.2,35.8587,58.4673,905.674
10.3,34.915,59.6424,905.443
10.4,34.0125,60.8225,905.165
10.5,33.1491,62.0075,904.843
10.6,32.3232,63.1969,904.48
10.7,31.533,64.3906,904.076
10.8,30.7771,65.5882,903.635
10.9,30.0538,66.7895,903.157
11,29.3618,67.9942,902.644
11.1,28.6998,69.202,902.098
11.2,28.0664,70.4127,901.521
11.3,27.4604,71.626,900.914
11.4,26.8807,72.8416,900.278
11.5,26.3262,74.0593,899.615
11.6,25.7958,75.2787,898.926
11.7,25.2885,76.4997,898.212
11.8,24.8034,77.722,897.475
11.9,24.3397,78.9453,896.715
12,23.8964,80.1693,895.934
12.1,23.4728,81.3938,895.133
12.2,23.0681,82.6186,894.313
12.3,22.6816,83.8434,893.475
12.4,22.3126,85.0679,892.62
12.5,21.9604,86.2918,891.748
12.6,21.6245,87.5151,890.86
12.7,21.3042,88.7372,889.959
12.8,20.9989,89.9582,889.043
12.9,20.7082,91.1776,888.114
13,20.4316,92.3952,887.173
13.1,20.1685,93.6108,886.221
13.2,19.9186,94.8242,885.257
13.3,19.6814,96.035,884.284
13.4,19.4564,97.2431,883.3
13.5,19.2434,98.4482,882.308
13.6,19.0419,99.65,881.308
13.7,18.8517,100.848,880.3
13.8,18.6723,102.043,879.285
13.9,18.5035,103.233,878.263
14,18.345,104.42,877.235
14.1,18.1965,105.602,876.202
14.2,18.0577,106.779,875.164
14.3,17.9285,107.951,874.121
14.4,17.8086,109.117,873.074
14.5,17.6977,110.279,872.024
14.6,17.5958,111.434,870.97
14.7,17.5025,112.583,869.914
14.8,17.4177,113.727,868.856
14.9,17.3413,114.863,867.796
15,17.273,115.993,866.734
15.1,17.2128,117.115,865.672
15.2,17.1605,118.231,864.609
15.3,17.116,119.338,863.546
15.4,17.0792,120.438,862.483
15.5,17.05,121.529,861.421
15.6,17.0282,122.612,860.359
15.7,17.0138,123.687,859.299
15.8,17.0067,124.752,858.241
15.9,17.0069,125.808,857.185
16,17.0142,126.854,856.132
16.1,17.0286,127.891,855.081
16.2,17.0501,128.917,854.033
16.3,17.0786,129.933,852.989
16.4,17.1141,130.938,851.948
16.5,17.1565,131.931,850.912
16.6,17.2058,132.914,849.88
16.7,17.262,133.884,848.854
16.8,17.3251,134.843,847.832
16.9,17.3951,135.789,846.816
17,17.4719,136.723,845.805
17.1,17.5556,137.643,844.801
17.2,17.6461,138.55,843.804
17.3,17.7435,139.444,842.813
17.4,17.8478,140.323,841.829
17.5,17.9589,141.188,840.853
17.6,18.077,142.039,839.884
17.7,18.2019,142.874,838.924
17.8,18.3338,143.694,837.972
17.9,18.4727,144.498,837.029
18,18.6186,145.286,836.096
18.1,18.7714,146.057,835.171
18.2,18.9313,146.812,834.257
18.3,19.0983,147.55,833.352
18.4,19.2724,148.27,832.458
18.5,19.4536,148.972,831.575
18.6,19.6419,149.656,830.702
18.7,19.8375,150.321,829.842
18.8,20.0403,150.967,828.993
18.9,20.2503,151.594,828.156
19,20.4675,152.201,827.331
19.1,20.6921,152.788,826.52
19.2,20.9239,153.355,825.721
19.3,21.1631,153.901,824.936
19.4,21.4096,154.425,824.165
19.5,21.6635,154.929,823.408
19.6,21.9247,155.41,822.665
19.7,22.1933,155.87,821.937
19.8,22.4692,156.306,821.224
19.9,22.7524,156.72,820.527
20,23.043,157.111,819.846
20.1,23.3408,157.479,819.18
20.2,23.6459,157.823,818.531
20.3,23.9582,158.143,817.899
20.4,24.2776,158.438,817.284
20.5,24.6041,158.709,816.686
20.6,24.9376,158.956,816.107
20.7,25.2781,159.177,815.545
20.8,25.6254,159.373,815.001
20.9,25.9794,159.544,814.476
21,26.3401,159.69,813.97
21.1,26.7072,159.809,813.484
21.2,27.0806,159.903,813.017
21.3,27.4603,159.971,812.569
21.4,27.8459,160.012,812.142
21.5,28.2373,160.028,811.735
21.6,28.6344,160.017,811.348
21.7,29.0368,159.981,810.982
21.8,29.4443,159.918,810.638
21.9,29.8568,159.829,810.314
22,30.2739,159.714,810.012
22.1,30.6953,159.573,809.731
22.2,31.1208,159.407,809.472
22.3,31.55,159.215,809.235
22.4,31.9826,158.997,809.02
22.5,32.4183,158.754,808.828
22.6,32.8566,158.486,808.657
22.7,33.2973,158.194,808.509
22.8,33.7398,157.878,808.383
22.9,34.1838,157.537,808.279
23,34.6289,157.173,808.198
