t,I,S,R
0,100,800,100
0.1,128.538,766.334,105.128
0.2,163.139,725.114,111.747
0.3,203.867,675.974,120.16
0.4,250.099,619.24,130.661
0.5,300.344,556.152,143.504
0.6,352.24,488.904,158.856
0.7,402.808,420.437,176.756
0.8,448.95,353.958,197.092
0.9,488.046,292.351,219.602
1,518.411,237.682,243.907
1.1,539.46,190.983,269.557
1.2,551.578,152.336,296.086
1.3,555.805,121.136,323.059
1.4,553.497,96.4059,350.097
1.5,546.06,77.0488,376.891
1.6,534.778,62.0186,403.204
1.7,520.742,50.4005,428.857
1.8,504.835,41.4383,453.727
1.9,487.741,34.5286,477.73
2,469.983,29.2005,500.817
2.1,451.948,25.0916,522.96
2.2,433.922,21.9251,544.153
2.3,416.109,19.4903,564.401
2.4,398.655,17.6271,583.718
2.5,381.662,16.2134,602.125
2.6,365.195,15.1558,619.649
2.7,349.299,14.3826,636.319
2.8,333.997,13.8387,652.164
2.9,319.301,13.4813,667.218
3,305.212,13.2768,681.511
3.1,291.724,13.1993,695.076
3.2,278.827,13.2279,707.945
3.3,266.505,13.3464,720.148
3.4,254.743,13.5416,731.716
3.5,243.521,13.8031,742.676
3.6,232.819,14.1223,753.059
3.7,222.618,14.4923,762.89
3.8,212.897,14.9076,772.195
3.9,203.636,15.3635,781
4,194.815,15.8562,789.329
4.1,186.415,16.3825,797.203
4.2,178.415,16.9397,804.645
4.3,170.798,17.5255,811.676
4.4,163.546,18.1381,818.316
4.5,156.642,18.7759,824.582
4.6,150.068,19.4374,830.494
4.7,143.81,20.1214,836.069
4.8,137.851,20.8269,841.322
4.9,132.178,21.5529,846.269
5,126.776,22.2985,850.926
5.1,121.632,23.0631,855.305
5.2,116.733,23.8459,859.421
5.3,112.068,24.6464,863.286
5.4,107.624,25.4639,866.912
5.5,103.392,26.298,870.31
5.6,99.3593,27.1482,873.492
5.7,95.5176,28.0139,876.468
5.8,91.857,28.8948,879.248
5.9,88.3685,29.7904,881.841
6,85.0437,30.7003,884.256
6.1,81.8745,31.6242,886.501
6.2,78.8532,32.5616,888.585
6.3,75.9725,33.5122,890.515
6.4,73.2254,34.4757,892.299
6.5,70.6055,35.4516,893.943
6.6,68.1065,36.4397,895.454
6.7,65.7224,37.4395,896.838
6.8,63.4477,38.4509,898.101
6.9,61.277,39.4733,899.25
7,59.2052,40.5066,900.288
7.1,57.2277,41.5503,901.222
7.2,55.3397,42.6041,902.056
7.3,53.537,43.6678,902.795
7.4,51.8154,44.741,903.444
7.5,50.1712,45.8234,904.005
7.6,48.6005,46.9146,904.485
7.7,47.0999,48.0144,904.886
7.8,45.6661,49.1225,905.211
7.9,44.2959,50.2385,905.466
8,42.9864,51.3622,905.651
8.1,41.7346,52.4932,905.772
8.2,40.5379,53.6312,905.831
8.3,39.3937,54.7759,905.83
8.4,38.2996,55.9271,905.773
8.5,37.2533,57.0844,905.662
8.6,36.2526,58.2476,905.5
8.7,35.2955,59.4163,905.288
8.8,34.3799,60.5902,905.03
8.9,33.5041,61.7692,904.727
9,32.6661,62.9528,904.381
9.1,31.8644,64.1408,903.995
9.2,31.0973,65.3329,903.57
9.3,30.3634,66.5289,903.108
9.4,29.6612,67.7284,902.61
9.5,28.9892,68.9312,902.08
9.6,28.3463,70.137,901.517
9.7,27.7312,71.3456,900.923
9.8,27.1427,72.5566,900.301
9.9,26.5797,73.7698,899.651
10,26.0411,74.985,898.974
10.1,25.526,76.2018,898.272
10.2,25.0333,77.42,897.547
10.3,24.5623,78.6393,896.798
10.4,24.112,79.8595,896.028
10.5,23.6816,81.0804,895.238
10.6,23.2704,82.3016,894.428
10.7,22.8775,83.5229,893.6
10.8,22.5024,84.7441,892.754
10.9,22.1443,85.9648,891.891
11,21.8027,87.185,891.012
11.1,21.4768,88.4042,890.119
11.2,21.1663,89.6222,889.212
11.3,20.8705,90.8388,888.291
11.4,20.5888,92.0538,887.357
11.5,20.3209,93.2669,886.412
11.6,20.0663,94.4778,885.456
11.7,19.8246,95.6862,884.489
11.8,19.5952,96.8921,883.513
11.9,19.378,98.095,882.527
12,19.1723,99.2948,881.533
12.1,18.9781,100.491,880.531
12.2,18.7948,101.684,879.521
12.3,18.6222,102.873,878.505
12.4,18.46,104.057,877.483
12.5,18.3079,105.238,876.455
12.6,18.1656,106.413,875.421
12.7,18.033,107.584,874.383
12.8,17.9097,108.749,873.341
12.9,17.7956,109.909,872.295
13,17.6905,111.064,871.246
13.1,17.5941,112.212,870.194
13.2,17.5062,113.354,869.139
13.3,17.4268,114.49,868.083
13.4,17.3556,115.619,867.025
13.5,17.2925,116.741,865.966
13.6,17.2374,117.856,864.907
13.7,17.1902,118.963,863.847
13.8,17.1506,120.063,862.787
13.9,17.1187,121.154,861.727
14,17.0942,122.237,860.669
14.1,17.0772,123.311,859.611
14.2,17.0676,124.377,858.556
14.3,17.0651,125.433,857.502
14.4,17.0699,126.48,856.45
14.5,17.0818,127.517,855.402
14.6,17.1008,128.543,854.356
14.7,17.1269,129.56,853.313
14.8,17.1599,130.565,852.275
14.9,17.1998,131.56,851.24
15,17.2467,132.544,850.21
15.1,17.3005,133.515,849.184
15.2,17.3612,134.475,848.164
15.3,17.4288,135.423,847.148
15.4,17.5032,136.358,846.139
15.5,17.5844,137.28,845.136
15.6,17.6726,138.189,844.139
15.7,17.7675,139.084,843.148
15.8,17.8694,139.965,842.165
15.9,17.9781,140.833,841.189
16,18.0937,141.685,840.221
16.1,18.2162,142.523,839.261
16.2,18.3457,143.345,838.309
16.3,18.4821,144.152,837.366
16.4,18.6255,144.943,836.432
16.5,18.7758,145.717,835.507
16.6,18.9332,146.475,834.592
16.7,19.0976,147.216,833.686
16.8,19.2692,147.939,832.792
16.9,19.4478,148.645,831.907
17,19.6335,149.332,831.034
17.1,19.8265,150.001,830.172
17.2,20.0266,150.652,829.322
17.3,20.2339,151.283,828.484
