t,I,S,R
16.5,370.108,11.6925,618.2
16.6,365.914,11.6032,622.483
16.7,361.765,11.5244,626.711
16.8,357.659,11.4556,630.885
16.9,353.598,11.3963,635.005
17,349.581,11.3461,639.072
17.1,345.608,11.3045,643.087
17.2,341.679,11.271,647.05
17.3,337.793,11.2454,650.962
17.4,333.95,11.2271,654.822
17.5,330.151,11.2159,658.633
17.6,326.394,11.2115,662.394
17.7,322.68,11.2135,666.106
17.8,319.009,11.2217,669.77
17.9,315.379,11.2358,673.385
18,311.791,11.2555,676.953
18.1,308.245,11.2806,680.475
18.2,304.739,11.3109,683.95
18.3,301.275,11.3461,687.379
18.4,297.851,11.3861,690.763
18.5,294.467,11.4307,694.102
18.6,291.123,11.4797,697.398
18.7,287.818,11.5329,700.649
18.8,284.552,11.5902,703.858
18.9,281.325,11.6514,707.024
19,278.136,11.7163,710.148
19.1,274.985,11.785,713.23
19.2,271.872,11.8571,716.271
19.3,268.796,11.9326,719.271
19.4,265.757,12.0114,722.232
19.5,262.754,12.0934,725.153
19.6,259.787,12.1785,728.034
19.7,256.856,12.2665,730.877
19.8,253.961,12.3574,733.682
19.9,251.1,12.4512,736.449
20,248.274,12.5476,739.178
20.1,245.482,12.6467,741.871
20.2,242.724,12.7484,744.528
20.3,239.999,12.8525,747.148
20.4,237.308,12.9591,749.733
20.5,234.649,13.0681,752.283
20.6,232.023,13.1793,754.798
20.7,229.428,13.2928,757.279
20.8,226.865,13.4085,759.726
20.9,224.334,13.5263,762.14
21,221.833,13.6463,764.521
21.1,219.363,13.7682,766.869
21.2,216.923,13.8922,769.185
21.3,214.512,14.0181,771.469
21.4,212.132,14.146,773.722
21.5,209.78,14.2757,775.944
21.6,207.457,14.4073,778.135
21.7,205.163,14.5406,780.296
21.8,202.897,14.6758,782.427
21.9,200.658,14.8126,784.529
22,198.447,14.9512,786.601
22.1,196.264,15.0915,788.645
22.2,194.106,15.2334,790.66
22.3,191.976,15.3769,792.647
22.4,189.871,15.522,794.607
22.5,187.793,15.6687,796.539
22.6,185.739,15.8169,798.444
22.7,183.711,15.9667,800.322
22.8,181.708,16.1179,802.174
22.9,179.73,16.2707,803.999
23,177.776,16.4248,805.799
23.1,175.846,16.5805,807.574
23.2,173.939,16.7375,809.323
23.3,172.056,16.896,811.048
23.4,170.196,17.0558,812.748
23.5,168.359,17.217,814.424
23.6,166.544,17.3796,816.076
23.7,164.752,17.5434,817.705
23.8,162.981,17.7086,819.31
23.9,161.233,17.8751,820.892
24,159.506,18.0429,822.451
24.1,157.8,18.212,823.988
24.2,156.114,18.3824,825.503
24.3,154.45,18.554,826.996
24.4,152.806,18.7268,828.467
24.5,151.182,18.9008,829.917
24.6,149.578,19.0761,831.346
24.7,147.994,19.2526,832.754
24.8,146.429,19.4303,834.141
24.9,144.883,19.6091,835.508
25,143.356,19.7891,836.855
25.1,141.848,19.9703,838.182
25.2,140.358,20.1527,839.49
25.3,138.886,20.3361,840.778
25.4,137.432,20.5207,842.047
25.5,135.997,20.7065,843.297
25.6,134.578,20.8933,844.528
25.7,133.177,21.0813,845.742
25.8,131.793,21.2703,846.936
25.9,130.426,21.4605,848.113
26,129.076,21.6517,849.273
26.1,127.742,21.844,850.414
26.2,126.424,22.0374,851.539
26.3,125.122,22.2318,852.646
26.4,123.836,22.4273,853.736
26.5,122.566,22.6238,854.81
26.6,121.311,22.8214,855.867
26.7,120.072,23.0199,856.908
26.8,118.847,23.2195,857.933
26.9,117.638,23.4202,858.942
27,116.443,23.6218,859.935
27.1,115.262,23.8244,860.913
27.2,114.096,24.0281,861.876
27.3,112.944,24.2327,862.823
27.4,111.806,24.4383,863.756
27.5,110.682,24.6449,864.673
27.6,109.571,24.8524,865.577
27.7,108.474,25.0609,866.465
27.8,107.39,25.2704,867.34
27.9,106.319,25.4809,868.201
28,105.26,25.6922,869.047
28.1,104.215,25.9045,869.88
28.2,103.182,26.1178,870.7
28.3,102.162,26.332,871.506
28.4,101.154,26.5471,872.299
28.5,100.158,26.7631,873.079
28.6,99.1743,26.9801,873.846
28.7,98.2022,27.1979,874.6
28.8,97.2418,27.4167,875.342
28.9,96.2928,27.6363,876.071
29,95.3553,27.8568,876.788
29.1,94.429,28.0783,877.493
29.2,93.5138,28.3006,878.186
29.3,92.6095,28.5238,878.867
29.4,91.716,28.7478,879.536
29.5,90.8332,28.9727,880.194
29.6,89.961,29.1985,880.84
29.7,89.0992,29.4251,881.476
29.8,88.2476,29.6526,882.1
29.9,87.4062,29.881,882.713
30,86.5748,30.1101,883.315
30.1,85.7533,30.3401,883.907
30.2,84.9415,30.571,884.488
30.3,84.1394,30.8026,885.058
30.4,83.3469,31.0351,885.618
30.5,82.5637,31.2684,886.168
30.6,81.7898,31.5025,886.708
30.7,81.0251,31.7374,887.237
30.8,80.2694,31.9731,887.757
30.9,79.5227,32.2096,888.268
31,78.7848,32.4469,888.768
31.1,78.0556,32.685,889.259
31.2,77.3351,32.9238,889.741
31.3,76.623,33.1635,890.214
31.4,75.9193,33.4039,890.677
31.5,75.2239,33.6451,891.131
31.6,74.5367,33.887,891.576
31.7,73.8576,34.1297,892.013
31.8,73.1864,34.3731,892.44
31.9,72.5232,34.6173,892.86
32,71.8677,34.8622,893.27
32.1,71.2199,35.1079,893.672
32.2,70.5797,35.3543,894.066
32.3,69.947,35.6014,894.452
32.4,69.3217,35.8493,894.829
32.5,68.7036,36.0978,895.199
32.6,68.0929,36.3471,895.56
32.7,67.4892,36.5971,895.914
32.8,66.8926,36.8478,896.26
32.9,66.3029,37.0992,896.598
33,65.7201,37.3513,896.929
33.1,65.1441,37.604,897.252
33.2,64.5747,37.8575,897.568
33.3,64.012,38.1116,897.876
33.4,63.4558,38.3664,898.178
33.5,62.9061,38.6219,898.472
33.6,62.3627,38.878,898.759
33.7,61.8256,39.1349,899.04
33.8,61.2948,39.3923,899.313
33.9,60.77,39.6504,899.58
34,60.2514,39.9092,899.839
34.1,59.7387,40.1686,900.093
34.2,59.2319,40.4286,900.339
34.3,58.731,40.6893,900.58
34.4,58.2358,40.9506,900.814
34.5,57.7463,41.2125,901.041
34.6,57.2625,41.4751,901.262
34.7,56.7842,41.7382,901.478
34.8,56.3114,42.002,901.687
34.9,55.844,42.2664,901.89
35,55.382,42.5313,902.087
35.1,54.9253,42.7969,902.278
35.2,54.4738,43.063,902.463
35.3,54.0275,43.3298,902.643
35.4,53.5862,43.5971,902.817
35.5,53.15,43.865,902.985
35.6,52.7188,44.1335,903.148
35.7,52.2925,44.4025,903.305
35.8,51.871,44.6721,903.457
35.9,51.4543,44.9422,903.603
36,51.0424,45.2129,903.745
36.1,50.6351,45.4842,903.881
36.2,50.2325,45.756,904.012
36.3,49.8344,46.0283,904.137
36.4,49.4409,46.3012,904.258
