t,I,S,R
19.9,495,10,495
20,495,10,495
20.1,495,10,495
20.2,495,10,495
20.3,495,10,495
20.4,495,10,495
20.5,495,10,495
20.6,495,10,495
20.7,495,10,495
20.8,495,10,495
20.9,495,10,495
21,495,10,495
21.1,495,10,495
21.2,495,10,495
21.3,495,10,495
21.4,495,10,495
21.5,495,10,495
21.6,495,10,495
21.7,495,10,495
21.8,495,10,495
21.9,495,10,495
22,495,10,495
22.1,495,10,495
22.2,495,10,495
22.3,495,10,495
22.4,495,10,495
22.5,495,10,495
22.6,495,10,495
22.7,495,10,495
22.8,495,10,495
22.9,495,10,495
23,495,10,495
23.1,495,10,495
23.2,495,10,495
23.3,495,10,495
23.4,495,10,495
23.5,495,10,495
23.6,495,10,495
23.7,495,10,495
23.8,495,10,495
23.9,495,10,495
24,495,10,495
24.1,495,10,495
24.2,495,10,495
24.3,495,10,495
24.4,495,10,495
24.5,495,10,495
24.6,495,10,495
24.7,495,10,495
24.8,495,10,495
24.9,495,10,495
25,495,10,495
25.1,495,10,495
25.2,495,10,495
25.3,495,10,495
25.4,495,10,495
25.5,495,10,495
25.6,495,10,495
25.7,495,10,495
25.8,495,10,495
25.9,495,10,495
26,495,10,495
26.1,495,10,495
26.2,495,10,495
26.3,495,10,495
26.4,495,10,495
26.5,495,10,495
26.6,495,10,495
26.7,495,10,495
26.8,495,10,495
26.9,495,10,495
27,495,10,495
27.1,495,10,495
27.2,495,10,495
27.3,495,10,495
27.4,495,10,495
27.5,495,10,495
27.6,495,10,495
27.7,495,10,495
27.8,495,10,495
27.9,495,10,495
28,495,10,495
28.1,495,10,495
28.2,495,10,495
28.3,495,10,495
28.4,495,10,495
28.5,495,10,495
28.6,495,10,495
28.7,495,10,495
28.8,495,10,495
28.9,495,10,495
29,495,10,495
29.1,495,10,495
29.2,495,10,495
29.3,495,10,495
29.4,495,10,495
29.5,495,10,495
29.6,495,10,495
29.7,495,10,495
29.8,495,10,495
29.9,495,10,495
30,495,10,495
30.1,495,10,495
30.2,495,10,495
30.3,495,10,495
30.4,495,10,495
30.5,495,10,495
30.6,495,10,495
30.7,495,10,495
30.8,495,10,495
30.9,495,10,495
31,495,10,495
31.1,495,10,495
31.2,495,10,495
31.3,495,10,495
31.4,495,10,495
31.5,495,10,495
31.6,495,10,495
31.7,495,10,495
31.8,495,10,495
31.9,495,10,495
32,495,10,495
32.1,495,10,495
32.2,495,10,495
32.3,495,10,495
32.4,495,10,495
32.5,495,10,495
32.6,495,10,495
32.7,495,10,495
32.8,495,10,495
32.9,495,10,495
33,495,10,495
33.1,495,10,495
33.2,495,10,495
33.3,495,10,495
33.4,495,10,495
33.5,495,10,495
33.6,495,10,495
33.7,495,10,495
33.8,495,10,495
33.9,495,10,495
34,495,10,495
34.1,495,10,495
34.2,495,10,495
34.3,495,10,495
34.4,495,10,495
34.5,495,10,495
34.6,495,10,495
34.7,495,10,495
34.8,495,10,495
34.9,495,10,495
35,495,10,495
35.1,495,10,495
35.2,495,10,495
35.3,495,10,495
35.4,495,10,495
35.5,495,10,495
35.6,495,10,495
35.7,495,10,495
35.8,495,10,495
35.9,495,10,495
36,495,10,495
36.1,495,10,495
36.2,495,10,495
36.3,495,10,495
36.4,495,10,495
