t,I,S,R
7.95,415.14,499.176,85.6836
8,422.907,488.839,88.2544
8.05,430.6,478.527,90.8731
8.1,438.212,468.249,93.5391
8.15,445.733,458.015,96.2519
8.2,453.154,447.835,99.011
8.25,460.469,437.715,101.816
8.3,467.669,427.666,104.665
8.35,474.746,417.694,107.559
8.4,481.694,407.809,110.497
8.45,488.505,398.018,113.476
8.5,495.174,388.328,116.498
8.55,501.694,378.746,119.561
8.6,508.059,369.278,122.663
8.65,514.264,359.932,125.804
8.7,520.305,350.712,128.983
8.75,526.177,341.624,132.2
8.8,531.876,332.673,135.451
8.85,537.399,323.863,138.738
8.9,542.742,315.199,142.058
8.95,547.904,306.685,145.411
9,552.881,298.324,148.795
9.05,557.672,290.118,152.209
9.1,562.277,282.071,155.652
9.15,566.692,274.184,159.123
9.2,570.92,266.46,162.621
9.25,574.958,258.898,166.144
9.3,578.807,251.502,169.691
9.35,582.468,244.27,173.262
9.4,585.941,237.205,176.854
9.45,589.229,230.304,180.467
9.5,592.331,223.569,184.1
9.55,595.25,216.999,187.751
9.6,597.989,210.593,191.419
9.65,600.548,204.349,195.103
9.7,602.93,198.267,198.802
9.75,605.139,192.346,202.515
9.8,607.177,186.582,206.241
9.85,609.046,180.975,209.979
9.9,610.751,175.522,213.727
9.95,612.294,170.221,217.485
10,613.678,165.071,221.251
10.05,614.908,160.067,225.025
10.1,615.986,155.208,228.806
10.15,616.916,150.491,232.592
10.2,617.703,145.914,236.383
10.25,618.349,141.473,240.178
10.3,618.858,137.166,243.976
10.35,619.234,132.989,247.776
10.4,619.482,128.941,251.578
10.45,619.604,125.017,255.38
10.5,619.604,121.214,259.181
10.55,619.487,117.531,262.982
10.6,619.256,113.964,266.781
10.65,618.914,110.509,270.577
10.7,618.465,107.165,274.37
10.75,617.914,103.927,278.159
10.8,617.263,100.793,281.944
10.85,616.516,97.7609,285.723
10.9,615.676,94.8267,289.497
10.95,614.747,91.9879,293.265
11,613.733,89.2419,297.026
11.05,612.635,86.5859,300.779
11.1,611.459,84.0172,304.524
11.15,610.206,81.5331,308.261
11.2,608.879,79.1311,311.99
11.25,607.483,76.8087,315.708
11.3,606.019,74.5634,319.417
11.35,604.491,72.3928,323.116
11.4,602.901,70.2945,326.805
11.45,601.252,68.2662,330.482
11.5,599.546,66.3057,334.148
11.55,597.787,64.4109,337.802
11.6,595.976,62.5795,341.445
11.65,594.116,60.8096,345.075
11.7,592.209,59.099,348.692
11.75,590.258,57.4459,352.297
11.8,588.264,55.8484,355.888
11.85,586.23,54.3045,359.466
11.9,584.158,52.8126,363.03
11.95,582.049,51.3709,366.58
12,579.906,49.9777,370.116
12.05,577.731,48.6314,373.637
12.1,575.525,47.3304,377.145
12.15,573.29,46.0731,380.637
12.2,571.028,44.8582,384.114
12.25,568.739,43.6841,387.576
12.3,566.427,42.5495,391.023
12.35,564.092,41.4531,394.455
12.4,561.736,40.3935,397.871
12.45,559.359,39.3694,401.271
12.5,556.964,38.3798,404.656
12.55,554.552,37.4234,408.024
12.6,552.124,36.4991,411.377
12.65,549.681,35.6057,414.714
12.7,547.224,34.7423,418.034
12.75,544.754,33.9078,421.338
12.8,542.273,33.1013,424.626
12.85,539.781,32.3217,427.897
12.9,537.28,31.5683,431.152
12.95,534.77,30.84,434.39
13,532.252,30.136,437.612
13.05,529.728,29.4555,440.817
13.1,527.197,28.7978,444.005
