t,I,S,R
17.9,0.55826,114.772,5.66985
18,0.555977,114.759,5.68513
18.1,0.553702,114.746,5.70026
18.2,0.551432,114.733,5.71524
18.3,0.549169,114.721,5.73008
18.4,0.546913,114.708,5.74477
18.5,0.544663,114.696,5.75931
18.6,0.54242,114.684,5.77371
18.7,0.540183,114.672,5.78796
18.8,0.537953,114.66,5.80208
18.9,0.53573,114.648,5.81604
19,0.533514,114.637,5.82987
19.1,0.531304,114.625,5.84356
19.2,0.5291,114.614,5.8571
19.3,0.526904,114.603,5.87051
19.4,0.524714,114.592,5.88377
19.5,0.522532,114.581,5.8969
19.6,0.520356,114.57,5.90989
19.7,0.518186,114.559,5.92274
19.8,0.516024,114.549,5.93545
19.9,0.513868,114.538,5.94803
20,0.51172,114.528,5.96047
20.1,0.509578,114.518,5.97278
20.2,0.507443,114.508,5.98495
20.3,0.505315,114.498,5.99699
20.4,0.503194,114.488,6.0089
20.5,0.50108,114.478,6.02067
20.6,0.498973,114.469,6.03232
20.7,0.496873,114.459,6.04383
20.8,0.49478,114.45,6.05521
20.9,0.492693,114.441,6.06646
21,0.490614,114.432,6.07758
21.1,0.488542,114.423,6.08858
21.2,0.486477,114.414,6.09944
21.3,0.484419,114.405,6.11018
21.4,0.482368,114.397,6.12079
21.5,0.480324,114.388,6.13128
21.6,0.478287,114.38,6.14164
21.7,0.476257,114.372,6.15188
21.8,0.474234,114.364,6.16199
21.9,0.472218,114.356,6.17198
22,0.470209,114.348,6.18184
22.1,0.468208,114.34,6.19158
22.2,0.466213,114.333,6.20121
22.3,0.464225,114.325,6.21071
22.4,0.462245,114.318,6.22009
22.5,0.460272,114.31,6.22935
22.6,0.458305,114.303,6.23849
22.7,0.456346,114.296,6.24751
22.8,0.454394,114.289,6.25642
22.9,0.452449,114.282,6.26521
23,0.450511,114.276,6.27388
23.1,0.448581,114.269,6.28243
23.2,0.446657,114.262,6.29087
23.3,0.44474,114.256,6.2992
23.4,0.442831,114.25,6.30741
23.5,0.440928,114.244,6.31551
23.6,0.439033,114.237,6.32349
23.7,0.437145,114.231,6.33136
23.8,0.435264,114.226,6.33912
23.9,0.43339,114.22,6.34677
24,0.431523,114.214,6.35431
24.1,0.429663,114.209,6.36174
24.2,0.42781,114.203,6.36906
24.3,0.425964,114.198,6.37627
24.4,0.424125,114.192,6.38337
24.5,0.422294,114.187,6.39037
24.6,0.420469,114.182,6.39726
24.7,0.418651,114.177,6.40404
24.8,0.416841,114.172,6.41072
24.9,0.415037,114.168,6.41729
25,0.413241,114.163,6.42375
25.1,0.411451,114.158,6.43011
25.2,0.409669,114.154,6.43637
25.3,0.407893,114.15,6.44253
25.4,0.406125,114.145,6.44858
25.5,0.404363,114.141,6.45453
25.6,0.402608,114.137,6.46038
25.7,0.400861,114.133,6.46613
25.8,0.39912,114.129,6.47178
25.9,0.397386,114.125,6.47733
26,0.39566,114.122,6.48279
26.1,0.39394,114.118,6.48814
26.2,0.392227,114.114,6.49339
26.3,0.390521,114.111,6.49855
26.4,0.388821,114.108,6.50361
26.5,0.387129,114.104,6.50858
26.6,0.385444,114.101,6.51345
26.7,0.383765,114.098,6.51823
26.8,0.382093,114.095,6.52291
26.9,0.380428,114.092,6.52749
27,0.37877,114.089,6.53199
27.1,0.377119,114.086,6.53639
27.2,0.375474,114.084,6.5407
27.3,0.373836,114.081,6.54491
27.4,0.372205,114.079,6.54904
27.5,0.370581,114.076,6.55307
27.6,0.368964,114.074,6.55702
27.7,0.367353,114.072,6.56087
27.8,0.365749,114.07,6.56464
27.9,0.364151,114.068,6.56832
28,0.362561,114.066,6.57191
28.1,0.360977,114.064,6.57541
28.2,0.359399,114.062,6.57883
28.3,0.357828,114.06,6.58216
28.4,0.356264,114.058,6.5854
28.5,0.354707,114.057,6.58856
28.6,0.353156,114.055,6.59164
28.7,0.351611,114.054,6.59463
28.8,0.350073,114.052,6.59753
28.9,0.348542,114.051,6.60035
29,0.347017,114.05,6.60309
29.1,0.345499,114.049,6.60575
29.2,0.343987,114.048,6.60833
29.3,0.342482,114.047,6.61082
29.4,0.340983,114.046,6.61324
29.5,0.33949,114.045,6.61557
29.6,0.338004,114.044,6.61783
29.7,0.336525,114.043,6.62
29.8,0.335052,114.043,6.6221
29.9,0.333585,114.042,6.62412
30,0.332124,114.042,6.62606
30.1,0.33067,114.041,6.62792
30.2,0.329222,114.041,6.62971
30.3,0.327781,114.041,6.63142
30.4,0.326345,114.041,6.63305
30.5,0.324916,114.04,6.63461
30.6,0.323494,114.04,6.6361
30.7,0.322077,114.04,6.63751
30.8,0.320667,114.04,6.63884
30.9,0.319262,114.041,6.64011
31,0.317864,114.041,6.6413
31.1,0.316473,114.041,6.64242
31.2,0.315087,114.041,6.64346
31.3,0.313707,114.042,6.64444
31.4,0.312334,114.042,6.64534
31.5,0.310966,114.043,6.64617
31.6,0.309605,114.043,6.64693
31.7,0.30825,114.044,6.64763
31.8,0.3069,114.045,6.64825
31.9,0.305557,114.046,6.64881
32,0.30422,114.046,6.64929
32.1,0.302888,114.047,6.64971
32.2,0.301563,114.048,6.65006
32.3,0.300243,114.049,6.65035
32.4,0.29893,114.051,6.65057
32.5,0.297622,114.052,6.65072
32.6,0.29632,114.053,6.65081
32.7,0.295024,114.054,6.65083
32.8,0.293734,114.055,6.65078
32.9,0.292449,114.057,6.65068
33,0.291171,114.058,6.6505
33.1,0.289898,114.06,6.65027
33.2,0.288631,114.061,6.64997
33.3,0.287369,114.063,6.64961
33.4,0.286113,114.065,6.64919
33.5,0.284863,114.066,6.6487
33.6,0.283619,114.068,6.64816
33.7,0.28238,114.07,6.64755
33.8,0.281147,114.072,6.64688
33.9,0.27992,114.074,6.64616
34,0.278698,114.076,6.64537
34.1,0.277481,114.078,6.64452
34.2,0.27627,114.08,6.64362
34.3,0.275065,114.082,6.64265
34.4,0.273865,114.085,6.64163
34.5,0.272671,114.087,6.64055
34.6,0.271482,114.089,6.63942
34.7,0.270299,114.091,6.63822
34.8,0.26912,114.094,6.63698
34.9,0.267948,114.096,6.63567
35,0.266781,114.099,6.63431
35.1,0.265619,114.101,6.63289
35.2,0.264462,114.104,6.63142
35.3,0.263311,114.107,6.62989
35.4,0.262165,114.11,6.62832
35.5,0.261024,114.112,6.62668
35.6,0.259889,114.115,6.62499
35.7,0.258758,114.118,6.62326
35.8,0.257633,114.121,6.62146
35.9,0.256514,114.124,6.61962
36,0.255399,114.127,6.61772
36.1,0.25429,114.13,6.61577
36.2,0.253185,114.133,6.61378
36.3,0.252086,114.136,6.61173
36.4,0.250992,114.139,6.60963
36.5,0.249903,114.143,6.60748
36.6,0.248819,114.146,6.60528
36.7,0.24774,114.149,6.60303
36.8,0.246666,114.153,6.60073
36.9,0.245597,114.156,6.59839
37,0.244533,114.159,6.59599
37.1,0.243474,114.163,6.59355
37.2,0.242419,114.167,6.59106
37.3,0.24137,114.17,6.58852
37.4,0.240326,114.174,6.58594
37.5,0.239286,114.177,6.58331
37.6,0.238252,114.181,6.58064
37.7,0.237222,114.185,6.57792
37.8,0.236197,114.189,6.57515
37.9,0.235177,114.192,6.57234
38,0.234161,114.196,6.56948
38.1,0.23315,114.2,6.56658
38.2,0.232144,114.204,6.56364
38.3,0.231143,114.208,6.56065
38.4,0.230147,114.212,6.55762
38.5,0.229155,114.216,6.55454
38.6,0.228167,114.22,6.55142
38.7,0.227185,114.225,6.54826
38.8,0.226207,114.229,6.54506
38.9,0.225233,114.233,6.54182
39,0.224264,114.237,6.53853
39.1,0.2233,114.241,6.53521
39.2,0.22234,114.246,6.53184
39.3,0.221385,114.25,6.52843
39.4,0.220434,114.255,6.52499
39.5,0.219488,114.259,6.5215
39.6,0.218546,114.263,6.51797
39.7,0.217609,114.268,6.51441
39.8,0.216676,114.273,6.5108
39.9,0.215747,114.277,6.50716
40,0.214823,114.282,6.50348
40.1,0.213903,114.286,6.49976
40.2,0.212987,114.291,6.496
40.3,0.212076,114.296,6.49221
40.4,0.211169,114.3,6.48838
40.5,0.210266,114.305,6.48451
40.6,0.209368,114.31,6.48061
40.7,0.208474,114.315,6.47667
40.8,0.207584,114.32,6.47269
40.9,0.206698,114.325,6.46868
41,0.205816,114.33,6.46463
41.1,0.204939,114.335,6.46055
41.2,0.204066,114.34,6.45643
41.3,0.203197,114.345,6.45228
41.4,0.202332,114.35,6.44809
41.5,0.201471,114.355,6.44387
41.6,0.200614,114.36,6.43962
41.7,0.199761,114.365,6.43533
41.8,0.198912,114.37,6.43101
41.9,0.198068,114.375,6.42666
42,0.197227,114.38,6.42228
42.1,0.19639,114.386,6.41786
42.2,0.195557,114.391,6.41341
42.3,0.194728,114.396,6.40893
42.4,0.193903,114.402,6.40442
42.5,0.193082,114.407,6.39987
42.6,0.192265,114.412,6.3953
42.7,0.191452,114.418,6.39069
42.8,0.190643,114.423,6.38606
42.9,0.189837,114.429,6.38139
43,0.189035,114.434,6.3767
43.1,0.188237,114.44,6.37197
43.2,0.187443,114.445,6.36722
43.3,0.186653,114.451,6.36244
43.4,0.185866,114.457,6.35762
43.5,0.185083,114.462,6.35278
43.6,0.184304,114.468,6.34791
43.7,0.183528,114.473,6.34302
43.8,0.182757,114.479,6.33809
43.9,0.181988,114.485,6.33314
44,0.181224,114.491,6.32816
44.1,0.180463,114.496,6.32315
44.2,0.179706,114.502,6.31812
44.3,0.178952,114.508,6.31306
44.4,0.178202,114.514,6.30797
44.5,0.177455,114.52,6.30286
44.6,0.176712,114.526,6.29772
44.7,0.175973,114.531,6.29256
44.8,0.175237,114.537,6.28737
44.9,0.174504,114.543,6.28215
45,0.173775,114.549,6.27691
45.1,0.17305,114.555,6.27165
45.2,0.172328,114.561,6.26636
45.3,0.171609,114.567,6.26104
45.4,0.170894,114.573,6.25571
45.5,0.170182,114.579,6.25034
45.6,0.169473,114.586,6.24496
45.7,0.168768,114.592,6.23955
45.8,0.168067,114.598,6.23412
45.9,0.167368,114.604,6.22866
46,0.166673,114.61,6.22319
46.1,0.165981,114.616,6.21769
46.2,0.165293,114.623,6.21216
46.3,0.164607,114.629,6.20662
46.4,0.163925,114.635,6.20105
46.5,0.163246,114.641,6.19547
46.6,0.162571,114.648,6.18986
46.7,0.161898,114.654,6.18423
46.8,0.161229,114.66,6.17857
46.9,0.160563,114.667,6.1729
47,0.1599,114.673,6.16721
47.1,0.159241,114.679,6.16149
47.2,0.158584,114.686,6.15576
47.3,0.157931,114.692,6.15001
47.4,0.15728,114.698,6.14423
47.5,0.156633,114.705,6.13844
47.6,0.155989,114.711,6.13263
47.7,0.155347,114.718,6.12679
47.8,0.154709,114.724,6.12094
47.9,0.154074,114.731,6.11507
48,0.153442,114.737,6.10918
48.1,0.152813,114.744,6.10328
48.2,0.152187,114.75,6.09735
48.3,0.151564,114.757,6.09141
48.4,0.150943,114.764,6.08545
48.5,0.150326,114.77,6.07947
48.6,0.149712,114.777,6.07347
48.7,0.1491,114.783,6.06746
48.8,0.148492,114.79,6.06143
48.9,0.147886,114.797,6.05538
49,0.147283,114.803,6.04931
49.1,0.146683,114.81,6.04323
49.2,0.146086,114.817,6.03713
49.3,0.145492,114.823,6.03102
49.4,0.1449,114.83,6.02489
49.5,0.144311,114.837,6.01874
49.6,0.143725,114.844,6.01258
49.7,0.143142,114.85,6.0064
49.8,0.142562,114.857,6.00021
49.9,0.141984,114.864,5.994
50,0.141409,114.871,5.98778
50.1,0.140837,114.878,5.98154
50.2,0.140267,114.884,5.97529
50.3,0.1397,114.891,5.96902
50.4,0.139136,114.898,5.96274
50.5,0.138575,114.905,5.95644
50.6,0.138016,114.912,5.95013
50.7,0.13746,114.919,5.94381
50.8,0.136906,114.926,5.93747
50.9,0.136355,114.933,5.93112
51,0.135806,114.939,5.92475
51.1,0.135261,114.946,5.91838
51.2,0.134717,114.953,5.91198
51.3,0.134177,114.96,5.90558
51.4,0.133638,114.967,5.89916
51.5,0.133103,114.974,5.89273
51.6,0.13257,114.981,5.88629
51.7,0.132039,114.988,5.87984
51.8,0.131511,114.995,5.87337
51.9,0.130985,115.002,5.8669
52,0.130462,115.009,5.86041
52.1,0.129941,115.016,5.8539
52.2,0.129423,115.023,5.84739
52.3,0.128907,115.03,5.84087
52.4,0.128394,115.037,5.83433
52.5,0.127882,115.044,5.82778
52.6,0.127374,115.051,5.82122
52.7,0.126868,115.058,5.81466
52.8,0.126364,115.066,5.80808
52.9,0.125862,115.073,5.80149
53,0.125363,115.08,5.79489
53.1,0.124866,115.087,5.78828
53.2,0.124372,115.094,5.78165
53.3,0.123879,115.101,5.77502
53.4,0.123389,115.108,5.76838
53.5,0.122902,115.115,5.76173
53.6,0.122416,115.123,5.75507
53.7,0.121933,115.13,5.7484
53.8,0.121452,115.137,5.74172
53.9,0.120974,115.144,5.73504
54,0.120497,115.151,5.72834
54.1,0.120023,115.158,5.72163
54.2,0.119551,115.166,5.71492
54.3,0.119082,115.173,5.7082
54.4,0.118614,115.18,5.70146
54.5,0.118149,115.187,5.69472
54.6,0.117686,115.194,5.68798
54.7,0.117225,115.202,5.68122
54.8,0.116766,115.209,5.67446
54.9,0.116309,115.216,5.66768
55,0.115854,115.223,5.6609
55.1,0.115402,115.23,5.65412
55.2,0.114951,115.238,5.64732
55.3,0.114503,115.245,5.64052
55.4,0.114057,115.252,5.63371
55.5,0.113612,115.259,5.62689
55.6,0.11317,115.267,5.62007
55.7,0.11273,115.274,5.61324
55.8,0.112292,115.281,5.6064
55.9,0.111856,115.289,5.59955
56,0.111422,115.296,5.5927
56.1,0.11099,115.303,5.58584
56.2,0.11056,115.31,5.57898
56.3,0.110132,115.318,5.57211
56.4,0.109706,115.325,5.56523
56.5,0.109282,115.332,5.55835
56.6,0.10886,115.34,5.55146
56.7,0.10844,115.347,5.54457
56.8,0.108022,115.354,5.53767
56.9,0.107605,115.362,5.53077
57,0.107191,115.369,5.52386
57.1,0.106779,115.376,5.51694
57.2,0.106368,115.384,5.51002
57.3,0.105959,115.391,5.50309
57.4,0.105553,115.398,5.49616
57.5,0.105148,115.406,5.48923
57.6,0.104745,115.413,5.48228
57.7,0.104343,115.42,5.47534
57.8,0.103944,115.428,5.46839
57.9,0.103546,115.435,5.46143
58,0.103151,115.442,5.45447
58.1,0.102757,115.45,5.44751
58.2,0.102365,115.457,5.44054
58.3,0.101974,115.464,5.43357
58.4,0.101586,115.472,5.4266
58.5,0.101199,115.479,5.41962
58.6,0.100814,115.487,5.41263
58.7,0.100431,115.494,5.40565
58.8,0.10005,115.501,5.39866
58.9,0.09967,115.509,5.39166
59,0.099292,115.516,5.38466
59.1,0.0989158,115.523,5.37766
59.2,0.0985413,115.531,5.37066
59.3,0.0981685,115.538,5.36365
59.4,0.0977974,115.546,5.35664
59.5,0.097428,115.553,5.34963
59.6,0.0970602,115.56,5.34261
59.7,0.0966942,115.568,5.33559
59.8,0.0963298,115.575,5.32857
59.9,0.095967,115.582,5.32155
60,0.0956059,115.59,5.31452
60.1,0.0952465,115.597,5.30749
60.2,0.0948887,115.605,5.30046
60.3,0.0945325,115.612,5.29343
60.4,0.0941779,115.619,5.28639
60.5,0.0938249,115.627,5.27935
60.6,0.0934736,115.634,5.27231
60.7,0.0931238,115.642,5.26527
60.8,0.0927756,115.649,5.25823
60.9,0.092429,115.656,5.25118
61,0.0920839,115.664,5.24413
61.1,0.0917404,115.671,5.23708
61.2,0.0913985,115.679,5.23003
61.3,0.0910581,115.686,5.22298
61.4,0.0907193,115.693,5.21593
61.5,0.0903819,115.701,5.20888
61.6,0.0900461,115.708,5.20182
61.7,0.0897118,115.716,5.19476
61.8,0.089379,115.723,5.18771
61.9,0.0890478,115.73,5.18065
62,0.088718,115.738,5.17359
62.1,0.0883896,115.745,5.16653
62.2,0.0880628,115.752,5.15947
62.3,0.0877374,115.76,5.15241
62.4,0.0874135,115.767,5.14535
62.5,0.0870911,115.775,5.13828
62.6,0.08677,115.782,5.13122
62.7,0.0864505,115.789,5.12416
62.8,0.0861323,115.797,5.11709
62.9,0.0858156,115.804,5.11003
63,0.0855003,115.812,5.10297
63.1,0.0851864,115.819,5.0959
63.2,0.084874,115.826,5.08884
63.3,0.0845629,115.834,5.08178
63.4,0.0842532,115.841,5.07471
63.5,0.0839448,115.848,5.06765
63.6,0.0836379,115.856,5.06059
63.7,0.0833323,115.863,5.05352
63.8,0.0830281,115.871,5.04646
63.9,0.0827253,115.878,5.0394
64,0.0824238,115.885,5.03234
64.1,0.0821236,115.893,5.02528
64.2,0.0818248,115.9,5.01822
64.3,0.0815272,115.907,5.01116
64.4,0.0812311,115.915,5.0041
64.5,0.0809362,115.922,4.99704
64.6,0.0806426,115.929,4.98999
64.7,0.0803504,115.937,4.98293
64.8,0.0800594,115.944,4.97588
64.9,0.0797697,115.951,4.96882
65,0.0794813,115.959,4.96177
65.1,0.0791942,115.966,4.95472
65.2,0.0789084,115.973,4.94767
65.3,0.0786238,115.981,4.94062
65.4,0.0783404,115.988,4.93358
65.5,0.0780584,115.995,4.92653
65.6,0.0777775,116.003,4.91949
65.7,0.0774979,116.01,4.91245
65.8,0.0772196,116.017,4.90541
65.9,0.0769424,116.025,4.89837
66,0.0766665,116.032,4.89133
66.1,0.0763918,116.039,4.8843
66.2,0.0761183,116.047,4.87726
66.3,0.075846,116.054,4.87023
66.4,0.0755749,116.061,4.8632
66.5,0.075305,116.069,4.85618
66.6,0.0750362,116.076,4.84915
66.7,0.0747687,116.083,4.84213
66.8,0.0745023,116.09,4.83511
66.9,0.0742371,116.098,4.82809
67,0.073973,116.105,4.82108
67.1,0.0737101,116.112,4.81406
67.2,0.0734484,116.119,4.80705
67.3,0.0731877,116.127,4.80005
67.4,0.0729283,116.134,4.79304
67.5,0.0726699,116.141,4.78604
67.6,0.0724127,116.149,4.77904
67.7,0.0721566,116.156,4.77204
67.8,0.0719016,116.163,4.76504
67.9,0.0716478,116.17,4.75805
68,0.071395,116.178,4.75106
68.1,0.0711433,116.185,4.74408
68.2,0.0708927,116.192,4.73709
68.3,0.0706432,116.199,4.73011
68.4,0.0703948,116.206,4.72313
68.5,0.0701475,116.214,4.71616
68.6,0.0699012,116.221,4.70919
68.7,0.069656,116.228,4.70222
68.8,0.0694119,116.235,4.69526
68.9,0.0691688,116.243,4.6883
69,0.0689268,116.25,4.68134
69.1,0.0686858,116.257,4.67438
69.2,0.0684459,116.264,4.66743
69.3,0.0682069,116.271,4.66048
69.4,0.0679691,116.278,4.65354
