t,I,S,R
18.3,42.0148,12.5011,945.484
18.4,42.015,12.501,945.484
18.5,42.0152,12.501,945.484
18.6,42.0154,12.5009,945.484
18.7,42.0155,12.5009,945.484
18.8,42.0156,12.5008,945.484
18.9,42.0158,12.5007,945.483
19,42.0159,12.5007,945.483
19.1,42.016,12.5007,945.483
19.2,42.0161,12.5006,945.483
19.3,42.0162,12.5006,945.483
19.4,42.0163,12.5005,945.483
19.5,42.0164,12.5005,945.483
19.6,42.0165,12.5004,945.483
19.7,42.0166,12.5004,945.483
19.8,42.0166,12.5004,945.483
19.9,42.0167,12.5003,945.483
20,42.0167,12.5003,945.483
20.1,42.0168,12.5003,945.483
20.2,42.0168,12.5003,945.483
20.3,42.0169,12.5002,945.483
20.4,42.0169,12.5002,945.483
20.5,42.017,12.5002,945.483
20.6,42.017,12.5002,945.483
20.7,42.017,12.5002,945.483
20.8,42.017,12.5002,945.483
20.9,42.0171,12.5001,945.483
21,42.0171,12.5001,945.483
21.1,42.0171,12.5001,945.483
21.2,42.0171,12.5001,945.483
21.3,42.0171,12.5001,945.483
21.4,42.0172,12.5001,945.483
21.5,42.0172,12.5001,945.483
21.6,42.0172,12.5001,945.483
21.7,42.0172,12.5001,945.483
21.8,42.0172,12.5,945.483
21.9,42.0172,12.5,945.483
22,42.0172,12.5,945.483
22.1,42.0172,12.5,945.483
22.2,42.0172,12.5,945.483
22.3,42.0172,12.5,945.483
22.4,42.0172,12.5,945.483
22.5,42.0172,12.5,945.483
22.6,42.0172,12.5,945.483
22.7,42.0173,12.5,945.483
22.8,42.0173,12.5,945.483
22.9,42.0173,12.5,945.483
23,42.0173,12.5,945.483
23.1,42.0173,12.5,945.483
23.2,42.0173,12.5,945.483
23.3,42.0173,12.5,945.483
23.4,42.0173,12.5,945.483
23.5,42.0173,12.5,945.483
23.6,42.0173,12.5,945.483
23.7,42.0173,12.5,945.483
23.8,42.0173,12.5,945.483
23.9,42.0173,12.5,945.483
24,42.0173,12.5,945.483
24.1,42.0173,12.5,945.483
24.2,42.0173,12.5,945.483
24.3,42.0173,12.5,945.483
24.4,42.0173,12.5,945.483
24.5,42.0173,12.5,945.483
24.6,42.0173,12.5,945.483
24.7,42.0173,12.5,945.483
24.8,42.0173,12.5,945.483
24.9,42.0173,12.5,945.483
25,42.0173,12.5,945.483
25.1,42.0173,12.5,945.483
25.2,42.0173,12.5,945.483
25.3,42.0173,12.5,945.483
25.4,42.0173,12.5,945.483
25.5,42.0173,12.5,945.483
25.6,42.0173,12.5,945.483
25.7,42.0173,12.5,945.483
25.8,42.0173,12.5,945.483
25.9,42.0173,12.5,945.483
26,42.0173,12.5,945.483
26.1,42.0173,12.5,945.483
26.2,42.0173,12.5,945.483
26.3,42.0173,12.5,945.483
26.4,42.0173,12.5,945.483
26.5,42.0173,12.5,945.483
26.6,42.0173,12.5,945.483
26.7,42.0173,12.5,945.483
26.8,42.0173,12.5,945.483
26.9,42.0173,12.5,945.483
27,42.0173,12.5,945.483
27.1,42.0173,12.5,945.483
27.2,42.0173,12.5,945.483
27.3,42.0173,12.5,945.483
27.4,42.0173,12.5,945.483
27.5,42.0173,12.5,945.483
27.6,42.0173,12.5,945.483
27.7,42.0173,12.5,945.483
27.8,42.0173,12.5,945.483
27.9,42.0173,12.5,945.483
28,42.0173,12.5,945.483
28.1,42.0173,12.5,945.483
28.2,42.0173,12.5,945.483
28.3,42.0173,12.5,945.483
28.4,42.0173,12.5,945.483
28.5,42.0173,12.5,945.483
28.6,42.0173,12.5,945.483
28.7,42.0173,12.5,945.483
28.8,42.0173,12.5,945.483
28.9,42.0173,12.5,945.483
29,42.0173,12.5,945.483
29.1,42.0173,12.5,945.483
29.2,42.0173,12.5,945.483
29.3,42.0173,12.5,945.483
29.4,42.0173,12.5,945.483
29.5,42.0173,12.5,945.483
29.6,42.0173,12.5,945.483
29.7,42.0173,12.5,945.483
29.8,42.0173,12.5,945.483
29.9,42.0173,12.5,945.483
30,42.0173,12.5,945.483
30.1,42.0173,12.5,945.483
30.2,42.0173,12.5,945.483
30.3,42.0173,12.5,945.483
30.4,42.0173,12.5,945.483
30.5,42.0173,12.5,945.483
30.6,42.0173,12.5,945.483
30.7,42.0173,12.5,945.483
30.8,42.0173,12.5,945.483
30.9,42.0173,12.5,945.483
31,42.0173,12.5,945.483
31.1,42.0173,12.5,945.483
31.2,42.0173,12.5,945.483
31.3,42.0173,12.5,945.483
31.4,42.0173,12.5,945.483
31.5,42.0173,12.5,945.483
31.6,42.0173,12.5,945.483
31.7,42.0173,12.5,945.483
31.8,42.0173,12.5,945.483
31.9,42.0173,12.5,945.483
32,42.0173,12.5,945.483
32.1,42.0173,12.5,945.483
32.2,42.0173,12.5,945.483
32.3,42.0173,12.5,945.483
32.4,42.0173,12.5,945.483
32.5,42.0173,12.5,945.483
32.6,42.0173,12.5,945.483
32.7,42.0173,12.5,945.483
32.8,42.0173,12.5,945.483
32.9,42.0173,12.5,945.483
33,42.0173,12.5,945.483
33.1,42.0173,12.5,945.483
33.2,42.0173,12.5,945.483
33.3,42.0173,12.5,945.483
33.4,42.0173,12.5,945.483
33.5,42.0173,12.5,945.483
33.6,42.0173,12.5,945.483
33.7,42.0173,12.5,945.483
33.8,42.0173,12.5,945.483
33.9,42.0173,12.5,945.483
34,42.0173,12.5,945.483
34.1,42.0173,12.5,945.483
34.2,42.0173,12.5,945.483
34.3,42.0173,12.5,945.483
34.4,42.0173,12.5,945.483
34.5,42.0173,12.5,945.483
34.6,42.0173,12.5,945.483
34.7,42.0173,12.5,945.483
34.8,42.0173,12.5,945.483
34.9,42.0173,12.5,945.483
35,42.0173,12.5,945.483
35.1,42.0173,12.5,945.483
35.2,42.0173,12.5,945.483
35.3,42.0173,12.5,945.483
35.4,42.0173,12.5,945.483
35.5,42.0173,12.5,945.483
35.6,42.0173,12.5,945.483
35.7,42.0173,12.5,945.483
35.8,42.0173,12.5,945.483
35.9,42.0173,12.5,945.483
36,42.0173,12.5,945.483
36.1,42.0173,12.5,945.483
36.2,42.0173,12.5,945.483
36.3,42.0173,12.5,945.483
36.4,42.0173,12.5,945.483
