espera_carga,dt_espera_carga,espera_descarga,dt_espera_descarga,procesados,dt_procesados,estancia,dt_estancia,porcent_ocio,dt_porcent_ocio
0.005615,0.005733,0.004376,0.004238,79.162003,8.849735,2.855058,0.200239,88.519188,5.267470
0.005536,0.006266,0.004338,0.004362,80.309998,9.088818,2.855360,0.209510,88.596001,5.494697
0.005536,0.006266,0.004338,0.004362,80.309998,9.088818,2.855360,0.209510,88.596001,5.494697
0.005059,0.005255,0.004089,0.004209,79.411003,9.044545,2.837521,0.197922,88.879013,5.397233
0.005501,0.005780,0.004528,0.004175,79.903999,9.031975,2.859794,0.206479,88.277710,5.518374
0.005501,0.005780,0.004528,0.004175,79.903999,9.031975,2.859794,0.206479,88.277710,5.518374
0.005163,0.005438,0.004244,0.004085,79.195999,8.991237,2.847947,0.198316,88.878014,5.418566
0.005163,0.005438,0.004244,0.004085,79.195999,8.991237,2.847947,0.198316,88.878014,5.418566
0.005179,0.005534,0.004114,0.003977,79.467003,9.026958,2.842000,0.206005,88.959099,5.311423
0.005179,0.005534,0.004114,0.003977,79.467003,9.026958,2.842000,0.206005,88.959099,5.311423
0.005433,0.005790,0.004519,0.004474,79.657997,9.017584,2.856333,0.209484,88.498260,5.423090
0.005433,0.005790,0.004519,0.004474,79.657997,9.017584,2.856333,0.209484,88.498260,5.423090
0.005404,0.006195,0.004659,0.004393,79.375999,9.100292,2.846776,0.201867,88.661270,5.415286
0.005404,0.006195,0.004659,0.004393,79.375999,9.100292,2.846776,0.201867,88.661270,5.415286
0.005353,0.005808,0.004277,0.004126,79.411003,8.807132,2.855866,0.213106,88.505692,5.372743
0.005353,0.005808,0.004277,0.004126,79.411003,8.807132,2.855866,0.213106,88.505692,5.372743
0.005076,0.005537,0.004207,0.004072,79.862000,8.642435,2.842046,0.204002,88.514320,5.371578
0.005204,0.005975,0.004192,0.004010,79.306999,9.024324,2.851642,0.197556,88.394112,5.547050
0.005204,0.005975,0.004192,0.004010,79.306999,9.024324,2.851642,0.197556,88.394112,5.547050
0.005313,0.005839,0.004217,0.003991,79.912003,9.268867,2.841768,0.198753,88.620583,5.342663
0.005313,0.005839,0.004217,0.003991,79.912003,9.268867,2.841768,0.198753,88.620583,5.342663
0.005462,0.005695,0.004243,0.004011,79.262001,9.035549,2.858327,0.205722,88.787849,5.428302
0.005462,0.005695,0.004243,0.004011,79.262001,9.035549,2.858327,0.205722,88.787849,5.428302
0.004870,0.005481,0.004383,0.004239,79.528999,8.755093,2.845036,0.206299,88.790291,5.156461
0.004870,0.005481,0.004383,0.004239,79.528999,8.755093,2.845036,0.206299,88.790291,5.156461
0.004980,0.005522,0.004140,0.003894,79.181000,8.850697,2.843448,0.208571,88.624832,5.162911
0.004980,0.005522,0.004140,0.003894,79.181000,8.850697,2.843448,0.208571,88.624832,5.162911
0.005524,0.006456,0.004385,0.004332,79.302002,8.848095,2.860272,0.197892,88.604088,5.320649
0.005383,0.005837,0.004476,0.004118,79.990997,8.640350,2.845849,0.209825,88.717659,5.496154
0.005383,0.005837,0.004476,0.004118,79.990997,8.640350,2.845849,0.209825,88.717659,5.496154
0.005333,0.005683,0.004236,0.003964,79.170998,8.562904,2.863372,0.209090,88.743256,5.396677
0.005333,0.005683,0.004236,0.003964,79.170998,8.562904,2.863372,0.209090,88.743256,5.396677
0.005477,0.005819,0.004417,0.004486,79.873001,9.143556,2.847901,0.197738,88.777100,5.672890
0.005477,0.005819,0.004417,0.004486,79.873001,9.143556,2.847901,0.197738,88.777100,5.672890
0.005473,0.006238,0.004327,0.003990,79.683998,8.896272,2.849402,0.201915,88.499573,5.326337
0.005473,0.006238,0.004327,0.003990,79.683998,8.896272,2.849402,0.201915,88.499573,5.326337
0.005465,0.006318,0.004437,0.004630,79.484001,9.164250,2.854432,0.208706,88.543007,5.310905
0.005465,0.006318,0.004437,0.004630,79.484001,9.164250,2.854432,0.208706,88.543007,5.310905
0.005225,0.005474,0.004359,0.004210,79.693001,8.947433,2.857402,0.208439,88.640419,5.453828
0.005225,0.005474,0.004359,0.004210,79.693001,8.947433,2.857402,0.208439,88.640419,5.453828
0.005240,0.006051,0.004173,0.004013,78.942001,8.850471,2.847171,0.213338,88.766251,5.393755
0.005240,0.006051,0.004173,0.004013,78.942001,8.850471,2.847171,0.213338,88.766251,5.393755
0.005457,0.006296,0.004464,0.004265,79.255997,8.805114,2.851604,0.212652,88.585892,5.296277
0.005457,0.006296,0.004464,0.004265,79.255997,8.805114,2.851604,0.212652,88.585892,5.296277
0.005328,0.005820,0.004322,0.004201,79.592003,8.769287,2.852778,0.210283,88.639084,5.324411
0.005328,0.005820,0.004322,0.004201,79.592003,8.769287,2.852778,0.210283,88.639084,5.324411
0.005023,0.005274,0.004354,0.004138,79.639000,8.972012,2.854667,0.202498,88.788826,5.243662
0.005474,0.006090,0.004389,0.004302,79.941002,9.206533,2.853081,0.206525,88.895325,5.596054
0.005474,0.006090,0.004389,0.004302,79.941002,9.206533,2.853081,0.206525,88.895325,5.596054
0.005239,0.005703,0.004380,0.004038,79.794998,8.721529,2.863143,0.201640,88.898827,5.441241
0.005239,0.005703,0.004380,0.004038,79.794998,8.721529,2.863143,0.201640,88.898827,5.441241
0.005578,0.007177,0.004467,0.004481,79.667000,8.995717,2.857213,0.200264,88.532341,5.326243
0.005578,0.007177,0.004467,0.004481,79.667000,8.995717,2.857213,0.200264,88.532341,5.326243
0.005278,0.005917,0.004313,0.004398,79.503998,8.638206,2.851599,0.203253,88.658798,5.544343
0.005278,0.005917,0.004313,0.004398,79.503998,8.638206,2.851599,0.203253,88.658798,5.544343
0.005117,0.005773,0.004168,0.004305,79.157997,9.075895,2.850557,0.209371,88.691063,5.635669
0.005117,0.005773,0.004168,0.004305,79.157997,9.075895,2.850557,0.209371,88.691063,5.635669
0.005246,0.005547,0.004120,0.004068,79.611000,8.879885,2.843577,0.196997,88.396690,5.160730
0.005411,0.006099,0.004356,0.004254,79.410004,8.998026,2.856455,0.206606,88.696953,5.396399
0.005411,0.006099,0.004356,0.004254,79.410004,8.998026,2.856455,0.206606,88.696953,5.396399
0.005292,0.005547,0.004428,0.004125,79.447998,8.679334,2.853898,0.204026,88.867203,5.612932
0.005292,0.005547,0.004428,0.004125,79.447998,8.679334,2.853898,0.204026,88.867203,5.612932
0.005415,0.006145,0.004232,0.004240,79.561996,9.007977,2.853921,0.198236,88.728195,5.452865
0.005415,0.006145,0.004232,0.004240,79.561996,9.007977,2.853921,0.198236,88.728195,5.452865
0.005316,0.005759,0.004330,0.004286,79.588997,8.987618,2.843846,0.204216,88.698669,5.420413
0.005316,0.005759,0.004330,0.004286,79.588997,8.987618,2.843846,0.204216,88.698669,5.420413
0.005307,0.005606,0.004262,0.004111,79.790001,8.929487,2.859783,0.205635,88.658241,5.237932
0.005307,0.005606,0.004262,0.004111,79.790001,8.929487,2.859783,0.205635,88.658241,5.237932
0.004981,0.005425,0.004278,0.003866,79.353996,9.147715,2.847145,0.202141,88.728966,5.519100
0.005300,0.006249,0.004390,0.004438,79.546997,9.224809,2.855489,0.201949,88.485687,5.271650
0.005300,0.006249,0.004390,0.004438,79.546997,9.224809,2.855489,0.201949,88.485687,5.271650
0.005532,0.006698,0.004268,0.004301,79.710999,9.038096,2.856020,0.215604,88.325668,5.284499
0.005532,0.006698,0.004268,0.004301,79.710999,9.038096,2.856020,0.215604,88.325668,5.284499
0.005672,0.006368,0.004475,0.004106,79.635002,9.219355,2.849226,0.209587,88.491730,5.105298
0.005672,0.006368,0.004475,0.004106,79.635002,9.219355,2.849226,0.209587,88.491730,5.105298
0.005438,0.006247,0.004249,0.004195,79.494003,9.044186,2.846809,0.205343,88.792572,5.243042
0.005438,0.006247,0.004249,0.004195,79.494003,9.044186,2.846809,0.205343,88.792572,5.243042
0.005374,0.006066,0.004340,0.004108,79.339996,9.095561,2.852035,0.200443,88.391411,5.342944
0.005374,0.006066,0.004340,0.004108,79.339996,9.095561,2.852035,0.200443,88.391411,5.342944
0.005616,0.006221,0.004277,0.004249,79.611000,8.949838,2.847652,0.215780,88.613365,5.197356
0.005616,0.006221,0.004277,0.004249,79.611000,8.949838,2.847652,0.215780,88.613365,5.197356
0.005091,0.005621,0.004213,0.003941,79.517998,8.992044,2.850544,0.202039,88.610748,5.374885
0.005187,0.005517,0.004226,0.004096,79.297997,9.250247,2.846896,0.200676,88.395638,5.274165
0.005187,0.005517,0.004226,0.004096,79.297997,9.250247,2.846896,0.200676,88.395638,5.274165
0.005353,0.005818,0.004306,0.004251,79.319000,8.930103,2.857231,0.201469,88.669777,5.467668
0.005353,0.005818,0.004306,0.004251,79.319000,8.930103,2.857231,0.201469,88.669777,5.467668
0.005332,0.005605,0.004386,0.004126,79.307999,8.677920,2.862154,0.211970,88.983353,5.307086
0.005332,0.005605,0.004386,0.004126,79.307999,8.677920,2.862154,0.211970,88.983353,5.307086
0.005005,0.005705,0.004443,0.004474,79.617996,8.867307,2.851116,0.208351,88.914673,5.432680
0.005005,0.005705,0.004443,0.004474,79.617996,8.867307,2.851116,0.208351,88.914673,5.432680
0.005343,0.005852,0.004373,0.004335,79.498001,9.056270,2.853295,0.210200,88.939430,5.429731
0.005343,0.005852,0.004373,0.004335,79.498001,9.056270,2.853295,0.210200,88.939430,5.429731
0.005458,0.005898,0.004368,0.004069,79.529999,8.950034,2.852533,0.206882,88.687256,5.456443
0.005458,0.005898,0.004368,0.004069,79.529999,8.950034,2.852533,0.206882,88.687256,5.456443
0.005002,0.005363,0.004157,0.004057,78.901001,9.060303,2.852669,0.198784,88.707390,5.476540
0.005002,0.005363,0.004157,0.004057,78.901001,9.060303,2.852669,0.198784,88.707390,5.476540
0.005167,0.005658,0.004335,0.004360,79.190002,9.016029,2.853781,0.200310,88.879097,5.326619
0.005167,0.005658,0.004335,0.004360,79.190002,9.016029,2.853781,0.200310,88.879097,5.326619
0.005192,0.005705,0.004352,0.004082,79.003998,8.891178,2.848530,0.206203,89.053658,5.424059
0.005270,0.005448,0.004478,0.004306,79.392998,8.796583,2.852102,0.204316,88.635803,5.488682
