espera_carga,dt_espera_carga,espera_descarga,dt_espera_descarga,procesados,dt_procesados,estancia,dt_estancia,porcent_ocio,dt_porcent_ocio
0.000005,0.000123,0.000000,0.000000,78.330002,9.140490,10.665656,0.832145,76.453186,9.049552
0.000005,0.000123,0.000000,0.000000,78.330002,9.140490,10.665656,0.832145,76.453186,9.049552
0.000003,0.000090,0.000000,0.000000,78.521004,8.738184,10.688795,0.848091,76.566742,9.393095
0.000003,0.000090,0.000000,0.000000,78.521004,8.738184,10.688795,0.848091,76.566742,9.393095
0.000000,0.000000,0.000000,0.000000,77.663002,8.727638,10.676510,0.796360,76.799797,9.131122
0.000000,0.000000,0.000000,0.000000,77.663002,8.727638,10.676510,0.796360,76.799797,9.131122
0.000008,0.000173,0.000000,0.000000,78.647003,8.757779,10.705392,0.849993,76.144676,9.449354
0.000008,0.000173,0.000000,0.000000,78.647003,8.757779,10.705392,0.849993,76.144676,9.449354
0.000001,0.000040,0.000000,0.000000,78.449997,9.143692,10.654576,0.794871,76.108406,9.401643
0.000001,0.000040,0.000000,0.000000,78.449997,9.143692,10.654576,0.794871,76.108406,9.401643
0.000005,0.000160,0.000000,0.000000,78.149002,9.416963,10.684988,0.856683,76.365166,9.321018
0.000000,0.000000,0.000000,0.000000,78.516998,8.960820,10.675357,0.798747,76.444832,9.317044
0.000000,0.000000,0.000000,0.000000,78.516998,8.960820,10.675357,0.798747,76.444832,9.317044
0.000001,0.000034,0.000000,0.000000,78.155998,8.858469,10.679398,0.872817,76.001816,9.356203
0.000001,0.000034,0.000000,0.000000,78.155998,8.858469,10.679398,0.872817,76.001816,9.356203
0.000003,0.000111,0.000000,0.000000,78.641998,9.095643,10.688773,0.817655,75.882111,9.042221
0.000003,0.000111,0.000000,0.000000,78.641998,9.095643,10.688773,0.817655,75.882111,9.042221
0.000001,0.000036,0.000000,0.000000,77.950996,8.902711,10.699507,0.811607,76.267815,9.481054
0.000001,0.000036,0.000000,0.000000,77.950996,8.902711,10.699507,0.811607,76.267815,9.481054
0.000000,0.000000,0.000000,0.000000,78.358002,9.395093,10.618692,0.832141,76.621201,9.492212
0.000000,0.000000,0.000000,0.000000,78.358002,9.395093,10.618692,0.832141,76.621201,9.492212
0.000000,0.000004,0.000000,0.000000,77.744003,9.024824,10.710043,0.838022,76.563026,9.470860
0.000000,0.000000,0.000000,0.000000,78.069000,8.779469,10.675426,0.786573,76.114883,8.806904
0.000000,0.000000,0.000000,0.000000,78.069000,8.779469,10.675426,0.786573,76.114883,8.806904
0.000000,0.000009,0.000000,0.000000,78.344002,9.100677,10.680195,0.833272,76.305435,9.203299
0.000000,0.000009,0.000000,0.000000,78.344002,9.100677,10.680195,0.833272,76.305435,9.203299
0.000011,0.000233,0.000000,0.000000,78.272003,9.006504,10.748447,0.791978,76.105850,9.184109
0.000011,0.000233,0.000000,0.000000,78.272003,9.006504,10.748447,0.791978,76.105850,9.184109
0.000018,0.000465,0.000000,0.000000,78.767998,8.773910,10.668651,0.785035,76.222954,9.283274
0.000018,0.000465,0.000000,0.000000,78.767998,8.773910,10.668651,0.785035,76.222954,9.283274
0.000000,0.000000,0.000000,0.000000,77.833000,8.643941,10.733116,0.830104,76.173294,9.686167
0.000000,0.000000,0.000000,0.000000,77.833000,8.643941,10.733116,0.830104,76.173294,9.686167
0.000000,0.000000,0.000000,0.000000,78.180000,8.329398,10.657053,0.804255,76.048119,8.898240
0.000000,0.000000,0.000000,0.000000,78.180000,8.329398,10.657053,0.804255,76.048119,8.898240
0.000003,0.000098,0.000000,0.000000,78.535004,8.579984,10.684569,0.803866,76.301414,9.171238
0.000002,0.000069,0.000000,0.000000,78.192001,8.935595,10.701970,0.803550,76.638641,9.796069
0.000002,0.000069,0.000000,0.000000,78.192001,8.935595,10.701970,0.803550,76.638641,9.796069
0.000002,0.000063,0.000000,0.000000,78.282997,8.753263,10.688664,0.808488,76.015381,9.298977
0.000002,0.000063,0.000000,0.000000,78.282997,8.753263,10.688664,0.808488,76.015381,9.298977
0.000006,0.000146,0.000000,0.000000,77.989998,8.740847,10.707383,0.837074,76.944252,9.469856
0.000006,0.000146,0.000000,0.000000,77.989998,8.740847,10.707383,0.837074,76.944252,9.469856
