Probabilidad,Diferencia,Esperado
0.200000,8,-26.000000
0.200000,9,-52.000000
0.200000,10,-152.000000
0.300000,3,38.000000
0.300000,4,16.000000
0.300000,5,-4.000000
0.300000,6,-30.000000
0.300000,7,-120.000000
0.300000,8,-88.000000
0.300000,9,-104.000000
0.300000,10,-146.000000
0.400000,3,26.000000
0.400000,4,-28.000000
0.400000,5,-6.000000
0.400000,6,-74.000000
0.400000,7,-244.000000
0.400000,8,-252.000000
0.400000,9,-410.000000
0.400000,10,-312.000000
0.500000,3,-6.000000
0.500000,4,-86.000000
0.500000,5,-128.000000
0.500000,6,-270.000000
0.500000,7,-324.000000
0.500000,8,-388.000000
0.500000,9,-568.000000
0.500000,10,-548.000000
0.600000,3,34.000000
0.600000,4,22.000000
0.600000,5,-114.000000
0.600000,6,-202.000000
0.600000,7,-176.000000
0.600000,8,-236.000000
0.600000,9,-264.000000
0.600000,10,-316.000000
0.700000,3,50.000000
0.700000,4,4.000000
0.700000,5,-32.000000
0.700000,6,-32.000000
0.700000,7,-82.000000
0.700000,8,-82.000000
0.700000,9,-110.000000
0.700000,10,-128.000000
0.800000,3,44.000000
0.800000,4,18.000000
0.800000,5,36.000000
0.800000,6,2.000000
0.800000,7,-22.000000
0.800000,8,-20.000000
0.800000,9,-40.000000
0.800000,10,-80.000000
0.900000,3,42.000000
0.900000,4,50.000000
0.900000,5,34.000000
0.900000,6,18.000000
0.900000,7,14.000000
0.900000,8,8.000000
0.900000,9,-18.000000
0.900000,10,-14.000000
1.000000,3,70.000000
1.000000,4,60.000000
1.000000,5,50.000000
1.000000,6,40.000000
1.000000,7,30.000000
1.000000,8,20.000000
1.000000,9,10.000000
1.000000,10,0.000000
0.100000,3,58.000000
0.100000,4,54.000000
0.100000,5,38.000000
0.100000,6,18.000000
0.100000,7,4.000000
0.100000,8,10.000000
0.100000,9,-6.000000
0.100000,10,-12.000000
0.200000,3,54.000000
0.200000,4,32.000000
0.200000,5,38.000000
0.200000,6,10.000000
0.200000,7,-18.000000
0.200000,8,-42.000000
0.200000,9,-36.000000
0.200000,10,-54.000000
0.300000,3,34.000000
0.300000,4,6.000000
0.300000,5,-2.000000
0.300000,6,-40.000000
0.300000,7,-70.000000
0.300000,8,-120.000000
0.300000,9,-176.000000
0.300000,10,-148.000000
0.400000,3,30.000000
0.400000,4,-2.000000
0.400000,5,-202.000000
0.400000,6,-136.000000
0.400000,7,-204.000000
0.400000,8,-334.000000
0.400000,9,-194.000000
0.400000,10,-194.000000
0.500000,3,22.000000
0.500000,4,-72.000000
0.500000,5,-142.000000
0.500000,6,-438.000000
0.500000,7,-298.000000
0.500000,8,-734.000000
0.500000,9,-876.000000
0.500000,10,-1116.000000
0.600000,3,14.000000
0.600000,4,4.000000
0.600000,5,-90.000000
0.600000,6,-184.000000
0.600000,7,-276.000000
0.600000,8,-360.000000
0.600000,9,-220.000000
0.600000,10,-450.000000
0.700000,3,24.000000
0.700000,4,12.000000
0.700000,5,-12.000000
0.700000,6,-36.000000
0.700000,7,-76.000000
0.700000,8,-58.000000
0.700000,9,-194.000000
0.700000,10,-176.000000
0.800000,3,52.000000
0.800000,4,10.000000
0.800000,5,38.000000
0.800000,6,4.000000
