Veces,Probabilidad,Diferencia,Pago_Lanzamiento,Pago_Finalizar,Esperado
10,0.500000,3,100.000000,100.000000,-760.000000
10,0.500000,3,100.000000,100.000000,-720.000000
10,0.500000,3,100.000000,100.000000,-860.000000
10,0.500000,3,100.000000,100.000000,-920.000000
10,0.500000,3,100.000000,100.000000,-440.000000
10,0.500000,3,100.000000,100.000000,-960.000000
10,0.500000,3,100.000000,100.000000,-580.000000
10,0.500000,3,100.000000,100.000000,-780.000000
10,0.500000,3,100.000000,100.000000,-700.000000
10,0.500000,3,100.000000,100.000000,-440.000000
10,0.500000,3,100.000000,100.000000,-500.000000
10,0.500000,3,100.000000,100.000000,-660.000000
10,0.500000,3,100.000000,100.000000,-880.000000
10,0.500000,3,100.000000,100.000000,-760.000000
10,0.500000,3,100.000000,100.000000,-640.000000
10,0.500000,3,100.000000,100.000000,-740.000000
10,0.500000,3,100.000000,100.000000,-700.000000
10,0.500000,3,100.000000,100.000000,-560.000000
10,0.500000,3,100.000000,100.000000,-1060.000000
10,0.500000,3,100.000000,100.000000,-640.000000
10,0.500000,3,100.000000,100.000000,-540.000000
10,0.500000,3,100.000000,100.000000,-1340.000000
10,0.500000,3,100.000000,100.000000,-980.000000
10,0.500000,3,100.000000,100.000000,-1020.000000
10,0.500000,3,100.000000,100.000000,-560.000000
10,0.500000,3,100.000000,100.000000,-780.000000
10,0.500000,3,100.000000,100.000000,-680.000000
10,0.500000,3,100.000000,100.000000,-880.000000
10,0.500000,3,100.000000,100.000000,-700.000000
10,0.500000,3,100.000000,100.000000,-620.000000
10,0.500000,3,100.000000,100.000000,-860.000000
10,0.500000,3,100.000000,100.000000,-700.000000
10,0.500000,3,100.000000,100.000000,-660.000000
10,0.500000,3,100.000000,100.000000,-1040.000000
10,0.500000,3,100.000000,100.000000,-920.000000
10,0.500000,3,100.000000,100.000000,-700.000000
10,0.500000,3,100.000000,100.000000,-960.000000
10,0.500000,3,100.000000,100.000000,-660.000000
10,0.500000,3,100.000000,100.000000,-540.000000
10,0.500000,3,100.000000,100.000000,-620.000000
10,0.500000,3,100.000000,100.000000,-600.000000
10,0.500000,3,100.000000,100.000000,-820.000000
10,0.500000,3,100.000000,100.000000,-640.000000
10,0.500000,3,100.000000,100.000000,-700.000000
10,0.500000,3,100.000000,100.000000,-700.000000
10,0.500000,3,100.000000,100.000000,-640.000000
10,0.500000,3,100.000000,100.000000,-920.000000
10,0.500000,3,100.000000,100.000000,-600.000000
10,0.500000,3,100.000000,100.000000,-600.000000
10,0.500000,3,100.000000,100.000000,-620.000000
10,0.500000,3,100.000000,100.000000,-920.000000
10,0.500000,3,100.000000,100.000000,-720.000000
10,0.500000,3,100.000000,100.000000,-940.000000
10,0.500000,3,100.000000,100.000000,-900.000000
10,0.500000,3,100.000000,100.000000,-940.000000
10,0.500000,3,100.000000,100.000000,-940.000000
10,0.500000,3,100.000000,100.000000,-420.000000
10,0.500000,3,100.000000,100.000000,-480.000000
10,0.500000,3,100.000000,100.000000,-680.000000
10,0.500000,3,100.000000,100.000000,-440.000000
10,0.500000,3,100.000000,100.000000,-880.000000
10,0.500000,3,100.000000,100.000000,-380.000000
10,0.500000,3,100.000000,100.000000,-620.000000
10,0.500000,3,100.000000,100.000000,-960.000000
10,0.500000,3,100.000000,100.000000,-780.000000
10,0.500000,3,100.000000,100.000000,-600.000000
10,0.500000,3,100.000000,100.000000,-1300.000000
10,0.500000,3,100.000000,100.000000,-740.000000
10,0.500000,3,100.000000,100.000000,-1000.000000
10,0.500000,3,100.000000,100.000000,-960.000000
10,0.500000,3,100.000000,100.000000,-600.000000
10,0.500000,3,100.000000,100.000000,-620.000000
10,0.500000,3,100.000000,100.000000,-760.000000
10,0.500000,3,100.000000,100.000000,-420.000000
10,0.500000,3,100.000000,100.000000,-720.000000
10,0.500000,3,100.000000,100.000000,-960.000000
10,0.500000,3,100.000000,100.000000,-1060.000000
10,0.500000,3,100.000000,100.000000,-620.000000
10,0.500000,3,100.000000,100.000000,-840.000000
10,0.500000,3,100.000000,100.000000,-900.000000
10,0.500000,3,100.000000,100.000000,-500.000000
10,0.500000,3,100.000000,100.000000,-880.000000
10,0.500000,3,100.000000,100.000000,-560.000000
10,0.500000,3,100.000000,100.000000,-920.000000
10,0.500000,3,100.000000,100.000000,-1040.000000
10,0.500000,3,100.000000,100.000000,-600.000000
10,0.500000,3,100.000000,100.000000,-1000.000000
10,0.500000,3,100.000000,100.000000,-760.000000
10,0.500000,3,100.000000,100.000000,-820.000000
10,0.500000,3,100.000000,100.000000,-600.000000
10,0.500000,3,100.000000,100.000000,-400.000000
10,0.500000,3,100.000000,100.000000,-680.000000
10,0.500000,3,100.000000,100.000000,-1160.000000
10,0.500000,3,100.000000,100.000000,-900.000000
10,0.500000,3,100.000000,100.000000,-1320.000000
10,0.500000,3,100.000000,100.000000,-1000.000000
10,0.500000,3,100.000000,100.000000,-600.000000
10,0.500000,3,100.000000,100.000000,-580.000000
10,0.500000,3,100.000000,100.000000,-720.000000
10,0.500000,3,100.000000,100.000000,-820.000000
