Veces,Probabilidad,Diferencia,Pago_Lanzamiento,Pago_Finalizar,Esperado
500,0.500000,8,10.000000,100.000000,-527.880005
500,0.500000,9,10.000000,100.000000,-701.640015
500,0.500000,10,10.000000,100.000000,-873.440002
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.160000
500,0.500000,3,10.000000,100.000000,7.520000
500,0.500000,4,10.000000,100.000000,-61.720001
500,0.500000,5,10.000000,100.000000,-153.600006
500,0.500000,6,10.000000,100.000000,-274.839996
500,0.500000,7,10.000000,100.000000,-382.959991
500,0.500000,8,10.000000,100.000000,-543.799988
500,0.500000,9,10.000000,100.000000,-690.039978
500,0.500000,10,10.000000,100.000000,-926.719971
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.000000
500,0.500000,3,10.000000,100.000000,13.760000
500,0.500000,4,10.000000,100.000000,-50.480000
500,0.500000,5,10.000000,100.000000,-127.720001
500,0.500000,6,10.000000,100.000000,-261.000000
500,0.500000,7,10.000000,100.000000,-382.399994
500,0.500000,8,10.000000,100.000000,-538.440002
500,0.500000,9,10.000000,100.000000,-687.760010
500,0.500000,10,10.000000,100.000000,-883.239990
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.599998
500,0.500000,3,10.000000,100.000000,11.640000
500,0.500000,4,10.000000,100.000000,-67.919998
500,0.500000,5,10.000000,100.000000,-150.919998
500,0.500000,6,10.000000,100.000000,-249.679993
500,0.500000,7,10.000000,100.000000,-408.320007
500,0.500000,8,10.000000,100.000000,-554.359985
500,0.500000,9,10.000000,100.000000,-717.559998
500,0.500000,10,10.000000,100.000000,-959.840027
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.880001
500,0.500000,3,10.000000,100.000000,5.080000
500,0.500000,4,10.000000,100.000000,-67.160004
500,0.500000,5,10.000000,100.000000,-147.520004
500,0.500000,6,10.000000,100.000000,-245.440002
500,0.500000,7,10.000000,100.000000,-385.000000
500,0.500000,8,10.000000,100.000000,-590.280029
500,0.500000,9,10.000000,100.000000,-683.000000
500,0.500000,10,10.000000,100.000000,-874.960022
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.240002
500,0.500000,3,10.000000,100.000000,8.000000
500,0.500000,4,10.000000,100.000000,-59.200001
500,0.500000,5,10.000000,100.000000,-161.559998
500,0.500000,6,10.000000,100.000000,-262.760010
500,0.500000,7,10.000000,100.000000,-390.200012
500,0.500000,8,10.000000,100.000000,-524.400024
500,0.500000,9,10.000000,100.000000,-722.520020
500,0.500000,10,10.000000,100.000000,-854.960022
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.680000
500,0.500000,3,10.000000,100.000000,8.520000
500,0.500000,4,10.000000,100.000000,-52.439999
500,0.500000,5,10.000000,100.000000,-142.479996
500,0.500000,6,10.000000,100.000000,-281.160004
500,0.500000,7,10.000000,100.000000,-372.880005
500,0.500000,8,10.000000,100.000000,-519.280029
500,0.500000,9,10.000000,100.000000,-701.880005
500,0.500000,10,10.000000,100.000000,-938.960022
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.400002
500,0.500000,3,10.000000,100.000000,10.320000
500,0.500000,4,10.000000,100.000000,-51.000000
500,0.500000,5,10.000000,100.000000,-146.320007
500,0.500000,6,10.000000,100.000000,-253.520004
500,0.500000,7,10.000000,100.000000,-381.959991
500,0.500000,8,10.000000,100.000000,-542.280029
500,0.500000,9,10.000000,100.000000,-741.760010
500,0.500000,10,10.000000,100.000000,-924.119995
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.119999
500,0.500000,3,10.000000,100.000000,7.960000
500,0.500000,4,10.000000,100.000000,-57.520000
500,0.500000,5,10.000000,100.000000,-144.639999
500,0.500000,6,10.000000,100.000000,-275.839996
500,0.500000,7,10.000000,100.000000,-381.359985
500,0.500000,8,10.000000,100.000000,-501.119995
500,0.500000,9,10.000000,100.000000,-723.599976
500,0.500000,10,10.000000,100.000000,-902.039978
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.959999
500,0.500000,3,10.000000,100.000000,15.480000
500,0.500000,4,10.000000,100.000000,-49.160000
500,0.500000,5,10.000000,100.000000,-160.960007
500,0.500000,6,10.000000,100.000000,-271.519989
500,0.500000,7,10.000000,100.000000,-377.239990
500,0.500000,8,10.000000,100.000000,-565.479980
500,0.500000,9,10.000000,100.000000,-720.719971
500,0.500000,10,10.000000,100.000000,-857.840027
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,61.160000
500,0.500000,3,10.000000,100.000000,5.600000
500,0.500000,4,10.000000,100.000000,-59.799999
500,0.500000,5,10.000000,100.000000,-149.080002
500,0.500000,6,10.000000,100.000000,-246.199997
500,0.500000,7,10.000000,100.000000,-412.959991
500,0.500000,8,10.000000,100.000000,-575.559998
500,0.500000,9,10.000000,100.000000,-699.799988
500,0.500000,10,10.000000,100.000000,-865.080017
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.680000
500,0.500000,3,10.000000,100.000000,12.120000
500,0.500000,4,10.000000,100.000000,-46.279999
500,0.500000,5,10.000000,100.000000,-161.679993
500,0.500000,6,10.000000,100.000000,-254.320007
500,0.500000,7,10.000000,100.000000,-395.200012
500,0.500000,8,10.000000,100.000000,-552.719971
500,0.500000,9,10.000000,100.000000,-735.880005
500,0.500000,10,10.000000,100.000000,-856.840027
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,62.520000
500,0.500000,3,10.000000,100.000000,4.600000
500,0.500000,4,10.000000,100.000000,-60.279999
500,0.500000,5,10.000000,100.000000,-149.800003
500,0.500000,6,10.000000,100.000000,-262.799988
500,0.500000,7,10.000000,100.000000,-369.079987
500,0.500000,8,10.000000,100.000000,-551.440002
500,0.500000,9,10.000000,100.000000,-683.679993
500,0.500000,10,10.000000,100.000000,-841.320007
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.040001
500,0.500000,3,10.000000,100.000000,5.480000
500,0.500000,4,10.000000,100.000000,-64.040001
500,0.500000,5,10.000000,100.000000,-134.080002
500,0.500000,6,10.000000,100.000000,-257.279999
500,0.500000,7,10.000000,100.000000,-397.359985
500,0.500000,8,10.000000,100.000000,-609.280029
500,0.500000,9,10.000000,100.000000,-737.000000
500,0.500000,10,10.000000,100.000000,-853.359985
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.919998
500,0.500000,3,10.000000,100.000000,8.360000
500,0.500000,4,10.000000,100.000000,-51.200001
500,0.500000,5,10.000000,100.000000,-167.880005
500,0.500000,6,10.000000,100.000000,-267.200012
500,0.500000,7,10.000000,100.000000,-395.040009
500,0.500000,8,10.000000,100.000000,-545.760010
500,0.500000,9,10.000000,100.000000,-680.880005
500,0.500000,10,10.000000,100.000000,-947.080017
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.480000
500,0.500000,3,10.000000,100.000000,6.840000
500,0.500000,4,10.000000,100.000000,-62.200001
500,0.500000,5,10.000000,100.000000,-150.839996
500,0.500000,6,10.000000,100.000000,-270.440002
500,0.500000,7,10.000000,100.000000,-376.679993
500,0.500000,8,10.000000,100.000000,-532.440002
500,0.500000,9,10.000000,100.000000,-737.640015
500,0.500000,10,10.000000,100.000000,-930.719971
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.759998
500,0.500000,3,10.000000,100.000000,5.840000
500,0.500000,4,10.000000,100.000000,-57.240002
500,0.500000,5,10.000000,100.000000,-151.639999
500,0.500000,6,10.000000,100.000000,-265.119995
500,0.500000,7,10.000000,100.000000,-407.160004
500,0.500000,8,10.000000,100.000000,-546.440002
500,0.500000,9,10.000000,100.000000,-698.760010
500,0.500000,10,10.000000,100.000000,-867.799988
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,58.759998
500,0.500000,3,10.000000,100.000000,12.800000
500,0.500000,4,10.000000,100.000000,-58.720001
500,0.500000,5,10.000000,100.000000,-156.000000
500,0.500000,6,10.000000,100.000000,-296.079987
500,0.500000,7,10.000000,100.000000,-388.760010
500,0.500000,8,10.000000,100.000000,-582.320007
500,0.500000,9,10.000000,100.000000,-697.919983
500,0.500000,10,10.000000,100.000000,-923.679993
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.759998
500,0.500000,3,10.000000,100.000000,9.200000
500,0.500000,4,10.000000,100.000000,-61.720001
500,0.500000,5,10.000000,100.000000,-142.960007
500,0.500000,6,10.000000,100.000000,-256.640015
500,0.500000,7,10.000000,100.000000,-400.119995
500,0.500000,8,10.000000,100.000000,-527.559998
500,0.500000,9,10.000000,100.000000,-759.679993
500,0.500000,10,10.000000,100.000000,-874.320007
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,58.919998
500,0.500000,3,10.000000,100.000000,17.360001
500,0.500000,4,10.000000,100.000000,-61.919998
500,0.500000,5,10.000000,100.000000,-145.240005
500,0.500000,6,10.000000,100.000000,-276.760010
500,0.500000,7,10.000000,100.000000,-389.040009
500,0.500000,8,10.000000,100.000000,-517.719971
500,0.500000,9,10.000000,100.000000,-708.679993
500,0.500000,10,10.000000,100.000000,-919.440002
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,60.959999
500,0.500000,3,10.000000,100.000000,13.600000
500,0.500000,4,10.000000,100.000000,-63.160000
500,0.500000,5,10.000000,100.000000,-147.600006
500,0.500000,6,10.000000,100.000000,-252.440002
500,0.500000,7,10.000000,100.000000,-391.600006
500,0.500000,8,10.000000,100.000000,-537.200012
500,0.500000,9,10.000000,100.000000,-741.080017
500,0.500000,10,10.000000,100.000000,-976.440002
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,58.520000
500,0.500000,3,10.000000,100.000000,10.840000
500,0.500000,4,10.000000,100.000000,-57.639999
500,0.500000,5,10.000000,100.000000,-152.240005
500,0.500000,6,10.000000,100.000000,-256.559998
500,0.500000,7,10.000000,100.000000,-387.279999
500,0.500000,8,10.000000,100.000000,-552.760010
500,0.500000,9,10.000000,100.000000,-706.880005
500,0.500000,10,10.000000,100.000000,-854.280029
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,59.599998
500,0.500000,3,10.000000,100.000000,5.080000
500,0.500000,4,10.000000,100.000000,-58.119999
500,0.500000,5,10.000000,100.000000,-149.000000
500,0.500000,6,10.000000,100.000000,-278.600006
500,0.500000,7,10.000000,100.000000,-396.679993
500,0.500000,8,10.000000,100.000000,-535.479980
500,0.500000,9,10.000000,100.000000,-703.039978
500,0.500000,10,10.000000,100.000000,-922.880005
500,0.500000,1,10.000000,100.000000,90.000000
500,0.500000,2,10.000000,100.000000,57.599998
500,0.500000,3,10.000000,100.000000,8.720000
500,0.500000,4,10.000000,100.000000,-57.599998
500,0.500000,5,10.000000,100.000000,-166.320007
500,0.500000,6,10.000000,100.000000,-254.600006
500,0.500000,7,10.000000,100.000000,-385.279999
500,0.500000,8,10.000000,100.000000,-515.679993
500,0.500000,9,10.000000,100.000000,-701.039978
