porcentaje_ocio,media_en_cola
32.8291,1.26619
31.7941,1.25478
30.7795,1.27298
29.8392,1.38408
31.7206,1.28989
32.5169,1.28275
31.5133,1.25929
31.5277,1.14827
32.2338,1.20209
32.6716,1.23057
31.6009,1.399
30.5178,1.26681
30.1598,1.37531
34.005,1.09707
32.6809,1.24597
31.2937,1.26634
31.595,1.4217
32.2594,1.11168
31.3696,1.41097
32.1895,1.23156
30.2306,1.32645
30.8871,1.31135
31.8343,1.38132
31.0603,1.38559
30.649,1.4829
31.7528,1.18315
31.3178,1.27875
32.1141,1.37813
31.0714,1.34202
32.2655,1.16952
33.0884,1.22085
32.9319,1.13179
32.3427,1.21703
31.5363,1.22361
31.4549,1.34947
31.9574,1.30795
32.0512,1.21344
31.7496,1.27516
31.0332,1.25881
30.5645,1.4539
31.7242,1.26488
31.5006,1.35661
31.6961,1.30377
30.1514,1.33762
30.783,1.29861
31.8855,1.34988
32.2893,1.25563
29.6899,1.48346
31.3279,1.35153
31.8599,1.19335
30.4604,1.38436
31.4188,1.33462
30.3135,1.4744
33.3112,1.11214
33.0502,1.22794
31.9891,1.18401
31.6981,1.25165
32.4542,1.25983
33.0748,1.15957
33.3665,1.2002
31.3756,1.26286
32.084,1.31252
31.8315,1.33047
31.8746,1.31703
31.3319,1.37206
32.3146,1.14719
31.3292,1.34419
31.9635,1.20338
33.1679,1.17236
32.8264,1.26362
30.4885,1.43756
29.8034,1.46197
32.2944,1.23796
32.8829,1.18496
31.5003,1.27544
31.8462,1.23836
31.522,1.19148
31.366,1.32071
30.721,1.29489
31.365,1.22195
31.4525,1.22661
32.8067,1.16819
32.3061,1.18787
30.7856,1.35066
31.689,1.3847
32.9786,1.07399
32.4241,1.09731
31.8651,1.26334
31.9209,1.35111
32.6158,1.28242
30.8554,1.23958
32.7186,1.17904
31.7612,1.30259
32.0141,1.23065
33.0015,1.14759
30.9932,1.25177
31.6409,1.2578
32.0042,1.21904
30.6063,1.4692
31.2363,1.25825
