porcentaje_ocio,media_en_cola,tiempo_ejecucion
34.1958,1.19981,0.0903458
33.2141,1.22351,0.0597655
34.3966,1.29008,0.0603674
33.4199,1.36873,0.0604225
34.099,1.20439,0.0597003
34.2282,1.19235,0.0606534
32.9848,1.40574,0.0603303
32.1908,1.39498,0.0600643
32.7855,1.38472,0.0593914
35.1911,1.22738,0.0635018
33.1371,1.47749,0.102271
33.3858,1.22089,0.102743
34.2449,1.30371,0.10439
32.9258,1.37012,0.10195
32.1897,1.39631,0.101352
33.1283,1.40641,0.104817
34.7391,1.34448,0.102373
33.5181,1.3032,0.101567
34.1617,1.31921,0.104852
31.5456,1.42596,0.101684
33.6206,1.22942,0.102103
32.933,1.48761,0.101865
33.1874,1.41931,0.101355
32.7251,1.40922,0.100563
34.4318,1.31896,0.101834
33.9904,1.32105,0.102102
32.4537,1.44685,0.102868
34.0721,1.33046,0.0881215
33.2969,1.32598,0.0578403
33.8654,1.27467,0.0591028
33.442,1.27654,0.0589352
33.8063,1.26195,0.0577433
31.7019,1.38482,0.0570092
32.478,1.40854,0.0571308
33.9318,1.32467,0.0577727
34.8942,1.17769,0.0588468
32.0967,1.41205,0.0577272
34.9466,1.28541,0.0590242
33.6744,1.3373,0.0578676
32.5867,1.38893,0.0581588
33.599,1.27493,0.0581768
33.3741,1.39293,0.0586751
33.538,1.37924,0.0581002
33.7215,1.33099,0.0585089
33.2363,1.34125,0.0574811
34.3497,1.21709,0.0588619
33.2978,1.23398,0.0586436
33.8224,1.34436,0.0581609
31.7886,1.46659,0.0568316
33.5915,1.35525,0.0570206
34.6652,1.18852,0.0586766
35.3499,1.15135,0.0584837
34.1293,1.26343,0.0582765
34.3322,1.20948,0.0582606
34.3191,1.31923,0.0585719
31.9003,1.34678,0.0576836
33.8896,1.24522,0.0589522
34.0267,1.24681,0.0577591
32.6735,1.41723,0.0576301
31.5994,1.66131,0.0583055
35.285,1.20392,0.0585884
33.7727,1.40782,0.0573733
31.9359,1.41568,0.0577497
34.0831,1.33778,0.0584343
34.1774,1.2004,0.0581952
33.6326,1.25038,0.0581964
33.7305,1.26285,0.0578625
32.4386,1.52494,0.057468
31.1645,1.61589,0.0567251
33.6259,1.43332,0.0580501
33.1426,1.48165,0.0581712
33.8413,1.27832,0.0584565
32.7238,1.30314,0.058803
32.3877,1.38184,0.0569255
33.8243,1.26679,0.057971
32.7461,1.43863,0.0574315
31.344,1.39774,0.0567129
32.7084,1.38151,0.0571953
33.0122,1.42808,0.0581416
33.6478,1.30232,0.0586613
34.2985,1.10943,0.059265
34.0905,1.3146,0.0582766
33.6618,1.3797,0.0579309
33.2517,1.26637,0.0575751
33.6274,1.34153,0.0577751
32.5837,1.52537,0.0576913
32.3005,1.4269,0.058481
33.1245,1.35891,0.0580551
32.2787,1.38653,0.0577147
32.375,1.46357,0.0579995
31.9237,1.30718,0.0580231
32.9296,1.34356,0.0591296
32.3898,1.41783,0.0582386
32.8481,1.22942,0.0605119
33.8978,1.24532,0.0597925
34.1558,1.31718,0.0606847
31.3794,1.63339,0.0588966
34.4024,1.1813,0.0605578
32.3504,1.42441,0.0591568
33.7189,1.20962,0.0604577
33.5551,1.32622,0.0619524
33.558,1.34965,0.104125
33.2748,1.33476,0.103027
33.5617,1.27178,0.101251
33.7278,1.28447,0.102397
33.4225,1.38647,0.102119
31.0986,1.6441,0.0837538
33.7799,1.31069,0.0578173
32.0382,1.31628,0.0578718
33.1223,1.44154,0.057422
35.1231,1.08786,0.0586933
34.1129,1.25039,0.0588483
33.6388,1.20249,0.0588794
34.624,1.25011,0.057937
32.8696,1.40854,0.0578641
34.0286,1.27349,0.0582771
32.8628,1.43933,0.0573746
34.0926,1.29989,0.0592982
33.7362,1.29105,0.058355
33.7365,1.29737,0.0576607
33.0029,1.39111,0.0573496
33.0225,1.37887,0.0582393
32.4723,1.39135,0.0574428
33.0134,1.22485,0.0574316
35.4242,1.1401,0.0587602
31.6154,1.50957,0.0570936
31.7188,1.51046,0.0566646
34.5025,1.23877,0.0601075
31.2013,1.51767,0.0678936
33.5402,1.41065,0.0583488
32.4741,1.39828,0.0579063
34.0255,1.26471,0.0584185
33.4514,1.33703,0.0581876
32.6369,1.46107,0.0579302
32.2556,1.38518,0.0571276
34.1862,1.22311,0.0589422
32.2095,1.57933,0.0571476
33.906,1.27463,0.057691
31.6156,1.44726,0.0574736
31.8178,1.45151,0.0574743
34.8575,1.17933,0.0588853
32.9324,1.48206,0.05715
34.4284,1.30207,0.0608292
32.8196,1.40022,0.0581878
35.5383,1.10011,0.0591454
33.0404,1.33818,0.0578365
33.7692,1.27535,0.0601873
33.3994,1.29188,0.0589102
33.3694,1.35308,0.057524
33.5941,1.31475,0.0575463
32.912,1.26518,0.0576496
32.5997,1.53579,0.0583203
33.6016,1.347,0.0579947
32.3295,1.32952,0.0581685
33.9467,1.4252,0.0587528
34.2383,1.15842,0.0589085
32.3756,1.45596,0.0576681
32.8382,1.36561,0.0686083
34.3644,1.19136,0.0580391
33.0075,1.44808,0.0579268
32.8626,1.44883,0.0578665
33.9473,1.22567,0.0584012
32.7381,1.29276,0.0588578
33.5893,1.33795,0.0580919
31.1226,1.42529,0.0564904
34.5338,1.23706,0.0589209
33.1424,1.49167,0.0580986
33.5609,1.51801,0.059056
34.4006,1.21112,0.058094
33.6992,1.39268,0.0577346
31.9746,1.54102,0.0570788
33.2403,1.41148,0.0580056
33.8129,1.32755,0.0571882
33.839,1.26209,0.0592286
34.5592,1.23318,0.0575737
32.8198,1.33582,0.0586097
32.9693,1.36553,0.0580821
33.874,1.26203,0.058423
32.7151,1.48438,0.0580255
33.3265,1.29863,0.0625705
33.5921,1.21023,0.0573062
32.9899,1.24442,0.0578532
33.1965,1.34395,0.0586585
32.7748,1.4105,0.0576941
33.0263,1.33715,0.0570801
31.6165,1.58676,0.0574902
32.835,1.43958,0.0579917
33.654,1.30551,0.0583008
32.9815,1.34408,0.0567793
32.4405,1.35661,0.0588101
33.0818,1.43313,0.0576996
34.9818,1.17655,0.0589982
32.1398,1.49425,0.0578275
33.7412,1.3115,0.0586435
33.9432,1.2728,0.0581863
33.7738,1.39282,0.0584171
34.7373,1.22206,0.0582164
34.1864,1.27472,0.0591771
34.5616,1.23811,0.0575184
33.5119,1.39657,0.0584374
34.8518,1.19582,0.0577954
34.6389,1.23596,0.0583696
32.5294,1.39934,0.0581578
33.6005,1.25321,0.0578087
33.7156,1.36158,0.0577129
32.4427,1.38406,0.0578454
33.975,1.21573,0.058185
34.2701,1.26131,0.0586672
32.2556,1.47298,0.0576885
33.9913,1.26106,0.0576143
33.5066,1.2635,0.0578413
33.4229,1.32623,0.0575062
34.7304,1.1349,0.0584302
32.5795,1.38611,0.0576792
33.049,1.2799,0.0582076
33.788,1.37988,0.0587813
