porcentaje_ocio,media_en_cola,tiempo_ejecucion
32.9453,1.29062,0.00232867
33.1978,1.40085,0.00475939
32.5513,1.54972,0.00230943
32.8572,1.42343,0.0022766
34.0028,1.30924,0.00227232
32.0502,1.44528,0.00228753
33.6679,1.3882,0.00229429
33.1581,1.3251,0.00228852
33.7594,1.31841,0.00228161
32.5766,1.45057,0.00229005
33.3229,1.30461,0.00226456
34.025,1.30304,0.00227172
34.8769,1.13739,0.00227763
34.6404,1.30869,0.00229039
33.3812,1.28061,0.00230261
35.8931,1.08084,0.0022675
33.5462,1.33506,0.00219053
33.1574,1.40694,0.0016911
33.5682,1.40155,0.000764406
33.3888,1.28704,0.000757513
33.1625,1.45107,0.000762522
35.472,1.20044,0.000756511
32.1725,1.45255,0.000754968
33.0964,1.32897,0.00075578
33.2843,1.38666,0.000761631
31.2016,1.51863,0.00076084
32.3432,1.46549,0.000753495
33.9987,1.1928,0.000753395
34.4911,1.3858,0.000758094
34.713,1.26357,0.000764787
33.0494,1.33678,0.000756581
35.6587,1.0899,0.000753234
33.6489,1.36632,0.000760638
33.5176,1.43954,0.000764356
33.4296,1.33716,0.000755148
32.7,1.40451,0.000759817
32.246,1.55051,0.000760358
34.059,1.38623,0.000756931
34.6905,1.31614,0.000752663
33.6162,1.29845,0.000759306
31.6667,1.60118,0.000761851
33.2637,1.364,0.000752353
32.8464,1.38338,0.000755609
34.0073,1.29608,0.000754206
32.7797,1.37579,0.000756881
33.8359,1.42909,0.000757502
33.5741,1.31878,0.000754668
34.5039,1.44784,0.000751091
34.0287,1.48839,0.000753755
34.6946,1.26989,0.000758264
35.1046,1.18044,0.000754627
32.9101,1.55077,0.000759317
33.2566,1.38291,0.000765508
32.2869,1.48089,0.000768082
31.9101,1.46495,0.000763434
33.2198,1.41168,0.000760588
34.2922,1.22211,0.000753796
33.4802,1.33675,0.00076136
33.6041,1.33294,0.000753165
31.4774,1.65683,0.000764867
35.9667,1.14136,0.00221038
33.1994,1.34231,0.00198305
33.0187,1.44666,0.00115243
33.4032,1.37153,0.000754167
33.7902,1.36612,0.000751882
34.1759,1.2889,0.00075086
34.2017,1.21363,0.000758545
33.0257,1.26342,0.000790385
33.3913,1.39752,0.000769716
32.8719,1.37043,0.000769736
31.695,1.46296,0.000783221
32.6267,1.53759,0.000773583
32.0784,1.54804,0.000772651
32.9721,1.40642,0.000759386
32.3946,1.36182,0.000761961
34.2884,1.28409,0.000756671
34.1932,1.28624,0.000756612
34.7146,1.23933,0.000751431
33.1792,1.36392,0.000754568
33.1205,1.35503,0.000761991
32.6994,1.46738,0.000761501
34.3178,1.29298,0.000754297
33.8191,1.2272,0.000754518
35.2605,1.21815,0.000755168
33.9742,1.30709,0.000749878
34.772,1.35806,0.000754797
33.365,1.38451,0.000756111
33.27,1.3206,0.000756922
33.4571,1.37257,0.000758865
33.8717,1.37409,0.000789423
34.3291,1.38158,0.000767902
31.8963,1.54012,0.000770297
35.008,1.22112,0.000774074
34.3037,1.28404,0.000781669
34.0152,1.41128,0.000755249
33.4428,1.36415,0.000752504
34.358,1.34544,0.000759356
35.1916,1.16454,0.000749198
32.2072,1.45095,0.000762422
33.8114,1.30318,0.000753476
33.4452,1.32167,0.000754948
35.1504,1.2901,0.000755438
33.5026,1.38049,0.000758965
35.2042,1.22746,0.000753436
35.4496,1.1742,0.000751802
32.5134,1.37185,0.000763805
34.0231,1.39546,0.00075598
33.6681,1.35117,0.000757764
32.8803,1.39956,0.000758344
32.6364,1.47298,0.000762031
33.5725,1.37711,0.000779064
35.1493,1.22487,0.000783813
32.865,1.42206,0.000765017
32.3186,1.68136,0.000775987
32.7734,1.44111,0.000774615
34.8338,1.25298,0.000772481
