	t	x	y	pescados
	156	4.88516e+06	54.2273	114.287
	157	4.89215e+06	55.4166	114.287
	158	4.89869e+06	56.6336	114.287
	159	4.90482e+06	57.8789	114.287
	160	4.91057e+06	59.1531	114.287
	161	4.91595e+06	60.4568	114.287
	162	4.92099e+06	61.7906	114.287
	163	4.92571e+06	63.1551	114.287
	164	4.93012e+06	64.551	114.287
	165	4.93425e+06	65.979	114.287
	166	4.93812e+06	67.4397	114.287
	167	4.94173e+06	68.9339	114.287
	168	4.94511e+06	70.4621	114.287
	169	4.94827e+06	72.0252	114.287
	170	4.95122e+06	73.624	114.287
	171	4.95398e+06	75.2591	114.287
	172	4.95655e+06	76.9313	114.287
	173	4.95896e+06	78.6415	114.287
	174	4.9612e+06	80.3904	114.287
	175	4.96329e+06	82.179	114.287
	176	4.96524e+06	84.0079	114.287
	177	4.96705e+06	85.8783	114.287
	178	4.96875e+06	87.7908	114.287
	179	4.97032e+06	89.7465	114.287
	180	4.97178e+06	91.7462	114.287
	181	4.97315e+06	93.791	114.287
	182	4.97441e+06	95.8818	114.287
	183	4.97589e+06	34.3082	176.61
	184	4.97727e+06	35.0747	176.61
	185	4.97856e+06	35.8586	176.61
	186	4.97976e+06	36.6602	176.61
	187	4.98088e+06	37.4798	176.61
	188	4.98192e+06	38.318	176.61
	189	4.9829e+06	39.175	176.61
	190	4.98381e+06	40.0514	176.61
	191	4.98465e+06	40.9475	176.61
	192	4.98544e+06	41.8637	176.61
	193	4.98617e+06	42.8006	176.61
	194	4.98685e+06	43.7586	176.61
	195	4.98748e+06	44.7381	176.61
	196	4.98807e+06	45.7397	176.61
	197	4.98861e+06	46.7638	176.61
	198	4.98912e+06	47.8108	176.61
	199	4.98958e+06	48.8814	176.61
	200	4.99001e+06	49.976	176.61
	201	4.99041e+06	51.0952	176.61
	202	4.99078e+06	52.2395	176.61
	203	4.99112e+06	53.4095	176.61
	204	4.99143e+06	54.6057	176.61
	205	4.99171e+06	55.8288	176.61
	206	4.99197e+06	57.0792	176.61
	207	4.99221e+06	58.3577	176.61
	208	4.99243e+06	59.6649	176.61
	209	4.99262e+06	61.0013	176.61
	210	4.9928e+06	62.3677	176.61
	211	4.99296e+06	63.7646	176.61
	212	4.9931e+06	65.1929	176.61
	213	4.99323e+06	66.6531	176.61
	214	4.99334e+06	68.146	176.61
	215	4.99343e+06	69.6723	176.61
	216	4.99351e+06	71.2327	176.61
	217	4.99358e+06	72.8281	176.61
	218	4.99364e+06	74.4591	176.61
	219	4.99369e+06	76.1266	176.61
	220	4.99372e+06	77.8313	176.61
	221	4.99374e+06	79.5742	176.61
	222	4.99376e+06	81.356	176.61
	223	4.99376e+06	83.1776	176.61
	224	4.99376e+06	85.0399	176.61
	225	4.99374e+06	86.9438	176.61
	226	4.99372e+06	88.8902	176.61
	227	4.99369e+06	90.8801	176.61
	228	4.99365e+06	92.9144	176.61
	229	4.99361e+06	94.994	176.61
	230	4.99355e+06	97.1201	176.61
	231	4.99349e+06	99.2936	176.61
	232	4.99343e+06	101.516	176.61
	233	4.99335e+06	103.787	176.61
	234	4.99327e+06	106.109	176.61
	235	4.99319e+06	108.483	176.61
	236	4.9931e+06	110.91	176.61
	237	4.993e+06	113.391	176.61
	238	4.99289e+06	115.927	176.61
	239	4.99279e+06	118.52	176.61
	240	4.99267e+06	121.17	176.61
	241	4.99255e+06	123.879	176.61
	242	4.99242e+06	126.649	176.61
	243	4.99229e+06	129.48	176.61
	244	4.99215e+06	132.375	176.61
	245	4.99201e+06	135.333	176.61
	246	4.99186e+06	138.358	176.61
	247	4.99171e+06	141.449	176.61
	248	4.99155e+06	144.61	176.61
	249	4.99139e+06	147.84	176.61
	250	4.99122e+06	151.143	176.61
	251	4.99105e+06	154.518	176.61
	252	4.99087e+06	157.969	176.61
	253	4.99068e+06	161.496	176.61
	254	4.99049e+06	165.102	176.61
	255	4.9903e+06	168.787	176.61
	256	4.9901e+06	172.554	176.61
	257	4.98989e+06	176.405	176.61
	258	4.98968e+06	180.341	176.61
	259	4.98946e+06	184.364	176.61
	260	4.98924e+06	188.476	176.61
	261	4.98901e+06	192.679	176.61
	262	4.98877e+06	196.975	176.61
	263	4.98853e+06	201.367	176.61
	264	4.98828e+06	205.855	176.61
	265	4.98803e+06	210.443	176.61
	266	4.98777e+06	215.132	176.61
	267	4.98751e+06	219.924	176.61
	268	4.98723e+06	224.823	176.61
	269	4.98696e+06	229.829	176.61
	270	4.98667e+06	234.946	176.61
	271	4.98638e+06	240.176	176.61
	272	4.98608e+06	245.521	176.61
	273	4.98577e+06	250.984	176.61
	274	4.98626e+06	89.808	339.75
	275	4.9867e+06	91.8154	339.75
	276	4.98711e+06	93.8677	339.75
	277	4.98748e+06	95.966	339.75
	278	4.98782e+06	98.1112	339.75
	279	4.98812e+06	100.304	339.75
	280	4.98839e+06	102.546	339.75
	281	4.98864e+06	104.839	339.75
	282	4.98886e+06	107.182	339.75
	283	4.98905e+06	109.578	339.75
	284	4.98922e+06	112.027	339.75
	285	4.98936e+06	114.531	339.75
	286	4.98949e+06	117.091	339.75
	287	4.98959e+06	119.708	339.75
	288	4.98968e+06	122.383	339.75
	289	4.98974e+06	125.118	339.75
	290	4.98979e+06	127.913	339.75
	291	4.98982e+06	130.771	339.75
	292	4.98984e+06	133.693	339.75
	293	4.98984e+06	136.68	339.75
	294	4.98982e+06	139.733	339.75
	295	4.98979e+06	142.854	339.75
	296	4.98975e+06	146.044	339.75
	297	4.9897e+06	149.305	339.75
	298	4.98963e+06	152.639	339.75
	299	4.98955e+06	156.047	339.75
	300	4.98946e+06	159.531	339.75
	301	4.98936e+06	163.091	339.75
	302	4.98925e+06	166.731	339.75
	303	4.98912e+06	170.452	339.75
	304	4.98899e+06	174.255	339.75
	305	4.98884e+06	178.143	339.75
	306	4.98869e+06	182.116	339.75
	307	4.98853e+06	186.178	339.75
	308	4.98836e+06	190.33	339.75
	309	4.98817e+06	194.574	339.75
	310	4.98798e+06	198.911	339.75
	311	4.98778e+06	203.345	339.75
	312	4.98757e+06	207.876	339.75
	313	4.98736e+06	212.508	339.75
	314	4.98713e+06	217.242	339.75
	315	4.9869e+06	222.081	339.75
	316	4.98665e+06	227.026	339.75
	317	4.9864e+06	232.081	339.75
	318	4.98614e+06	237.247	339.75
	319	4.98587e+06	242.527	339.75
	320	4.98559e+06	247.924	339.75
	321	4.98531e+06	253.439	339.75
	322	4.98501e+06	259.076	339.75
	323	4.98471e+06	264.837	339.75
	324	4.9844e+06	270.725	339.75
	325	4.98408e+06	276.743	339.75
	326	4.98375e+06	282.892	339.75
	327	4.98341e+06	289.177	339.75
	328	4.98306e+06	295.6	339.75
	329	4.9827e+06	302.163	339.75
	330	4.98234e+06	308.871	339.75
	331	4.98196e+06	315.726	339.75
	332	4.98157e+06	322.73	339.75
	333	4.98118e+06	329.889	339.75
	334	4.98078e+06	337.204	339.75
	335	4.98036e+06	344.679	339.75
	336	4.97994e+06	352.317	339.75
	337	4.9795e+06	360.122	339.75
	338	4.97906e+06	368.098	339.75
	339	4.9786e+06	376.248	339.75
	340	4.97814e+06	384.575	339.75
	341	4.97766e+06	393.084	339.75
	342	4.97717e+06	401.778	339.75
	343	4.97667e+06	410.661	339.75
	344	4.97616e+06	419.737	339.75
	345	4.97564e+06	429.011	339.75
	346	4.9751e+06	438.486	339.75
	347	4.97456e+06	448.166	339.75
	348	4.974e+06	458.056	339.75
	349	4.97342e+06	468.161	339.75
	350	4.97284e+06	478.484	339.75
	351	4.97224e+06	489.03	339.75
	352	4.97163e+06	499.804	339.75
	353	4.971e+06	510.811	339.75
	354	4.97036e+06	522.054	339.75
	355	4.96971e+06	533.541	339.75
	356	4.96904e+06	545.274	339.75
	357	4.96836e+06	557.26	339.75
	358	4.96766e+06	569.503	339.75
	359	4.96695e+06	582.008	339.75
	360	4.96622e+06	594.782	339.75
	361	4.96547e+06	607.83	339.75
	362	4.96471e+06	621.156	339.75
	363	4.96393e+06	634.767	339.75
	364	4.96314e+06	648.669	339.75
	365	4.96439e+06	232.066	761.385
	366	4.96554e+06	237.209	761.385
	367	4.96658e+06	242.467	761.385
	368	4.96754e+06	247.842	761.385
	369	4.96841e+06	253.335	761.385
	370	4.96919e+06	258.951	761.385
	371	4.9699e+06	264.692	761.385
	372	4.97054e+06	270.559	761.385
	373	4.9711e+06	276.556	761.385
	374	4.9716e+06	282.686	761.385
	375	4.97204e+06	288.951	761.385
	376	4.97242e+06	295.354	761.385
	377	4.97275e+06	301.899	761.385
	378	4.97302e+06	308.587	761.385
	379	4.97324e+06	315.423	761.385
	380	4.97341e+06	322.409	761.385
	381	4.97354e+06	329.549	761.385
	382	4.97363e+06	336.845	761.385
	383	4.97367e+06	344.302	761.385
	384	4.97368e+06	351.922	761.385
	385	4.97364e+06	359.709	761.385
	386	4.97358e+06	367.666	761.385
	387	4.97347e+06	375.797	761.385
	388	4.97334e+06	384.106	761.385
	389	4.97317e+06	392.597	761.385
	390	4.97297e+06	401.272	761.385
	391	4.97274e+06	410.137	761.385
	392	4.97248e+06	419.195	761.385
	393	4.9722e+06	428.45	761.385
	394	4.97188e+06	437.906	761.385
	395	4.97155e+06	447.568	761.385
	396	4.97118e+06	457.439	761.385
	397	4.97079e+06	467.524	761.385
	398	4.97038e+06	477.828	761.385
	399	4.96994e+06	488.355	761.385
	400	4.96948e+06	499.109	761.385
	401	4.96899e+06	510.096	761.385
	402	4.96849e+06	521.32	761.385
	403	4.96796e+06	532.786	761.385
	404	4.9674e+06	544.499	761.385
	405	4.96683e+06	556.464	761.385
	406	4.96623e+06	568.686	761.385
	407	4.96561e+06	581.17	761.385
	408	4.96497e+06	593.923	761.385
	409	4.96431e+06	606.948	761.385
	410	4.96363e+06	620.253	761.385
	411	4.96292e+06	633.842	761.385
	412	4.9622e+06	647.721	761.385
	413	4.96145e+06	661.895	761.385
	414	4.96068e+06	676.372	761.385
	415	4.95989e+06	691.157	761.385
	416	4.95907e+06	706.256	761.385
	417	4.95824e+06	721.676	761.385
	418	4.95738e+06	737.422	761.385
	419	4.9565e+06	753.502	761.385
	420	4.95559e+06	769.921	761.385
	421	4.95467e+06	786.687	761.385
	422	4.95372e+06	803.806	761.385
	423	4.95274e+06	821.285	761.385
	424	4.95174e+06	839.132	761.385
	425	4.95072e+06	857.353	761.385
	426	4.94968e+06	875.956	761.385
	427	4.94861e+06	894.948	761.385
	428	4.94751e+06	914.336	761.385
	429	4.94639e+06	934.129	761.385
	430	4.94524e+06	954.333	761.385
	431	4.94406e+06	974.957	761.385
	432	4.94286e+06	996.009	761.385
	433	4.94164e+06	1017.5	761.385
	434	4.94038e+06	1039.43	761.385
	435	4.9391e+06	1061.81	761.385
	436	4.93778e+06	1084.66	761.385
	437	4.93644e+06	1107.97	761.385
	438	4.93507e+06	1131.76	761.385
	439	4.93367e+06	1156.04	761.385
	440	4.93224e+06	1180.81	761.385
	441	4.93077e+06	1206.09	761.385
	442	4.92928e+06	1231.88	761.385
	443	4.92775e+06	1258.19	761.385
	444	4.92619e+06	1285.04	761.385
	445	4.9246e+06	1312.43	761.385
	446	4.92297e+06	1340.37	761.385
	447	4.9213e+06	1368.87	761.385
	448	4.91961e+06	1397.94	761.385
	449	4.91787e+06	1427.59	761.385
	450	4.9161e+06	1457.83	761.385
	451	4.91429e+06	1488.67	761.385
	452	4.91245e+06	1520.13	761.385
	453	4.91056e+06	1552.2	761.385
	454	4.90864e+06	1584.91	761.385
	455	4.90667e+06	1618.26	761.385
	456	4.90981e+06	578.677	1813.25
	457	4.9127e+06	591.234	1813.25
	458	4.91534e+06	604.066	1813.25
	459	4.91776e+06	617.178	1813.25
	460	4.91996e+06	630.576	1813.25
	461	4.92196e+06	644.266	1813.25
	462	4.92376e+06	658.253	1813.25
	463	4.92539e+06	672.542	1813.25
	464	4.92684e+06	687.141	1813.25
	465	4.92813e+06	702.054	1813.25
	466	4.92927e+06	717.288	1813.25
	467	4.93026e+06	732.85	1813.25
	468	4.93111e+06	748.744	1813.25
	469	4.93183e+06	764.979	1813.25
	470	4.93243e+06	781.559	1813.25
	471	4.93291e+06	798.493	1813.25
	472	4.93327e+06	815.787	1813.25
	473	4.93353e+06	833.447	1813.25
	474	4.93368e+06	851.481	1813.25
	475	4.93374e+06	869.896	1813.25
	476	4.9337e+06	888.699	1813.25
	477	4.93358e+06	907.898	1813.25
	478	4.93336e+06	927.499	1813.25
	479	4.93307e+06	947.511	1813.25
	480	4.93269e+06	967.941	1813.25
	481	4.93224e+06	988.797	1813.25
	482	4.93172e+06	1010.09	1813.25
	483	4.93112e+06	1031.82	1813.25
	484	4.93046e+06	1054	1813.25
	485	4.92973e+06	1076.64	1813.25
	486	4.92893e+06	1099.75	1813.25
	487	4.92807e+06	1123.34	1813.25
	488	4.92715e+06	1147.41	1813.25
	489	4.92617e+06	1171.97	1813.25
	490	4.92513e+06	1197.03	1813.25
	491	4.92403e+06	1222.61	1813.25
	492	4.92288e+06	1248.7	1813.25
	493	4.92167e+06	1275.33	1813.25
	494	4.92041e+06	1302.49	1813.25
	495	4.91909e+06	1330.2	1813.25
	496	4.91772e+06	1358.47	1813.25
	497	4.9163e+06	1387.31	1813.25
	498	4.91482e+06	1416.73	1813.25
	499	4.91329e+06	1446.73	1813.25
	500	4.91171e+06	1477.33	1813.25
	501	4.91008e+06	1508.54	1813.25
	502	4.9084e+06	1540.36	1813.25
	503	4.90667e+06	1572.82	1813.25
	504	4.90488e+06	1605.91	1813.25
	505	4.90305e+06	1639.65	1813.25
	506	4.90116e+06	1674.06	1813.25
	507	4.89923e+06	1709.13	1813.25
	508	4.89724e+06	1744.88	1813.25
	509	4.8952e+06	1781.33	1813.25
	510	4.89311e+06	1818.48	1813.25
	511	4.89096e+06	1856.34	1813.25
	512	4.88876e+06	1894.93	1813.25
	513	4.88651e+06	1934.26	1813.25
	514	4.88421e+06	1974.33	1813.25
	515	4.88185e+06	2015.17	1813.25
	516	4.87944e+06	2056.77	1813.25
	517	4.87697e+06	2099.16	1813.25
	518	4.87445e+06	2142.34	1813.25
	519	4.87187e+06	2186.32	1813.25
	520	4.86923e+06	2231.12	1813.25
	521	4.86654e+06	2276.74	1813.25
	522	4.86378e+06	2323.21	1813.25
	523	4.86097e+06	2370.52	1813.25
	524	4.8581e+06	2418.7	1813.25
	525	4.85517e+06	2467.75	1813.25
	526	4.85217e+06	2517.69	1813.25
	527	4.84912e+06	2568.52	1813.25
	528	4.846e+06	2620.26	1813.25
	529	4.84282e+06	2672.92	1813.25
	530	4.83957e+06	2726.5	1813.25
	531	4.83625e+06	2781.03	1813.25
	532	4.83287e+06	2836.51	1813.25
	533	4.82943e+06	2892.96	1813.25
	534	4.82591e+06	2950.37	1813.25
	535	4.82233e+06	3008.78	1813.25
	536	4.81867e+06	3068.17	1813.25
	537	4.81495e+06	3128.57	1813.25
	538	4.81115e+06	3189.99	1813.25
	539	4.80727e+06	3252.44	1813.25
	540	4.80333e+06	3315.92	1813.25
	541	4.79931e+06	3380.44	1813.25
	542	4.79521e+06	3446.02	1813.25
	543	4.79103e+06	3512.67	1813.25
	544	4.78678e+06	3580.39	1813.25
	545	4.78245e+06	3649.19	1813.25
	546	4.77803e+06	3719.08	1813.25
	547	4.78537e+06	1328.56	4230.65
	548	4.79215e+06	1356.01	4230.65
	549	4.79838e+06	1384.05	4230.65
	550	4.80411e+06	1412.68	4230.65
	551	4.80936e+06	1441.92	4230.65
	552	4.81415e+06	1471.76	4230.65
	553	4.81851e+06	1502.23	4230.65
	554	4.82246e+06	1533.32	4230.65
	555	4.82601e+06	1565.06	4230.65
	556	4.8292e+06	1597.44	4230.65
	557	4.83204e+06	1630.48	4230.65
	558	4.83455e+06	1664.19	4230.65
	559	4.83673e+06	1698.58	4230.65
	560	4.83862e+06	1733.66	4230.65
	561	4.84023e+06	1769.44	4230.65
	562	4.84156e+06	1805.93	4230.65
	563	4.84263e+06	1843.14	4230.65
	564	4.84345e+06	1881.08	4230.65
	565	4.84404e+06	1919.76	4230.65
	566	4.8444e+06	1959.19	4230.65
	567	4.84455e+06	1999.39	4230.65
	568	4.84449e+06	2040.36	4230.65
	569	4.84424e+06	2082.11	4230.65
	570	4.8438e+06	2124.67	4230.65
	571	4.84317e+06	2168.02	4230.65
	572	4.84237e+06	2212.2	4230.65
	573	4.84141e+06	2257.21	4230.65
	574	4.84028e+06	2303.05	4230.65
	575	4.83899e+06	2349.75	4230.65
	576	4.83756e+06	2397.31	4230.65
	577	4.83598e+06	2445.74	4230.65
	578	4.83425e+06	2495.06	4230.65
	579	4.8324e+06	2545.28	4230.65
	580	4.8304e+06	2596.4	4230.65
	581	4.82828e+06	2648.44	4230.65
	582	4.82603e+06	2701.41	4230.65
	583	4.82365e+06	2755.32	4230.65
	584	4.82116e+06	2810.18	4230.65
	585	4.81855e+06	2866	4230.65
	586	4.81582e+06	2922.8	4230.65
	587	4.81297e+06	2980.58	4230.65
	588	4.81002e+06	3039.35	4230.65
	589	4.80695e+06	3099.12	4230.65
	590	4.80377e+06	3159.91	4230.65
	591	4.80049e+06	3221.73	4230.65
	592	4.79709e+06	3284.58	4230.65
	593	4.7936e+06	3348.47	4230.65
	594	4.78999e+06	3413.42	4230.65
	595	4.78629e+06	3479.42	4230.65
	596	4.78248e+06	3546.5	4230.65
	597	4.77856e+06	3614.66	4230.65
	598	4.77455e+06	3683.91	4230.65
	599	4.77043e+06	3754.26	4230.65
	600	4.76621e+06	3825.71	4230.65
	601	4.76189e+06	3898.27	4230.65
	602	4.75746e+06	3971.96	4230.65
	603	4.75294e+06	4046.77	4230.65
	604	4.74831e+06	4122.71	4230.65
	605	4.74358e+06	4199.79	4230.65
	606	4.73875e+06	4278.02	4230.65
	607	4.73381e+06	4357.4	4230.65
	608	4.72878e+06	4437.93	4230.65
	609	4.72364e+06	4519.63	4230.65
