	t	x	y
	0	10000	0
	1	10687.9	0
	2	11423.1	0
	3	12208.6	0
	4	13048.1	0
	5	13945.1	0
	6	14903.6	0
	7	15927.8	0
	8	17022.1	0
	9	18191.3	0
	10	19440.5	0
	11	20775.1	0
	12	22201	0
	13	23724.3	0
	14	25351.5	0
	15	27089.7	0
	16	28946.5	0
	17	30929.7	0
	18	33047.8	0
	19	35310	0
	20	37725.9	0
	21	40305.7	0
	22	43060.5	0
	23	46001.7	0
	24	49141.8	0
	25	52494.1	0
	26	56072.4	0
	27	59891.7	0
	28	63967.7	0
	29	68317.3	0
	30	72958.4	0
	31	77909.7	0
	32	83191.3	0
	33	88824.6	0
	34	94831.9	0
	35	101237	0
	36	108066	0
	37	115344	0
	38	123100	0
	39	131363	0
	40	140165	0
	41	149539	0
	42	159519	0
	43	170142	0
	44	181446	0
	45	193471	0
	46	206258	0
	47	219852	0
	48	234298	0
	49	249644	0
	50	265939	0
	51	283234	0
	52	301582	0
	53	321038	0
	54	341658	0
	55	363499	0
	56	386621	0
	57	411083	0
	58	436946	0
	59	464272	0
	60	493122	0
	61	523557	0
	62	555640	0
	63	589430	0
	64	624985	0
	65	662363	0
	66	701619	0
	67	742802	0
	68	785960	0
	69	831137	0
	70	878369	0
	71	927688	0
	72	979119	0
	73	1.03268e+06	0
	74	1.08837e+06	0
	75	1.1462e+06	0
	76	1.20616e+06	0
	77	1.26822e+06	0
	78	1.33235e+06	0
	79	1.39851e+06	0
	80	1.46665e+06	0
	81	1.53668e+06	0
	82	1.60854e+06	0
	83	1.68212e+06	0
	84	1.75733e+06	0
	85	1.83404e+06	0
	86	1.91212e+06	0
	87	1.99144e+06	0
	88	2.07184e+06	0
	89	2.15316e+06	0
	90	2.23524e+06	0
	91	2.3179e+06	0
	92	2.40096e+06	0
	93	2.48425e+06	0
	94	2.56756e+06	0
	95	2.65073e+06	0
	96	2.73356e+06	0
	97	2.81588e+06	0
	98	2.89751e+06	0
	99	2.97828e+06	0
	100	3.05803e+06	0
	101	3.13659e+06	0
	102	3.21384e+06	0
	103	3.28963e+06	0
	104	3.36384e+06	0
	105	3.43636e+06	0
	106	3.50709e+06	0
	107	3.57595e+06	0
	108	3.64287e+06	0
	109	3.70777e+06	0
	110	3.77062e+06	0
	111	3.83138e+06	0
	112	3.89001e+06	0
	113	3.94652e+06	0
	114	4.00088e+06	0
	115	4.05312e+06	0
	116	4.10323e+06	0
	117	4.15125e+06	0
	118	4.1972e+06	0
	119	4.24111e+06	0
	120	4.28304e+06	0
	121	4.32302e+06	0
	122	4.3611e+06	0
	123	4.39734e+06	0
	124	4.43179e+06	0
	125	4.46451e+06	0
	126	4.49556e+06	0
	127	4.525e+06	0
	128	4.5529e+06	0
	129	4.57931e+06	0
	130	4.60429e+06	0
	131	4.62791e+06	0
	132	4.65023e+06	0
	133	4.67131e+06	0
	134	4.69119e+06	0
	135	4.70996e+06	0
	136	4.72764e+06	0
	137	4.74431e+06	0
	138	4.76001e+06	0
	139	4.77479e+06	0
	140	4.7887e+06	0
	141	4.80179e+06	0
	142	4.81409e+06	0
	143	4.82567e+06	0
	144	4.83654e+06	0
	145	4.84676e+06	0
	146	4.85636e+06	0
	147	4.86537e+06	0
	148	4.87384e+06	0
	149	4.88178e+06	0
	150	4.88924e+06	0
	151	4.89623e+06	0
	152	4.90279e+06	0
	153	4.90895e+06	0
	154	4.91472e+06	0
	155	4.92013e+06	0
	156	4.92521e+06	0
	157	4.92996e+06	0
	158	4.93442e+06	0
	159	4.9386e+06	0
	160	4.94251e+06	0
	161	4.94618e+06	0
	162	4.94962e+06	0
	163	4.95284e+06	0
	164	4.95585e+06	0
	165	4.95867e+06	0
	166	4.96132e+06	0
	167	4.9638e+06	0
	168	4.96611e+06	0
	169	4.96829e+06	0
	170	4.97032e+06	0
	171	4.97222e+06	0
	172	4.974e+06	0
	173	4.97567e+06	0
	174	4.97723e+06	0
	175	4.9787e+06	0
	176	4.98007e+06	0
	177	4.98135e+06	0
	178	4.98254e+06	0
	179	4.98367e+06	0
	180	4.98472e+06	0
	181	4.9857e+06	0
	182	4.98662e+06	0
	183	4.98748e+06	0
	184	4.98829e+06	0
	185	4.98904e+06	0
	186	4.98975e+06	0
	187	4.99041e+06	0
	188	4.99102e+06	0
	189	4.9916e+06	0
	190	4.99214e+06	0
	191	4.99265e+06	0
	192	4.99312e+06	0
	193	4.99356e+06	0
	194	4.99398e+06	0
	195	4.99437e+06	0
	196	4.99473e+06	0
	197	4.99507e+06	0
	198	4.99539e+06	0
	199	4.99568e+06	0
	200	4.99596e+06	0
	201	4.99622e+06	0
	202	4.99647e+06	0
	203	4.99669e+06	0
	204	4.99691e+06	0
	205	4.99711e+06	0
	206	4.99729e+06	0
	207	4.99747e+06	0
	208	4.99763e+06	0
	209	4.99778e+06	0
	210	4.99793e+06	0
	211	4.99806e+06	0
	212	4.99818e+06	0
	213	4.9983e+06	0
	214	4.99841e+06	0
	215	4.99851e+06	0
	216	4.99861e+06	0
	217	4.9987e+06	0
	218	4.99878e+06	0
	219	4.99886e+06	0
	220	4.99894e+06	0
	221	4.999e+06	0
	222	4.99907e+06	0
	223	4.99913e+06	0
	224	4.99918e+06	0
	225	4.99924e+06	0
	226	4.99929e+06	0
	227	4.99933e+06	0
	228	4.99938e+06	0
	229	4.99942e+06	0
	230	4.99945e+06	0
	231	4.99949e+06	0
	232	4.99952e+06	0
	233	4.99955e+06	0
	234	4.99958e+06	0
	235	4.99961e+06	0
	236	4.99963e+06	0
	237	4.99966e+06	0
	238	4.99968e+06	0
	239	4.9997e+06	0
	240	4.99972e+06	0
	241	4.99974e+06	0
	242	4.99975e+06	0
	243	4.99977e+06	0
	244	4.99978e+06	0
	245	4.9998e+06	0
	246	4.99981e+06	0
	247	4.99982e+06	0
	248	4.99984e+06	0
	249	4.99985e+06	0
	250	4.99986e+06	0
	251	4.99987e+06	0
	252	4.99987e+06	0
	253	4.99988e+06	0
	254	4.99989e+06	0
	255	4.9999e+06	0
	256	4.9999e+06	0
	257	4.99991e+06	0
	258	4.99992e+06	0
	259	4.99992e+06	0
	260	4.99993e+06	0
	261	4.99993e+06	0
	262	4.99994e+06	0
	263	4.99994e+06	0
	264	4.99994e+06	0
	265	4.99995e+06	0
	266	4.99995e+06	0
	267	4.99995e+06	0
	268	4.99996e+06	0
	269	4.99996e+06	0
	270	4.99996e+06	0
	271	4.99996e+06	0
	272	4.99997e+06	0
	273	4.99997e+06	0
	274	4.99997e+06	0
	275	4.99997e+06	0
	276	4.99997e+06	0
	277	4.99998e+06	0
	278	4.99998e+06	0
	279	4.99998e+06	0
	280	4.99998e+06	0
	281	4.99998e+06	0
	282	4.99998e+06	0
	283	4.99998e+06	0
	284	4.99999e+06	0
	285	4.99999e+06	0
	286	4.99999e+06	0
	287	4.99999e+06	0
	288	4.99999e+06	0
	289	4.99999e+06	0
	290	4.99999e+06	0
	291	4.99999e+06	0
	292	4.99999e+06	0
	293	4.99999e+06	0
	294	4.99999e+06	0
	295	4.99999e+06	0
	296	4.99999e+06	0
	297	4.99999e+06	0
	298	4.99999e+06	0
	299	4.99999e+06	0
	300	4.99999e+06	0
	301	5e+06	0
	302	5e+06	0
	303	5e+06	0
	304	5e+06	0
	305	5e+06	0
	306	5e+06	0
	307	5e+06	0
	308	5e+06	0
	309	5e+06	0
	310	5e+06	0
	311	5e+06	0
	312	5e+06	0
	313	5e+06	0
	314	5e+06	0
	315	5e+06	0
	316	5e+06	0
	317	5e+06	0
	318	5e+06	0
	319	5e+06	0
	320	5e+06	0
	321	5e+06	0
	322	5e+06	0
	323	5e+06	0
	324	5e+06	0
	325	5e+06	0
	326	5e+06	0
	327	5e+06	0
	328	5e+06	0
	329	5e+06	0
	330	5e+06	0
	331	5e+06	0
	332	5e+06	0
	333	5e+06	0
	334	5e+06	0
	335	5e+06	0
	336	5e+06	0
	337	5e+06	0
	338	5e+06	0
	339	5e+06	0
	340	5e+06	0
	341	5e+06	0
	342	5e+06	0
	343	5e+06	0
	344	5e+06	0
	345	5e+06	0
	346	5e+06	0
	347	5e+06	0
	348	5e+06	0
	349	5e+06	0
	350	5e+06	0
	351	5e+06	0
	352	5e+06	0
	353	5e+06	0
	354	5e+06	0
	355	5e+06	0
	356	5e+06	0
	357	5e+06	0
	358	5e+06	0
	359	5e+06	0
	360	5e+06	0
	361	5e+06	0
	362	5e+06	0
	363	5e+06	0
	364	5e+06	0
	365	5e+06	0
	366	5e+06	0
	367	5e+06	0
	368	5e+06	0
	369	5e+06	0
	370	5e+06	0
	371	5e+06	0
	372	5e+06	0
	373	5e+06	0
	374	5e+06	0
	375	5e+06	0
	376	5e+06	0
	377	5e+06	0
	378	5e+06	0
	379	5e+06	0
	380	5e+06	0
	381	5e+06	0
	382	5e+06	0
	383	5e+06	0
	384	5e+06	0
	385	5e+06	0
	386	5e+06	0
	387	5e+06	0
	388	5e+06	0
	389	5e+06	0
	390	5e+06	0
	391	5e+06	0
	392	5e+06	0
	393	5e+06	0
	394	5e+06	0
	395	5e+06	0
	396	5e+06	0
	397	5e+06	0
	398	5e+06	0
	399	5e+06	0
	400	5e+06	0
	401	5e+06	0
	402	5e+06	0
	403	5e+06	0
	404	5e+06	0
	405	5e+06	0
	406	5e+06	0
	407	5e+06	0
	408	5e+06	0
	409	5e+06	0
	410	5e+06	0
	411	5e+06	0
	412	5e+06	0
	413	5e+06	0
	414	5e+06	0
	415	5e+06	0
	416	5e+06	0
	417	5e+06	0
	418	5e+06	0
	419	5e+06	0
	420	5e+06	0
	421	5e+06	0
	422	5e+06	0
	423	5e+06	0
	424	5e+06	0
	425	5e+06	0
	426	5e+06	0
	427	5e+06	0
	428	5e+06	0
	429	5e+06	0
	430	5e+06	0
	431	5e+06	0
	432	5e+06	0
	433	5e+06	0
	434	5e+06	0
	435	5e+06	0
	436	5e+06	0
	437	5e+06	0
	438	5e+06	0
	439	5e+06	0
	440	5e+06	0
	441	5e+06	0
	442	5e+06	0
	443	5e+06	0
	444	5e+06	0
	445	5e+06	0
	446	5e+06	0
	447	5e+06	0
	448	5e+06	0
	449	5e+06	0
	450	5e+06	0
	451	5e+06	0
	452	5e+06	0
	453	5e+06	0
	454	5e+06	0
	455	5e+06	0
	456	5e+06	0
	457	5e+06	0
	458	5e+06	0
	459	5e+06	0
	460	5e+06	0
	461	5e+06	0
	462	5e+06	0
	463	5e+06	0
	464	5e+06	0
	465	5e+06	0
	466	5e+06	0
	467	5e+06	0
	468	5e+06	0
	469	5e+06	0
	470	5e+06	0
	471	5e+06	0
	472	5e+06	0
	473	5e+06	0
	474	5e+06	0
	475	5e+06	0
	476	5e+06	0
	477	5e+06	0
	478	5e+06	0
	479	5e+06	0
	480	5e+06	0
	481	5e+06	0
	482	5e+06	0
	483	5e+06	0
	484	5e+06	0
	485	5e+06	0
	486	5e+06	0
	487	5e+06	0
	488	5e+06	0
	489	5e+06	0
	490	5e+06	0
	491	5e+06	0
	492	5e+06	0
	493	5e+06	0
	494	5e+06	0
	495	5e+06	0
	496	5e+06	0
	497	5e+06	0
	498	5e+06	0
	499	5e+06	0
	500	5e+06	0
	501	5e+06	0
	502	5e+06	0
	503	5e+06	0
	504	5e+06	0
	505	5e+06	0
	506	5e+06	0
	507	5e+06	0
	508	5e+06	0
	509	5e+06	0
	510	5e+06	0
	511	5e+06	0
	512	5e+06	0
	513	5e+06	0
	514	5e+06	0
	515	5e+06	0
	516	5e+06	0
	517	5e+06	0
	518	5e+06	0
	519	5e+06	0
	520	5e+06	0
	521	5e+06	0
	522	5e+06	0
	523	5e+06	0
	524	5e+06	0
	525	5e+06	0
	526	5e+06	0
	527	5e+06	0
	528	5e+06	0
	529	5e+06	0
	530	5e+06	0
	531	5e+06	0
	532	5e+06	0
	533	5e+06	0
	534	5e+06	0
	535	5e+06	0
	536	5e+06	0
	537	5e+06	0
	538	5e+06	0
	539	5e+06	0
	540	5e+06	0
	541	5e+06	0
	542	5e+06	0
	543	5e+06	0
	544	5e+06	0
	545	5e+06	0
	546	5e+06	0
	547	5e+06	0
	548	5e+06	0
	549	5e+06	0
	550	5e+06	0
	551	5e+06	0
	552	5e+06	0
	553	5e+06	0
	554	5e+06	0
	555	5e+06	0
	556	5e+06	0
	557	5e+06	0
	558	5e+06	0
	559	5e+06	0
	560	5e+06	0
	561	5e+06	0
	562	5e+06	0
	563	5e+06	0
	564	5e+06	0
	565	5e+06	0
	566	5e+06	0
	567	5e+06	0
	568	5e+06	0
	569	5e+06	0
	570	5e+06	0
	571	5e+06	0
	572	5e+06	0
	573	5e+06	0
	574	5e+06	0
	575	5e+06	0
	576	5e+06	0
	577	5e+06	0
	578	5e+06	0
	579	5e+06	0
	580	5e+06	0
	581	5e+06	0
	582	5e+06	0
	583	5e+06	0
	584	5e+06	0
	585	5e+06	0
	586	5e+06	0
	587	5e+06	0
	588	5e+06	0
	589	5e+06	0
	590	5e+06	0
	591	5e+06	0
	592	5e+06	0
	593	5e+06	0
	594	5e+06	0
	595	5e+06	0
	596	5e+06	0
	597	5e+06	0
	598	5e+06	0
	599	5e+06	0
	600	5e+06	0
	601	5e+06	0
	602	5e+06	0
	603	5e+06	0
	604	5e+06	0
	605	5e+06	0
	606	5e+06	0
	607	5e+06	0
	608	5e+06	0
	609	5e+06	0
	610	5e+06	0
	611	5e+06	0
	612	5e+06	0
	613	5e+06	0
	614	5e+06	0
	615	5e+06	0
	616	5e+06	0
	617	5e+06	0
	618	5e+06	0
	619	5e+06	0
	620	5e+06	0
	621	5e+06	0
	622	5e+06	0
	623	5e+06	0
	624	5e+06	0
	625	5e+06	0
	626	5e+06	0
	627	5e+06	0
	628	5e+06	0
	629	5e+06	0
	630	5e+06	0
	631	5e+06	0
	632	5e+06	0
	633	5e+06	0
	634	5e+06	0
	635	5e+06	0
	636	5e+06	0
	637	5e+06	0
	638	5e+06	0
	639	5e+06	0
	640	5e+06	0
	641	5e+06	0
	642	5e+06	0
	643	5e+06	0
	644	5e+06	0
	645	5e+06	0
	646	5e+06	0
	647	5e+06	0
	648	5e+06	0
	649	5e+06	0
	650	5e+06	0
	651	5e+06	0
	652	5e+06	0
	653	5e+06	0
	654	5e+06	0
	655	5e+06	0
	656	5e+06	0
	657	5e+06	0
	658	5e+06	0
	659	5e+06	0
	660	5e+06	0
	661	5e+06	0
	662	5e+06	0
	663	5e+06	0
	664	5e+06	0
	665	5e+06	0
	666	5e+06	0
	667	5e+06	0
	668	5e+06	0
	669	5e+06	0
	670	5e+06	0
	671	5e+06	0
	672	5e+06	0
	673	5e+06	0
	674	5e+06	0
	675	5e+06	0
	676	5e+06	0
	677	5e+06	0
	678	5e+06	0
	679	5e+06	0
	680	5e+06	0
	681	5e+06	0
	682	5e+06	0
	683	5e+06	0
	684	5e+06	0
	685	5e+06	0
	686	5e+06	0
	687	5e+06	0
	688	5e+06	0
	689	5e+06	0
	690	5e+06	0
	691	5e+06	0
	692	5e+06	0
	693	5e+06	0
	694	5e+06	0
	695	5e+06	0
	696	5e+06	0
	697	5e+06	0
	698	5e+06	0
	699	5e+06	0
	700	5e+06	0
	701	5e+06	0
	702	5e+06	0
	703	5e+06	0
	704	5e+06	0
	705	5e+06	0
	706	5e+06	0
	707	5e+06	0
	708	5e+06	0
	709	5e+06	0
	710	5e+06	0
	711	5e+06	0
	712	5e+06	0
	713	5e+06	0
	714	5e+06	0
	715	5e+06	0
	716	5e+06	0
	717	5e+06	0
	718	5e+06	0
	719	5e+06	0
	720	5e+06	0
	721	5e+06	0
	722	5e+06	0
	723	5e+06	0
	724	5e+06	0
	725	5e+06	0
	726	5e+06	0
	727	5e+06	0
	728	5e+06	0
	729	5e+06	0
	730	5e+06	0
	731	5e+06	0
	732	5e+06	0
	733	5e+06	0
	734	5e+06	0
	735	5e+06	0
	736	5e+06	0
	737	5e+06	0
	738	5e+06	0
	739	5e+06	0
	740	5e+06	0
	741	5e+06	0
	742	5e+06	0
	743	5e+06	0
	744	5e+06	0
	745	5e+06	0
	746	5e+06	0
	747	5e+06	0
	748	5e+06	0
	749	5e+06	0
	750	5e+06	0
	751	5e+06	0
	752	5e+06	0
	753	5e+06	0
	754	5e+06	0
	755	5e+06	0
	756	5e+06	0
	757	5e+06	0
	758	5e+06	0
	759	5e+06	0
	760	5e+06	0
	761	5e+06	0
	762	5e+06	0
	763	5e+06	0
	764	5e+06	0
	765	5e+06	0
	766	5e+06	0
	767	5e+06	0
	768	5e+06	0
	769	5e+06	0
	770	5e+06	0
	771	5e+06	0
	772	5e+06	0
	773	5e+06	0
	774	5e+06	0
	775	5e+06	0
