	t	x	y
	0	10000	250
	1	9395.56	249.972
	2	8749.75	249.944
	3	8059.73	249.915
	4	7322.45	249.884
	5	6534.66	249.854
	6	5692.86	249.822
	7	4793.34	249.789
	8	3832.1	249.756
	9	2804.87	249.721
	10	1707.09	249.685
	11	533.869	249.647
	12	0	249.609
	13	0	249.571
	14	0	249.532
	15	0	249.494
	16	0	249.455
	17	0	249.417
	18	0	249.378
	19	0	249.34
	20	0	249.301
	21	0	249.263
	22	0	249.224
	23	0	249.186
	24	0	249.148
	25	0	249.109
	26	0	249.071
	27	0	249.033
	28	0	248.994
	29	0	248.956
	30	0	248.918
	31	0	248.879
	32	0	248.841
	33	0	248.803
	34	0	248.764
	35	0	248.726
	36	0	248.688
	37	0	248.65
	38	0	248.611
	39	0	248.573
	40	0	248.535
	41	0	248.497
	42	0	248.459
	43	0	248.42
	44	0	248.382
	45	0	248.344
	46	0	248.306
	47	0	248.268
	48	0	248.23
	49	0	248.192
	50	0	248.154
	51	0	248.115
	52	0	248.077
	53	0	248.039
	54	0	248.001
	55	0	247.963
	56	0	247.925
	57	0	247.887
	58	0	247.849
	59	0	247.811
	60	0	247.773
	61	0	247.735
	62	0	247.697
	63	0	247.659
	64	0	247.622
	65	0	247.584
	66	0	247.546
	67	0	247.508
	68	0	247.47
	69	0	247.432
	70	0	247.394
	71	0	247.356
	72	0	247.319
	73	0	247.281
	74	0	247.243
	75	0	247.205
	76	0	247.167
	77	0	247.13
	78	0	247.092
	79	0	247.054
	80	0	247.016
	81	0	246.979
	82	0	246.941
	83	0	246.903
	84	0	246.866
	85	0	246.828
	86	0	246.79
	87	0	246.753
	88	0	246.715
	89	0	246.677
	90	0	246.64
	91	0	246.602
	92	0	246.564
	93	0	246.527
	94	0	246.489
	95	0	246.452
	96	0	246.414
	97	0	246.377
	98	0	246.339
	99	0	246.302
	100	0	246.264
	101	0	246.227
	102	0	246.189
	103	0	246.152
	104	0	246.114
	105	0	246.077
	106	0	246.039
	107	0	246.002
	108	0	245.964
	109	0	245.927
	110	0	245.89
	111	0	245.852
	112	0	245.815
	113	0	245.777
	114	0	245.74
	115	0	245.703
	116	0	245.665
	117	0	245.628
	118	0	245.591
	119	0	245.553
	120	0	245.516
	121	0	245.479
	122	0	245.442
	123	0	245.404
	124	0	245.367
	125	0	245.33
	126	0	245.293
	127	0	245.256
	128	0	245.218
	129	0	245.181
	130	0	245.144
	131	0	245.107
	132	0	245.07
	133	0	245.033
	134	0	244.995
	135	0	244.958
	136	0	244.921
	137	0	244.884
	138	0	244.847
	139	0	244.81
	140	0	244.773
	141	0	244.736
	142	0	244.699
	143	0	244.662
	144	0	244.625
	145	0	244.588
	146	0	244.551
	147	0	244.514
	148	0	244.477
	149	0	244.44
	150	0	244.403
	151	0	244.366
