	t	x	y
	210	4.94486e+06	810.005
	211	4.94442e+06	827.585
	212	4.94391e+06	845.535
	213	4.94336e+06	863.862
	214	4.94274e+06	882.575
	215	4.94208e+06	901.679
	216	4.94136e+06	921.184
	217	4.94059e+06	941.096
	218	4.93978e+06	961.423
	219	4.93891e+06	982.172
	220	4.938e+06	1003.35
	221	4.93704e+06	1024.97
	222	4.93604e+06	1047.04
	223	4.93499e+06	1069.56
	224	4.9339e+06	1092.55
	225	4.93276e+06	1116.01
	226	4.93158e+06	1139.95
	227	4.93036e+06	1164.38
	228	4.9291e+06	1189.31
	229	4.92779e+06	1214.74
	230	4.92644e+06	1240.7
	231	4.92504e+06	1267.17
	232	4.92361e+06	1294.19
	233	4.92213e+06	1321.75
	234	4.92061e+06	1349.87
	235	4.91905e+06	1378.55
	236	4.91745e+06	1407.8
	237	4.9158e+06	1437.64
	238	4.91411e+06	1468.07
	239	4.91237e+06	1499.11
	240	4.9106e+06	1530.76
	241	4.90877e+06	1563.04
	242	4.90691e+06	1595.95
	243	4.90499e+06	1629.5
	244	4.90304e+06	1663.72
	245	4.90103e+06	1698.6
	246	4.89899e+06	1734.16
	247	4.89689e+06	1770.41
	248	4.89475e+06	1807.36
	249	4.89255e+06	1845.01
	250	4.89031e+06	1883.4
	251	4.88802e+06	1922.51
	252	4.88568e+06	1962.37
	253	4.88329e+06	2002.98
	254	4.88085e+06	2044.36
	255	4.87836e+06	2086.52
	256	4.87581e+06	2129.47
	257	4.87321e+06	2173.22
	258	4.87056e+06	2217.78
	259	4.86784e+06	2263.17
	260	4.86508e+06	2309.39
	261	4.86225e+06	2356.45
	262	4.85937e+06	2404.38
	263	4.85643e+06	2453.18
	264	4.85343e+06	2502.85
	265	4.85037e+06	2553.42
	266	4.84725e+06	2604.9
	267	4.84407e+06	2657.29
	268	4.84082e+06	2710.6
	269	4.83751e+06	2764.86
	270	4.83413e+06	2820.06
	271	4.83069e+06	2876.22
	272	4.82718e+06	2933.35
	273	4.8236e+06	2991.47
	274	4.81996e+06	3050.57
	275	4.81624e+06	3110.68
	276	4.81245e+06	3171.8
	277	4.80859e+06	3233.94
	278	4.80465e+06	3297.12
	279	4.80065e+06	3361.34
	280	4.79656e+06	3426.61
	281	4.7924e+06	3492.94
	282	4.78816e+06	3560.35
	283	4.78385e+06	3628.83
	284	4.77945e+06	3698.4
	285	4.77497e+06	3769.07
	286	4.77041e+06	3840.84
	287	4.76577e+06	3913.72
	288	4.76104e+06	3987.73
	289	4.75623e+06	4062.86
	290	4.75133e+06	4139.12
	291	4.74634e+06	4216.52
	292	4.74127e+06	4295.06
	293	4.73611e+06	4374.76
	294	4.73085e+06	4455.61
	295	4.7255e+06	4537.62
	296	4.72006e+06	4620.79
	297	4.71453e+06	4705.13
	298	4.7089e+06	4790.64
	299	4.70318e+06	4877.32
	300	4.69736e+06	4965.17
	301	4.69144e+06	5054.2
	302	4.68542e+06	5144.4
	303	4.6793e+06	5235.78
	304	4.67308e+06	5328.33
	305	4.66675e+06	5422.06
	306	4.66033e+06	5516.96
	307	4.6538e+06	5613.02
	308	4.64716e+06	5710.25
	309	4.64042e+06	5808.65
	310	4.63357e+06	5908.19
	311	4.62661e+06	6008.89
	312	4.61955e+06	6110.73
	313	4.61237e+06	6213.71
	314	4.60509e+06	6317.82
	315	4.59769e+06	6423.05
	316	4.59018e+06	6529.38
	317	4.58256e+06	6636.82
	318	4.57483e+06	6745.34
	319	4.56698e+06	6854.94
	320	4.55901e+06	6965.6
	321	4.55093e+06	7077.31
	322	4.54274e+06	7190.06
	323	4.53442e+06	7303.82
	324	4.52599e+06	7418.58
	325	4.51745e+06	7534.32
	326	4.50878e+06	7651.03
	327	4.5e+06	7768.69
	328	4.4911e+06	7887.26
	329	4.48207e+06	8006.74
	330	4.47293e+06	8127.1
	331	4.46367e+06	8248.32
	332	4.45429e+06	8370.37
	333	4.44479e+06	8493.23
	334	4.43516e+06	8616.87
	335	4.42542e+06	8741.26
	336	4.41556e+06	8866.38
	337	4.40557e+06	8992.2
	338	4.39547e+06	9118.68
	339	4.38525e+06	9245.81
	340	4.3749e+06	9373.54
	341	4.36444e+06	9501.84
	342	4.35385e+06	9630.69
	343	4.34315e+06	9760.04
	344	4.33233e+06	9889.87
	345	4.32139e+06	10020.1
	346	4.31033e+06	10150.8
	347	4.29915e+06	10281.8
	348	4.28786e+06	10413.2
	349	4.27645e+06	10544.8
	350	4.26492e+06	10676.7
	351	4.25328e+06	10808.8
	352	4.24153e+06	10941.1
	353	4.22966e+06	11073.6
	354	4.21768e+06	11206.1
	355	4.20559e+06	11338.6
	356	4.19339e+06	11471.2
	357	4.18108e+06	11603.7
	358	4.16866e+06	11736.2
	359	4.15613e+06	11868.6
	360	4.1435e+06	12000.8
	361	4.13076e+06	12132.8
	362	4.11792e+06	12264.5
	363	4.10498e+06	12396
	364	4.09194e+06	12527.1
	365	4.07879e+06	12657.9
	366	4.06556e+06	12788.2
	367	4.05222e+06	12918.1
	368	4.03879e+06	13047.5
	369	4.02527e+06	13176.3
	370	4.01166e+06	13304.6
	371	3.99795e+06	13432.2
	372	3.98417e+06	13559.2
	373	3.97029e+06	13685.4
	374	3.95633e+06	13810.9
	375	3.94229e+06	13935.6
	376	3.92817e+06	14059.5
	377	3.91397e+06	14182.5
	378	3.8997e+06	14304.5
	379	3.88535e+06	14425.7
	380	3.87093e+06	14545.8
	381	3.85644e+06	14665
	382	3.84188e+06	14783
	383	3.82726e+06	14900
	384	3.81257e+06	15015.8
	385	3.79783e+06	15130.5
	386	3.78302e+06	15244
	387	3.76816e+06	15356.2
	388	3.75324e+06	15467.2
	389	3.73827e+06	15576.9
	390	3.72325e+06	15685.2
	391	3.70818e+06	15792.2
	392	3.69307e+06	15897.9
	393	3.67792e+06	16002.1
	394	3.66272e+06	16104.9
	395	3.64748e+06	16206.2
	396	3.63221e+06	16306
	397	3.61691e+06	16404.4
	398	3.60157e+06	16501.2
	399	3.5862e+06	16596.5
	400	3.57081e+06	16690.2
	401	3.55539e+06	16782.3
	402	3.53995e+06	16872.9
	403	3.52449e+06	16961.8
	404	3.50901e+06	17049.1
	405	3.49352e+06	17134.7
	406	3.47801e+06	17218.7
	407	3.46249e+06	17301
	408	3.44696e+06	17381.6
	409	3.43143e+06	17460.6
	410	3.41589e+06	17537.8
	411	3.40035e+06	17613.4
	412	3.38481e+06	17687.2
	413	3.36927e+06	17759.3
	414	3.35373e+06	17829.7
	415	3.3382e+06	17898.4
	416	3.32268e+06	17965.3
	417	3.30717e+06	18030.5
	418	3.29167e+06	18094
	419	3.27618e+06	18155.7
	420	3.26071e+06	18215.7
	421	3.24526e+06	18274
	422	3.22983e+06	18330.6
	423	3.21442e+06	18385.5
	424	3.19903e+06	18438.6
	425	3.18367e+06	18490.1
	426	3.16833e+06	18539.8
	427	3.15303e+06	18587.9
	428	3.13775e+06	18634.2
	429	3.12251e+06	18678.9
	430	3.1073e+06	18721.9
	431	3.09212e+06	18763.3
	432	3.07698e+06	18803
	433	3.06188e+06	18841.1
	434	3.04682e+06	18877.5
	435	3.0318e+06	18912.4
	436	3.01682e+06	18945.6
	437	3.00189e+06	18977.3
	438	2.987e+06	19007.4
	439	2.97215e+06	19036
	440	2.95736e+06	19063
	441	2.94261e+06	19088.4
	442	2.92792e+06	19112.4
	443	2.91327e+06	19134.9
	444	2.89868e+06	19155.9
	445	2.88414e+06	19175.5
	446	2.86966e+06	19193.6
	447	2.85523e+06	19210.2
	448	2.84086e+06	19225.5
	449	2.82654e+06	19239.4
	450	2.81229e+06	19251.9
	451	2.79809e+06	19263.1
	452	2.78395e+06	19272.9
	453	2.76988e+06	19281.5
	454	2.75586e+06	19288.7
	455	2.74191e+06	19294.7
	456	2.72802e+06	19299.4
	457	2.7142e+06	19302.8
	458	2.70044e+06	19305.1
	459	2.68674e+06	19306.1
	460	2.67311e+06	19306
	461	2.65955e+06	19304.7
	462	2.64606e+06	19302.3
	463	2.63263e+06	19298.7
	464	2.61927e+06	19294.1
	465	2.60597e+06	19288.4
	466	2.59275e+06	19281.6
	467	2.57959e+06	19273.8
	468	2.56651e+06	19264.9
	469	2.55349e+06	19255.1
	470	2.54055e+06	19244.3
	471	2.52767e+06	19232.5
	472	2.51487e+06	19219.7
	473	2.50214e+06	19206.1
	474	2.48948e+06	19191.5
	475	2.47689e+06	19176.1
	476	2.46437e+06	19159.7
	477	2.45192e+06	19142.6
	478	2.43955e+06	19124.6
	479	2.42725e+06	19105.7
	480	2.41502e+06	19086.1
	481	2.40286e+06	19065.7
	482	2.39077e+06	19044.6
	483	2.37876e+06	19022.7
	484	2.36682e+06	19000.1
	485	2.35496e+06	18976.7
	486	2.34316e+06	18952.7
	487	2.33144e+06	18928
	488	2.31979e+06	18902.7
	489	2.30821e+06	18876.7
	490	2.29671e+06	18850.1
	491	2.28528e+06	18822.9
	492	2.27392e+06	18795
	493	2.26263e+06	18766.6
	494	2.25142e+06	18737.7
	495	2.24027e+06	18708.2
	496	2.2292e+06	18678.1
	497	2.2182e+06	18647.6
	498	2.20727e+06	18616.5
	499	2.19642e+06	18585
	500	2.18563e+06	18553
	501	2.17492e+06	18520.5
	502	2.16428e+06	18487.5
	503	2.15371e+06	18454.2
