	t	x	y
	0	10000	125
	1	10041.7	124.996
	2	10086.3	124.992
	3	10134	124.988
	4	10185	124.984
	5	10239.5	124.98
	6	10297.7	124.976
	7	10360	124.972
	8	10426.6	124.968
	9	10497.7	124.964
	10	10573.8	124.961
	11	10655.1	124.957
	12	10742	124.953
	13	10834.9	124.949
	14	10934.2	124.946
	15	11040.3	124.942
	16	11153.7	124.939
	17	11274.9	124.935
	18	11404.4	124.932
	19	11542.9	124.929
	20	11690.9	124.926
	21	11849	124.923
	22	12018	124.92
	23	12198.6	124.917
	24	12391.6	124.914
	25	12597.9	124.911
	26	12818.3	124.909
	27	13053.9	124.906
	28	13305.6	124.904
	29	13574.6	124.902
	30	13862	124.9
	31	14169.2	124.898
	32	14497.4	124.896
	33	14848.1	124.895
	34	15222.8	124.893
	35	15623.2	124.892
	36	16051.1	124.891
	37	16508.2	124.891
	38	16996.7	124.89
	39	17518.6	124.89
	40	18076.2	124.891
	41	18672	124.891
	42	19308.5	124.892
	43	19988.5	124.893
	44	20715.1	124.895
	45	21491.2	124.897
	46	22320.4	124.9
	47	23206.2	124.903
	48	24152.5	124.906
	49	25163.4	124.91
	50	26243.2	124.915
	51	27396.6	124.92
	52	28628.5	124.926
	53	29944.4	124.933
	54	31349.8	124.94
	55	32850.9	124.948
	56	34453.9	124.957
	57	36165.9	124.967
	58	37994	124.978
	59	39946.1	124.99
	60	42030.5	125.003
	61	44256.1	125.018
	62	46632.2	125.033
	63	49168.9	125.05
	64	51876.7	125.069
	65	54767.2	125.089
	66	57852.3	125.11
	67	61144.9	125.134
	68	64658.6	125.159
	69	68408	125.186
	70	72408.3	125.216
	71	76676.1	125.248
	72	81228.5	125.282
	73	86084.1	125.319
	74	91262.3	125.358
	75	96783.8	125.401
	76	102670	125.447
	77	108946	125.496
	78	115634	125.549
	79	122760	125.606
	80	130353	125.667
	81	138441	125.732
	82	147054	125.802
	83	156224	125.877
	84	165986	125.957
	85	176373	126.043
	86	187425	126.136
	87	199178	126.234
	88	211675	126.34
	89	224958	126.452
	90	239071	126.573
	91	254060	126.702
	92	269974	126.839
	93	286862	126.986
	94	304775	127.143
	95	323768	127.311
	96	343894	127.49
	97	365211	127.681
	98	387775	127.885
	99	411645	128.102
	100	436881	128.333
	101	463543	128.58
	102	491691	128.843
	103	521387	129.123
	104	552689	129.421
	105	585658	129.739
	106	620352	130.076
	107	656827	130.435
	108	695138	130.817
	109	735335	131.223
	110	777466	131.654
	111	821576	132.112
	112	867701	132.598
	113	915876	133.113
	114	966126	133.66
	115	1.01847e+06	134.24
	116	1.07292e+06	134.854
	117	1.12948e+06	135.504
	118	1.18814e+06	136.192
	119	1.24888e+06	136.92
	120	1.31169e+06	137.69
	121	1.3765e+06	138.503
	122	1.44329e+06	139.361
	123	1.51198e+06	140.267
	124	1.58249e+06	141.223
	125	1.65475e+06	142.23
	126	1.72865e+06	143.291
	127	1.80408e+06	144.407
	128	1.88092e+06	145.581
	129	1.95902e+06	146.816
	130	2.03826e+06	148.112
	131	2.11847e+06	149.473
	132	2.1995e+06	150.9
	133	2.28116e+06	152.396
	134	2.3633e+06	153.962
	135	2.44573e+06	155.601
	136	2.52827e+06	157.316
	137	2.61074e+06	159.107
	138	2.69296e+06	160.977
	139	2.77475e+06	162.929
	140	2.85593e+06	164.964
	141	2.93633e+06	167.084
	142	3.01579e+06	169.291
	143	3.09416e+06	171.587
	144	3.17128e+06	173.975
	145	3.24703e+06	176.455
	146	3.32127e+06	179.03
	147	3.39388e+06	181.701
	148	3.46478e+06	184.471
	149	3.53385e+06	187.341
	150	3.60104e+06	190.313
	151	3.66627e+06	193.389
	152	3.72949e+06	196.57
	153	3.79065e+06	199.858
	154	3.84973e+06	203.255
	155	3.9067e+06	206.763
	156	3.96156e+06	210.383
	157	4.0143e+06	214.117
	158	4.06494e+06	217.967
	159	4.11349e+06	221.935
	160	4.15997e+06	226.022
	161	4.20442e+06	230.23
	162	4.24688e+06	234.561
	163	4.28738e+06	239.018
	164	4.32598e+06	243.601
	165	4.36272e+06	248.312
	166	4.39766e+06	253.155
	167	4.43084e+06	258.13
	168	4.46234e+06	263.239
	169	4.49221e+06	268.486
	170	4.52051e+06	273.872
	171	4.54729e+06	279.399
	172	4.57263e+06	285.07
	173	4.59657e+06	290.886
	174	4.61919e+06	296.851
	175	4.64053e+06	302.967
	176	4.66066e+06	309.236
	177	4.67963e+06	315.661
	178	4.6975e+06	322.244
	179	4.71432e+06	328.989
	180	4.73014e+06	335.898
	181	4.74502e+06	342.974
	182	4.75899e+06	350.22
	183	4.77212e+06	357.638
	184	4.78443e+06	365.233
	185	4.79598e+06	373.008
	186	4.80681e+06	380.964
	187	4.81695e+06	389.107
	188	4.82644e+06	397.439
	189	4.83532e+06	405.964
	190	4.84363e+06	414.685
	191	4.85138e+06	423.607
	192	4.85863e+06	432.733
	193	4.86538e+06	442.066
	194	4.87168e+06	451.611
	195	4.87755e+06	461.372
	196	4.883e+06	471.353
	197	4.88807e+06	481.558
	198	4.89278e+06	491.991
	199	4.89715e+06	502.658
	200	4.90119e+06	513.562
	201	4.90493e+06	524.708
	202	4.90839e+06	536.1
	203	4.91157e+06	547.745
	204	4.9145e+06	559.645
	205	4.91718e+06	571.807
	206	4.91964e+06	584.236
	207	4.92189e+06	596.936
	208	4.92393e+06	609.914
	209	4.92578e+06	623.174
	210	4.92745e+06	636.722
	211	4.92895e+06	650.563
	212	4.93029e+06	664.704
	213	4.93147e+06	679.15
	214	4.93251e+06	693.908
	215	4.93341e+06	708.982
	216	4.93418e+06	724.38
	217	4.93483e+06	740.107
	218	4.93536e+06	756.171
	219	4.93578e+06	772.576
	220	4.93609e+06	789.332
	221	4.9363e+06	806.442
	222	4.93641e+06	823.916
	223	4.93643e+06	841.759
	224	4.93636e+06	859.98
	225	4.93621e+06	878.584
	226	4.93597e+06	897.579
	227	4.93566e+06	916.973
	228	4.93527e+06	936.773
