espera_carga,dt_espera_carga,espera_descarga,dt_espera_descarga,procesados,dt_procesados,estancia,dt_estancia,porcent_ocio,dt_porcent_ocio
0.182630,0.104795,0.094996,0.035043,79.266197,8.788659,4.918440,0.801538,58.665318,5.631338
0.185785,0.110671,0.094985,0.035699,79.185898,8.850979,4.942036,0.833438,58.622227,5.678135
0.186460,0.109948,0.095498,0.035272,79.414200,8.921074,4.942909,0.826704,58.531330,5.713043
0.184264,0.108310,0.094878,0.035170,79.183800,8.883169,4.932454,0.827361,58.615231,5.701653
0.182506,0.105169,0.094755,0.035606,79.142403,8.961698,4.919958,0.800997,58.652000,5.753096
0.184731,0.105819,0.094506,0.034778,79.151802,8.772622,4.935676,0.815821,58.627811,5.682854
0.184971,0.110965,0.095202,0.036075,79.238503,8.972026,4.930760,0.833315,58.629139,5.795736
0.185207,0.110039,0.094630,0.035372,79.202301,8.840102,4.929608,0.835431,58.672661,5.751914
0.184641,0.108305,0.094751,0.035410,79.253098,8.810798,4.930655,0.819748,58.605263,5.709366
0.184612,0.108924,0.094853,0.035582,79.095299,8.959756,4.937591,0.815913,58.627201,5.703723
0.185000,0.108093,0.095156,0.035490,79.283600,8.842319,4.936630,0.814926,58.578651,5.674683
0.185133,0.109748,0.094581,0.035331,79.165703,8.861797,4.933038,0.828882,58.683308,5.713324
0.185449,0.107497,0.095134,0.035288,79.352699,9.012909,4.935925,0.811625,58.552387,5.769240
0.183179,0.106573,0.094523,0.035195,79.126701,8.777158,4.921963,0.816457,58.703754,5.641629
0.185009,0.106641,0.094705,0.035135,79.124298,8.787953,4.937352,0.813861,58.629612,5.731744
0.185177,0.108160,0.095318,0.035895,79.238403,8.945479,4.933455,0.820910,58.666607,5.732267
0.182983,0.105202,0.094320,0.035407,79.025101,8.804734,4.920908,0.816244,58.763836,5.724061
0.185108,0.108694,0.094721,0.035510,79.238197,8.832406,4.934634,0.823734,58.607719,5.684966
0.183563,0.106908,0.095132,0.035522,79.116402,8.860466,4.931835,0.816218,58.612614,5.765702
0.184327,0.105579,0.094954,0.035310,79.114197,8.886005,4.934539,0.812818,58.649673,5.685704
0.183206,0.106506,0.095105,0.035541,79.099602,8.966116,4.928335,0.816850,58.672142,5.761746
0.185209,0.108123,0.095126,0.035478,79.351196,8.893048,4.931640,0.819489,58.587112,5.739450
0.183429,0.104930,0.094582,0.035346,78.959297,8.837840,4.933940,0.806341,58.686195,5.665652
0.185225,0.108213,0.095285,0.035937,79.264900,8.832452,4.937903,0.827792,58.547367,5.800324
0.183117,0.107286,0.094592,0.035436,79.103996,8.817198,4.921228,0.821152,58.716511,5.710312
0.182873,0.103641,0.094717,0.034436,79.112396,8.714654,4.924873,0.802752,58.671555,5.622131
