t,I,S,R
16.5,362.015,5.57827,632.407
16.6,357.691,5.37633,636.932
16.7,353.412,5.18402,641.404
16.8,349.178,5.00081,645.821
16.9,344.988,4.82619,650.186
17,340.842,4.65969,654.498
17.1,336.74,4.50087,658.759
17.2,332.683,4.34931,662.968
17.3,328.669,4.20462,667.127
17.4,324.699,4.06642,671.235
17.5,320.772,3.93439,675.294
17.6,316.889,3.80818,679.303
17.7,313.048,3.68751,683.264
17.8,309.25,3.57207,687.178
17.9,305.495,3.4616,691.043
18,301.782,3.35585,694.862
18.1,298.111,3.25458,698.634
18.2,294.482,3.15756,702.361
18.3,290.894,3.06457,706.042
18.4,287.347,2.97543,709.678
18.5,283.841,2.88993,713.27
18.6,280.375,2.8079,716.818
18.7,276.949,2.72917,720.322
18.8,273.562,2.65359,723.784
18.9,270.215,2.581,727.204
19,266.907,2.51125,730.581
19.1,263.638,2.44423,733.918
19.2,260.407,2.37979,737.213
19.3,257.214,2.31782,740.468
19.4,254.058,2.2582,743.683
19.5,250.94,2.20083,746.859
19.6,247.859,2.1456,749.996
19.7,244.813,2.09242,753.094
19.8,241.805,2.04119,756.154
19.9,238.831,1.99184,759.177
20,235.894,1.94427,762.162
20.1,232.991,1.8984,765.111
20.2,230.123,1.85417,768.023
20.3,227.289,1.8115,770.9
20.4,224.489,1.77033,773.741
20.5,221.722,1.73059,776.547
20.6,218.989,1.69222,779.319
20.7,216.289,1.65516,782.056
20.8,213.621,1.61936,784.76
20.9,210.985,1.58477,787.43
21,208.382,1.55133,790.067
21.1,205.809,1.519,792.672
21.2,203.268,1.48774,795.244
21.3,200.757,1.4575,797.785
21.4,198.277,1.42824,800.295
21.5,195.827,1.39992,802.773
21.6,193.406,1.37251,805.221
21.7,191.015,1.34596,807.639
21.8,188.653,1.32025,810.026
21.9,186.32,1.29534,812.385
22,184.015,1.27121,814.714
22.1,181.738,1.24782,817.014
22.2,179.489,1.22514,819.285
22.3,177.268,1.20315,821.529
22.4,175.073,1.18182,823.745
22.5,172.906,1.16113,825.933
22.6,170.764,1.14105,828.095
22.7,168.649,1.12157,830.229
22.8,166.56,1.10265,832.337
22.9,164.496,1.08429,834.419
23,162.458,1.06645,836.476
23.1,160.445,1.04913,838.506
23.2,158.456,1.03229,840.512
23.3,156.492,1.01594,842.493
23.4,154.551,1.00004,844.449
23.5,152.635,0.984583,846.381
23.6,150.742,0.969555,848.288
23.7,148.872,0.954939,850.173
23.8,147.026,0.940723,852.034
23.9,145.202,0.926892,853.871
24,143.4,0.913433,855.687
24.1,141.621,0.900335,857.479
24.2,139.863,0.887584,859.249
24.3,138.127,0.87517,860.998
24.4,136.413,0.863082,862.724
24.5,134.719,0.851308,864.429
24.6,133.047,0.839839,866.113
24.7,131.395,0.828665,867.776
24.8,129.763,0.817777,869.419
24.9,128.152,0.807165,871.041
25,126.56,0.796821,872.643
25.1,124.988,0.786737,874.225
25.2,123.436,0.776904,875.787
25.3,121.903,0.767314,877.33
25.4,120.388,0.75796,878.854
25.5,118.892,0.748835,880.359
25.6,117.415,0.739932,881.845
25.7,115.956,0.731244,883.313
25.8,114.515,0.722765,884.762
25.9,113.092,0.714488,886.193
26,111.686,0.706408,887.607
26.1,110.298,0.698518,889.003
26.2,108.927,0.690814,890.382
26.3,107.573,0.683289,891.744
26.4,106.236,0.675938,893.088
26.5,104.915,0.668758,894.416
26.6,103.611,0.661741,895.728
26.7,102.322,0.654885,897.023
26.8,101.05,0.648184,898.302
26.9,99.7935,0.641634,899.565
27,98.5525,0.635231,900.812
27.1,97.3269,0.628971,902.044
27.2,96.1164,0.622849,903.261
27.3,94.9209,0.616862,904.462
27.4,93.7403,0.611007,905.649
27.5,92.5742,0.60528,906.82
27.6,91.4227,0.599676,907.978
27.7,90.2854,0.594194,909.12
27.8,89.1622,0.588829,910.249
27.9,88.0529,0.583579,911.364
28,86.9574,0.57844,912.464
28.1,85.8754,0.57341,913.551
28.2,84.8069,0.568486,914.625
28.3,83.7516,0.563665,915.685
28.4,82.7095,0.558944,916.732
28.5,81.6802,0.554321,917.765
28.6,80.6638,0.549794,918.786
28.7,79.6599,0.545359,919.795
28.8,78.6685,0.541014,920.791
28.9,77.6894,0.536758,921.774
29,76.7224,0.532588,922.745
29.1,75.7675,0.528502,923.704
29.2,74.8244,0.524498,924.651
29.3,73.893,0.520573,925.586
29.4,72.9732,0.516727,926.51
29.5,72.0648,0.512956,927.422
29.6,71.1677,0.509259,928.323
29.7,70.2817,0.505635,929.213
29.8,69.4068,0.502081,930.091
29.9,68.5427,0.498597,930.959
30,67.6893,0.495179,931.816
30.1,66.8465,0.491827,932.662
30.2,66.0142,0.48854,933.497
30.3,65.1923,0.485314,934.322
30.4,64.3805,0.482151,935.137
30.5,63.5789,0.479046,935.942
30.6,62.7872,0.476001,936.737
30.7,62.0053,0.473012,937.522
30.8,61.2332,0.470079,938.297
30.9,60.4707,0.467201,939.062
31,59.7176,0.464375,939.818
31.1,58.9739,0.461602,940.564
31.2,58.2395,0.45888,941.302
31.3,57.5141,0.456208,942.03
31.4,56.7978,0.453584,942.749
31.5,56.0904,0.451008,943.459
31.6,55.3918,0.448478,944.16
31.7,54.7019,0.445994,944.852
31.8,54.0206,0.443554,945.536
31.9,53.3477,0.441158,946.211
32,52.6832,0.438804,946.878
32.1,52.027,0.436493,947.536
32.2,51.3789,0.434222,948.187
32.3,50.7389,0.431991,948.829
32.4,50.1069,0.429799,949.463
32.5,49.4827,0.427645,950.09
32.6,48.8663,0.425529,950.708
32.7,48.2575,0.42345,951.319
32.8,47.6564,0.421406,951.922
32.9,47.0627,0.419398,952.518
33,46.4764,0.417424,953.106
33.1,45.8974,0.415484,953.687
33.2,45.3255,0.413577,954.261
33.3,44.7608,0.411703,954.827
33.4,44.2032,0.40986,955.387
33.5,43.6525,0.408048,955.939
33.6,43.1086,0.406267,956.485
33.7,42.5715,0.404515,957.024
33.8,42.0411,0.402793,957.556
33.9,41.5172,0.4011,958.082
34,40.9999,0.399435,958.601
34.1,40.4891,0.397797,959.113
34.2,39.9846,0.396186,959.619
34.3,39.4863,0.394602,960.119
34.4,38.9943,0.393044,960.613
34.5,38.5084,0.391511,961.1
34.6,38.0286,0.390004,961.581
34.7,37.5547,0.388521,962.057
34.8,37.0867,0.387062,962.526
34.9,36.6246,0.385626,962.99
35,36.1682,0.384214,963.448
35.1,35.7175,0.382824,963.9
35.2,35.2724,0.381457,964.346
35.3,34.8328,0.380111,964.787
35.4,34.3987,0.378787,965.222
35.5,33.97,0.377484,965.652
35.6,33.5467,0.376202,966.077
35.7,33.1286,0.37494,966.496
35.8,32.7158,0.373698,966.911
35.9,32.308,0.372475,967.319
36,31.9054,0.371272,967.723
36.1,31.5078,0.370087,968.122
36.2,31.1151,0.368921,968.516
36.3,30.7273,0.367773,968.905
36.4,30.3443,0.366643,969.289
