t,I,S,R
0,1,999,0
0.05,1.0437,998.95,0.00625
0.1,1.08931,998.898,0.0127731
0.15,1.1369,998.844,0.0195813
0.2,1.18658,998.787,0.0266869
0.25,1.23842,998.727,0.0341031
0.3,1.29252,998.666,0.0418432
0.35,1.34898,998.601,0.0499214
0.4,1.40791,998.534,0.0583526
0.45,1.4694,998.463,0.067152
0.5,1.53357,998.39,0.0763357
0.55,1.60054,998.314,0.0859206
0.6,1.67043,998.234,0.0959239
0.65,1.74336,998.15,0.106364
0.7,1.81948,998.063,0.11726
0.75,1.8989,997.972,0.128632
0.8,1.98179,997.878,0.1405
0.85,2.06828,997.779,0.152886
0.9,2.15854,997.676,0.165813
0.95,2.25272,997.568,0.179304
1,2.351,997.456,0.193383
1.05,2.45356,997.338,0.208077
1.1,2.56058,997.216,0.223412
1.15,2.67225,997.088,0.239415
1.2,2.78877,996.955,0.256117
1.25,2.91035,996.816,0.273547
1.3,3.03722,996.671,0.291737
1.35,3.16959,996.52,0.310719
1.4,3.30771,996.362,0.330529
1.45,3.45182,996.197,0.351202
1.5,3.60218,996.025,0.372776
1.55,3.75906,995.846,0.39529
1.6,3.92274,995.658,0.418784
1.65,4.09351,995.463,0.443301
1.7,4.27167,995.259,0.468885
1.75,4.45754,995.047,0.495583
1.8,4.65145,994.825,0.523443
1.85,4.85375,994.594,0.552515
1.9,5.06479,994.352,0.58285
1.95,5.28495,994.101,0.614505
2,5.5146,993.838,0.647536
2.05,5.75417,993.564,0.682003
2.1,6.00406,993.278,0.717966
2.15,6.26472,992.98,0.755492
2.2,6.5366,992.669,0.794646
2.25,6.82018,992.344,0.8355
2.3,7.11596,992.006,0.878126
2.35,7.42444,991.653,0.922601
2.4,7.74616,991.285,0.969003
2.45,8.08167,990.901,1.01742
2.5,8.43157,990.501,1.06793
2.55,8.79645,990.083,1.12062
2.6,9.17693,989.647,1.1756
2.65,9.57367,989.193,1.23296
2.7,9.98735,988.72,1.29279
2.75,10.4187,988.226,1.35521
2.8,10.8683,987.711,1.42033
2.85,11.3372,987.175,1.48826
2.9,11.8259,986.615,1.55912
2.95,12.3354,986.032,1.63303
3,12.8664,985.423,1.71012
3.05,13.4199,984.79,1.79054
3.1,13.9969,984.129,1.87441
3.15,14.5981,983.44,1.96189
3.2,15.2247,982.722,2.05313
3.25,15.8776,981.974,2.14829
3.3,16.558,981.195,2.24752
3.35,17.2668,980.382,2.35101
3.4,18.0053,979.536,2.45893
3.45,18.7746,978.654,2.57146
3.5,19.5759,977.735,2.6888
3.55,20.4106,976.778,2.81115
3.6,21.2799,975.781,2.93872
3.65,22.1851,974.743,3.07171
3.7,23.1277,973.662,3.21037
3.75,24.109,972.536,3.35492
3.8,25.1307,971.364,3.5056
3.85,26.1942,970.143,3.66267
3.9,27.3011,968.873,3.82638
3.95,28.453,967.55,3.99701
4,29.6517,966.173,4.17484
4.05,30.8988,964.741,4.36017
4.1,32.1961,963.251,4.55328
4.15,33.5455,961.7,4.75451
4.2,34.9489,960.087,4.96417
4.25,36.4082,958.409,5.1826
4.3,37.9253,956.665,5.41015
4.35,39.5024,954.85,5.64719
4.4,41.1415,952.964,5.89408
4.45,42.8446,951.004,6.15121
4.5,44.6141,948.967,6.41899
4.55,46.4522,946.85,6.69783
4.6,48.361,944.651,6.98815
4.65,50.3429,942.367,7.29041
4.7,52.4004,939.995,7.60505
4.75,54.5357,937.532,7.93256
4.8,56.7513,934.975,8.2734
4.85,59.0496,932.322,8.6281
4.9,61.4332,929.57,8.99716
4.95,63.9046,926.714,9.38112
5,66.4663,923.753,9.78052
5.05,69.1208,920.683,10.1959
5.1,71.8707,917.501,10.6279
5.15,74.7186,914.204,11.0771
5.2,77.667,910.789,11.5441
5.25,80.7185,907.252,12.0295
5.3,83.8756,903.59,12.534
5.35,87.1408,899.801,13.0583
5.4,90.5167,895.88,13.6029
5.45,94.0055,891.826,14.1686
5.5,97.6098,887.634,14.7561
5.55,101.332,883.302,15.3662
5.6,105.174,878.827,15.9995
5.65,109.138,874.205,16.6569
5.7,113.226,869.435,17.339
5.75,117.441,864.513,18.0466
5.8,121.783,859.436,18.7807
5.85,126.255,854.203,19.5418
5.9,130.859,848.81,20.3309
5.95,135.595,843.257,21.1488
6,140.464,837.54,21.9962
6.05,145.468,831.657,22.8741
6.1,150.608,825.608,23.7833
6.15,155.884,819.391,24.7246
6.2,161.296,813.005,25.6989
6.25,166.845,806.448,26.707
6.3,172.53,799.72,27.7498
6.35,178.35,792.822,28.8281
6.4,184.306,785.752,29.9428
6.45,190.395,778.511,31.0947
6.5,196.616,771.1,32.2846
6.55,202.967,763.519,33.5135
6.6,209.447,755.771,34.782
6.65,216.053,747.856,36.0911
6.7,222.782,739.777,37.4414
6.75,229.63,731.537,38.8338
6.8,236.594,723.137,40.269
6.85,243.669,714.583,41.7477
6.9,250.852,705.877,43.2706
6.95,258.138,697.023,44.8385
7,265.521,688.027,46.4518
7.05,272.996,678.893,48.1113
7.1,280.557,669.626,49.8175
7.15,288.196,660.233,51.571
7.2,295.909,650.719,53.3723
7.25,303.687,641.091,55.2217
7.3,311.524,631.356,57.1197
7.35,319.411,621.522,59.0668
7.4,327.341,611.596,61.0631
7.45,335.305,601.586,63.109
7.5,343.295,591.5,65.2046
7.55,351.302,581.348,67.3502
7.6,359.318,571.136,69.5458
7.65,367.333,560.875,71.7916
7.7,375.339,550.574,74.0874
7.75,383.326,540.241,76.4333
7.8,391.284,529.887,78.8291
7.85,399.205,519.52,81.2746
7.9,407.08,509.15,83.7696
7.95,414.899,498.787,86.3139
8,422.653,488.44,88.907
8.05,430.334,478.118,91.5486
8.1,437.932,467.83,94.2382
8.15,445.439,457.586,96.9752
8.2,452.846,447.395,99.7592
8.25,460.146,437.265,102.59
8.3,467.33,427.205,105.465
8.35,474.392,417.222,108.386
8.4,481.323,407.326,111.351
8.45,488.117,397.523,114.359
8.5,494.769,387.821,117.41
8.55,501.27,378.227,120.502
8.6,507.617,368.747,123.635
8.65,513.804,359.388,126.808
8.7,519.825,350.156,130.019
8.75,525.677,341.055,133.268
8.8,531.356,332.09,136.554
8.85,536.858,323.267,139.875
8.9,542.18,314.59,143.23
8.95,547.32,306.062,146.619
9,552.274,297.686,150.039
9.05,557.043,289.466,153.491
9.1,561.624,281.404,156.973
9.15,566.016,273.502,160.483
9.2,570.218,265.761,164.02
9.25,574.232,258.184,167.584
9.3,578.056,250.771,171.173
9.35,581.691,243.523,174.786
9.4,585.138,236.44,178.422
9.45,588.398,229.523,182.079
9.5,591.473,222.77,185.756
