t,I,S,R
17.9,0.540094,113.507,6.95337
18,0.537613,113.482,6.98034
18.1,0.535138,113.458,7.00719
18.2,0.532669,113.433,7.03391
18.3,0.530206,113.409,7.06052
18.4,0.527749,113.385,7.08699
18.5,0.525299,113.361,7.11335
18.6,0.522855,113.338,7.13958
18.7,0.520418,113.314,7.1657
18.8,0.517987,113.29,7.19169
18.9,0.515562,113.267,7.21755
19,0.513144,113.244,7.2433
19.1,0.510733,113.22,7.26893
19.2,0.508328,113.197,7.29443
19.3,0.50593,113.174,7.31982
19.4,0.503538,113.151,7.34509
19.5,0.501153,113.129,7.37023
19.6,0.498775,113.106,7.39526
19.7,0.496404,113.083,7.42017
19.8,0.49404,113.061,7.44496
19.9,0.491682,113.039,7.46963
20,0.489331,113.016,7.49418
20.1,0.486988,112.994,7.51862
20.2,0.484651,112.972,7.54294
20.3,0.482321,112.951,7.56714
20.4,0.479998,112.929,7.59123
20.5,0.477682,112.907,7.6152
20.6,0.475373,112.886,7.63905
20.7,0.473071,112.864,7.66279
20.8,0.470777,112.843,7.68642
20.9,0.468489,112.822,7.70993
21,0.466209,112.8,7.73332
21.1,0.463936,112.779,7.7566
21.2,0.46167,112.759,7.77977
21.3,0.459411,112.738,7.80283
21.4,0.45716,112.717,7.82577
21.5,0.454915,112.696,7.8486
21.6,0.452678,112.676,7.87131
21.7,0.450449,112.656,7.89392
21.8,0.448226,112.635,7.91641
21.9,0.446011,112.615,7.9388
22,0.443804,112.595,7.96107
22.1,0.441604,112.575,7.98323
22.2,0.439411,112.555,8.00528
22.3,0.437225,112.536,8.02723
22.4,0.435047,112.516,8.04906
22.5,0.432877,112.496,8.07078
22.6,0.430714,112.477,8.0924
22.7,0.428558,112.458,8.11391
22.8,0.42641,112.438,8.13531
22.9,0.424269,112.419,8.1566
23,0.422136,112.4,8.17779
23.1,0.42001,112.381,8.19887
23.2,0.417892,112.362,8.21984
23.3,0.415782,112.344,8.24071
23.4,0.413679,112.325,8.26147
23.5,0.411583,112.306,8.28213
23.6,0.409495,112.288,8.30268
23.7,0.407415,112.269,8.32313
23.8,0.405342,112.251,8.34347
23.9,0.403277,112.233,8.36371
24,0.40122,112.215,8.38385
24.1,0.39917,112.197,8.40389
24.2,0.397127,112.179,8.42382
24.3,0.395093,112.161,8.44365
24.4,0.393066,112.144,8.46338
24.5,0.391046,112.126,8.48301
24.6,0.389034,112.108,8.50253
24.7,0.38703,112.091,8.52196
24.8,0.385034,112.074,8.54128
24.9,0.383045,112.056,8.56051
25,0.381064,112.039,8.57964
25.1,0.37909,112.022,8.59867
25.2,0.377124,112.005,8.6176
25.3,0.375166,111.988,8.63643
25.4,0.373215,111.972,8.65516
25.5,0.371272,111.955,8.6738
25.6,0.369337,111.938,8.69234
25.7,0.367409,111.922,8.71078
25.8,0.365489,111.905,8.72912
25.9,0.363577,111.889,8.74737
26,0.361672,111.873,8.76553
26.1,0.359775,111.857,8.78359
26.2,0.357885,111.841,8.80155
26.3,0.356003,111.825,8.81942
26.4,0.354129,111.809,8.8372
26.5,0.352262,111.793,8.85488
26.6,0.350403,111.777,8.87247
26.7,0.348552,111.761,8.88997
26.8,0.346708,111.746,8.90737
26.9,0.344872,111.73,8.92468
27,0.343043,111.715,8.9419
27.1,0.341222,111.7,8.95903
27.2,0.339409,111.685,8.97607
27.3,0.337603,111.669,8.99302
27.4,0.335805,111.654,9.00987
27.5,0.334014,111.639,9.02664
27.6,0.332231,111.624,9.04332
27.7,0.330456,111.61,9.05991
27.8,0.328688,111.595,9.07641
27.9,0.326927,111.58,9.09282
28,0.325174,111.566,9.10914
28.1,0.323429,111.551,9.12538
28.2,0.321691,111.537,9.14153
28.3,0.31996,111.522,9.15759
28.4,0.318237,111.508,9.17357
28.5,0.316522,111.494,9.18946
28.6,0.314813,111.48,9.20526
28.7,0.313113,111.466,9.22098
28.8,0.31142,111.452,9.23662
28.9,0.309734,111.438,9.25217
29,0.308056,111.424,9.26763
29.1,0.306385,111.411,9.28301
29.2,0.304721,111.397,9.29831
29.3,0.303065,111.383,9.31353
29.4,0.301416,111.37,9.32866
29.5,0.299775,111.357,9.34371
29.6,0.298141,111.343,9.35868
29.7,0.296514,111.33,9.37356
29.8,0.294894,111.317,9.38837
29.9,0.293282,111.304,9.40309
30,0.291677,111.291,9.41773
30.1,0.29008,111.278,9.4323
