t,I,S,R
16.1,0.889988,0.244293,998.866
16.2,0.846138,0.244207,998.91
16.3,0.804448,0.244125,998.951
16.4,0.764813,0.244048,998.991
16.5,0.72713,0.243974,999.029
16.6,0.691304,0.243904,999.065
16.7,0.657244,0.243837,999.099
16.8,0.624861,0.243774,999.131
16.9,0.594074,0.243714,999.162
17,0.564803,0.243657,999.192
17.1,0.536975,0.243602,999.219
17.2,0.510518,0.243551,999.246
17.3,0.485365,0.243502,999.271
17.4,0.461451,0.243455,999.295
17.5,0.438715,0.243411,999.318
17.6,0.417099,0.243368,999.34
17.7,0.396548,0.243328,999.36
17.8,0.37701,0.24329,999.38
17.9,0.358435,0.243254,999.398
18,0.340774,0.243219,999.416
18.1,0.323984,0.243187,999.433
18.2,0.308021,0.243156,999.449
18.3,0.292845,0.243126,999.464
18.4,0.278416,0.243098,999.478
18.5,0.264698,0.243071,999.492
18.6,0.251656,0.243046,999.505
18.7,0.239257,0.243022,999.518
18.8,0.227469,0.242999,999.53
18.9,0.216261,0.242977,999.541
19,0.205606,0.242956,999.551
19.1,0.195476,0.242936,999.562
19.2,0.185844,0.242918,999.571
19.3,0.176688,0.2429,999.58
19.4,0.167982,0.242883,999.589
19.5,0.159705,0.242867,999.597
19.6,0.151837,0.242851,999.605
19.7,0.144356,0.242837,999.613
19.8,0.137243,0.242823,999.62
19.9,0.130481,0.24281,999.627
20,0.124052,0.242797,999.633
20.1,0.11794,0.242785,999.639
20.2,0.112129,0.242774,999.645
20.3,0.106604,0.242763,999.651
20.4,0.101352,0.242753,999.656
20.5,0.0963581,0.242743,999.661
20.6,0.0916104,0.242734,999.666
20.7,0.0870967,0.242725,999.67
20.8,0.0828054,0.242717,999.674
20.9,0.0787255,0.242709,999.679
21,0.0748466,0.242702,999.682
21.1,0.0711589,0.242694,999.686
21.2,0.0676528,0.242688,999.69
21.3,0.0643195,0.242681,999.693
21.4,0.0611504,0.242675,999.696
21.5,0.0581375,0.242669,999.699
21.6,0.055273,0.242664,999.702
21.7,0.0525496,0.242658,999.705
21.8,0.0499605,0.242653,999.707
21.9,0.0474989,0.242648,999.71
22,0.0451586,0.242644,999.712
22.1,0.0429336,0.24264,999.714
22.2,0.0408182,0.242635,999.717
22.3,0.038807,0.242632,999.719
22.4,0.036895,0.242628,999.72
22.5,0.0350771,0.242624,999.722
22.6,0.0333489,0.242621,999.724
22.7,0.0317057,0.242618,999.726
22.8,0.0301436,0.242615,999.727
22.9,0.0286584,0.242612,999.729
23,0.0272463,0.242609,999.73
23.1,0.0259039,0.242606,999.731
23.2,0.0246276,0.242604,999.733
23.3,0.0234142,0.242602,999.734
23.4,0.0222605,0.242599,999.735
23.5,0.0211637,0.242597,999.736
23.6,0.020121,0.242595,999.737
23.7,0.0191296,0.242593,999.738
23.8,0.0181871,0.242591,999.739
23.9,0.017291,0.24259,999.74
24,0.016439,0.242588,999.741
24.1,0.0156291,0.242586,999.742
24.2,0.014859,0.242585,999.743
24.3,0.0141269,0.242584,999.743
24.4,0.0134308,0.242582,999.744
24.5,0.0127691,0.242581,999.745
24.6,0.0121399,0.24258,999.745
24.7,0.0115418,0.242578,999.746
24.8,0.0109731,0.242577,999.746
24.9,0.0104325,0.242576,999.747
25,0.00991846,0.242575,999.748
25.1,0.00942976,0.242574,999.748
25.2,0.00896515,0.242573,999.748
25.3,0.00852343,0.242573,999.749
25.4,0.00810347,0.242572,999.749
25.5,0.00770421,0.242571,999.75
25.6,0.00732461,0.24257,999.75
25.7,0.00696372,0.24257,999.75
25.8,0.00662062,0.242569,999.751
25.9,0.00629441,0.242568,999.751
26,0.00598428,0.242568,999.751
26.1,0.00568943,0.242567,999.752
26.2,0.00540911,0.242567,999.752
26.3,0.00514259,0.242566,999.752
26.4,0.00488921,0.242566,999.753
26.5,0.00464832,0.242565,999.753
26.6,0.00441929,0.242565,999.753
26.7,0.00420155,0.242564,999.753
26.8,0.00399453,0.242564,999.753
26.9,0.00379772,0.242563,999.754
27,0.0036106,0.242563,999.754
27.1,0.00343271,0.242563,999.754
27.2,0.00326357,0.242562,999.754
27.3,0.00310277,0.242562,999.754
27.4,0.0029499,0.242562,999.754
27.5,0.00280455,0.242561,999.755
27.6,0.00266637,0.242561,999.755
27.7,0.002535,0.242561,999.755
27.8,0.00241009,0.242561,999.755
27.9,0.00229135,0.24256,999.755
28,0.00217845,0.24256,999.755
28.1,0.00207112,0.24256,999.755
