x;y;z;veces;Best_s;Ganancia_esperada;tiempo
10;0;1;10000;99;661.257400;0.151678
10;0;1;100000;99;659.731950;1.593401
10;0;5;10000;95;656.408500;0.162619
10;0;5;100000;98;655.351650;1.638641
10;0;10;10000;97;651.690000;0.152098
10;0;10;100000;95;650.302700;1.586894
10;0;100;10000;88;572.008000;0.154631
10;0;100;100000;89;570.320000;1.574889
