x;y;z;veces;Best_s;Ganancia_esperada;tiempo
10;0;1;10000;97;499.369900;0.123301
10;0;1;100000;97;495.345140;1.280890
10;0;5;10000;99;493.390000;0.128021
10;0;5;100000;99;490.786500;1.254347
10;0;10;10000;98;488.275000;0.125137
10;0;10;100000;96;485.424300;1.253742
10;0;100;10000;91;412.304000;0.123278
10;0;100;100000;87;400.858700;1.243047
